Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Notes
					Number of unsuccessful stop-smoking attempts	2926									122472	Complete	Integer		Primary	Unisex	4	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2926	
					Likelihood of resuming smoking	2936									122472	Complete	Categorical single		Primary	Unisex	4	1	100369	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2936	
					Age started smoking in current smokers	3436									39497	Complete	Integer	years	Primary	Unisex	4	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3436	
					Type of tobacco currently smoked	3446									39497	Complete	Categorical single		Primary	Unisex	4	1	100351	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3446	
					Number of cigarettes currently smoked daily (current cigarette smokers)	3456									36709	Complete	Integer	cigarettes/day	Primary	Unisex	4	1	100355	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3456	
					Time from waking to first cigarette	3466									36365	Complete	Categorical single		Primary	Unisex	4	1	100356	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3466	
					Difficulty not smoking for 1 day	3476									36365	Complete	Categorical single		Primary	Unisex	4	1	100357	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3476	
					Ever tried to stop smoking	3486									39497	Complete	Categorical single		Primary	Unisex	4	1	100358	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3486	
					Wants to stop smoking	3496									39119	Complete	Categorical single		Primary	Unisex	4	1	100359	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3496	
					Smoking compared to 10 years previous	3506									39497	Complete	Categorical single		Primary	Unisex	4	1	100360	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3506	
					Previously smoked cigarettes on most/all days	5959									2672	Complete	Categorical single		Primary	Unisex	3	1	100352	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5959	
					Why stopped smoking	6157									122472	Complete	Categorical multiple		Primary	Unisex	4	4	100361	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6157	
					Why reduced smoking	6158									17125	Complete	Categorical multiple		Primary	Unisex	4	4	100361	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6158	
					Number of cigarettes previously smoked daily (current cigar/pipe smokers)	6183									1811	Complete	Integer		Primary	Unisex	3	1	100353	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6183	
					Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker)	6194									1811	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6194	
					Why stopped smoking (pilot)	10115									930	Complete	Categorical single		Primary	Unisex	1	1	100669	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10115	
					Ever stopped smoking for 6+ months (pilot)	10827									930	Complete	Categorical single		Primary	Unisex	1	1	100668	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10827	
					"Light smokers, at least 100 smokes in lifetime (pilot)"	10895									935	Complete	Categorical single		Primary	Unisex	1	1	100352	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10895	
					Smoking status	20116									501649	Complete	Categorical single		Derived	Unisex	4	1	90	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20116	
					Ever smoked	20160									499754	Complete	Categorical single		Derived	Unisex	4	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20160	
					Pack years of smoking	20161									152484	Complete	Continuous	years	Derived	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20161	
					Pack years adult smoking as proportion of life span exposed to smoking	20162									152484	Complete	Continuous	Units	Derived	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20162	
					Dixon technique for internal fat - DICOM	20201									38728	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20201	
					Pancreatic fat - DICOM	20202									37219	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20202	
					Liver images - gradient echo - DICOM	20203									10130	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20203	
					Liver Imaging - T1 ShMoLLI - DICOM	20204									38354	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20204	
					Measurements of pancreas volume - DICOM	20206									21734	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20206	
					Carotid artery ultrasound image (left)	20222									7995	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20222	
					Carotid artery ultrasound image (right)	20223									7998	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20223	
					Carotid artery ultrasound report	20226									7998	Accruing	Text		Supporting	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20226	
					Liver images - IDEAL protocol - DICOM	20254									29912	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20254	
					Pancreas Images - ShMoLLI - DICOM	20259									30715	Ongoing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20259	
					Pancreas Images - gradient echo - DICOM	20260									30845	Ongoing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20260	
