Annotator	Annotation date	Name	GBE ID	Field	BasketID	TableID	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Notes	Source_file
Guhan	11/26/18	Dried_fruit_intake	INI1319	Dried fruit intake		9797	1319	1		1		-10;-1;-3				501665	Complete	Integer	pieces/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1319		ukb_20170818.tsv
		Dried_fruit_intake	INI1319	Dried fruit intake		9797	1319	1	0	1		-10,-3,-1				501734	Complete	Integer	Data		Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1319	"ACE touchscreen question ""About how many pieces of DRIED fruit would you eat per DAY? (Count one prune, one dried apricot, 10 raisins as one piece; put '0' if you do not eat any)"" The following checks were performed:  If answer > 100 then rejected   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know."	ukb_20171211.tsv
		Bread_intake	INI1438	Bread intake		9797	1438	1	0	1		-10,-3,-1				498608	Complete	Integer	Data		Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1438	"ACE touchscreen question ""How many slices of bread do you eat each WEEK?"" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 50 then participant asked to confirm   If the participant activated the Help button they were shown the message:     For other types of bread:  - one bread roll = 2 slices  - one pitta bread = 2 slices"	ukb_20171211.tsv
Guhan	11/26/18	Bread_intake	INI1438	Bread intake		9797	1438	1		1		-10;-1;-3				498663	Complete	Integer	slices/week	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1438		ukb_20170818.tsv
Guhan	11/26/18	Cereal_intake	INI1458	Cereal intake		9797	1458	1		1		-10;-1;-3				501560	Complete	Integer	bowls/week	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1458		ukb_20170818.tsv
		Cereal_intake	INI1458	Cereal intake		9797	1458	1	0	1		-10,-3,-1				501626	Complete	Integer	Data		Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1458	"ACE touchscreen question ""How many bowls of cereal do you eat a WEEK?"" The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 14 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know."	ukb_20171211.tsv
Guhan	11/26/18	Tea_intake	INI1488	Tea intake		9797	1488	1		1		-10;-1;-3				501662	Complete	Integer	cups/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1488		ukb_20170818.tsv
		Tea_intake	INI1488	Tea intake		9797	1488	1	0	1		-10,-3,-1				501731	Complete	Integer	Data		Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1488	"ACE touchscreen question ""How many cups of tea do you drink each DAY? (Include black and green tea)"" The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know."	ukb_20171211.tsv
		Coffee_intake	INI1498	Coffee intake		9797	1498	1	0	1		-10,-3,-1				501731	Complete	Integer	Data		Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1498	"ACE touchscreen question ""How many cups of coffee do you drink each DAY? (Include decaffeinated coffee)"" The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 10 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know."	ukb_20171211.tsv
Guhan	11/26/18	Coffee_intake	INI1498	Coffee intake		9797	1498	1		1		-10;-1;-3				501662	Complete	Integer	cups/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1498		ukb_20170818.tsv
		Water_intake	INI1528	Water intake		9797	1528	1	0	1		-10,-3,-1				501731	Complete	Integer	Data		Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1528	"ACE touchscreen question ""How many glasses of water do you drink each DAY? "" The following checks were performed:  If answer   If answer > 99 then rejected  If answer > 10 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know."	ukb_20171211.tsv
Guhan	11/26/18	Water_intake	INI1528	Water intake		9797	1528	1		1		-10;-1;-3				501662	Complete	Integer	glasses/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1528		ukb_20170818.tsv
Guhan	11/26/18	Average_weekly_red_wine_intake	INI1568	Average weekly red wine intake		9797	1568	1		1		-1;-3				348349	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1568		ukb_20170818.tsv
		Average_weekly_red_wine_intake	INI1568	Average weekly red wine intake		9797	1568	1	0	1		-1,-3				347879	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1568	"ACE touchscreen question ""In an average WEEK, how many glasses of RED wine would you drink? (There are six glasses in an average bottle)"" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please include sparkling red wine here.      ~F1568~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"	ukb_20171211.tsv
		Average_weekly_champagne_plus_white_wine_intake	INI1578	Average weekly champagne plus white wine intake		9797	1578	1	0	1		-1,-3				347878	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1578	"ACE touchscreen question ""In an average WEEK, how many glasses of WHITE wine or champagne would you drink? (There are six glasses in an average bottle)"" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please include sparkling white wine here.      ~F1578~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"	ukb_20171211.tsv
Guhan	11/26/18	Average_weekly_champagne_plus_white_wine_intake	INI1578	Average weekly champagne plus white wine intake		9797	1578	1		1		-1;-3				348348	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1578		ukb_20170818.tsv
		Average_weekly_beer_plus_cider_intake	INI1588	Average weekly beer plus cider intake		9797	1588	1	0	1		-1,-3				347878	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1588	"ACE touchscreen question ""In an average WEEK, how many pints of beer or cider would you drink? (Include bitter, lager, stout, ale, Guinness)"" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   ~F1588~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"	ukb_20171211.tsv
Guhan	11/26/18	Average_weekly_beer_plus_cider_intake	INI1588	Average weekly beer plus cider intake		9797	1588	1		1		-1;-3				348348	Complete	Integer	pints	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1588		ukb_20170818.tsv
		Average_weekly_spirits_intake	INI1598	Average weekly spirits intake		9797	1598	1	0	1		-1,-3				347878	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1598	"ACE touchscreen question ""In an average WEEK, how many measures of spirits or liqueurs would you drink? (there are 25 standard measures in a normal sized bottle;  spirits include drinks such as whisky, gin, rum, vodka, brandy)"" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     For mixed drinks that contain spirits or liqueurs, count one bottle as one measure. There is a question later on alcopops      ~F1598~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"	ukb_20171211.tsv
Guhan	11/26/18	Average_weekly_spirits_intake	INI1598	Average weekly spirits intake		9797	1598	1		1		-1;-3				348348	Complete	Integer	measures	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1598		ukb_20170818.tsv
Guhan	11/26/18	Average_weekly_fortified_wine_intake	INI1608	Average weekly fortified wine intake		9797	1608	1		1		-1;-3				348348	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1608		ukb_20170818.tsv
		Average_weekly_fortified_wine_intake	INI1608	Average weekly fortified wine intake		9797	1608	1	0	1		-1,-3				347878	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1608	"ACE touchscreen question ""In an average WEEK, how many glasses of fortified wine would you drink? (There are 12 glasses in an average bottle) (Fortified wines include drinks such as sherry, port, vermouth)"" The following checks were performed:  If answer   If answer > 250 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Fortified wines include: Sherry, Port, Vermouth, Muscat, Madeira, Malaga, Tokay, Frontignan, Frontignac.      ~F1608~ was collected from participants who indicated they drink alcohol more often than once or twice a week, as defined by their answers to ~F1558~"	ukb_20171211.tsv
		Childhood_sunburn_occasions	INI1737	Childhood sunburn occasions		9797	1737	1	0	1		-1,-3				498519	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1737	"ACE touchscreen question ""Before the age of 15, how many times did you suffer sunburn that was painful for at least 2 days or caused blistering?"" The following checks were performed:  If answer   If answer > 999 then rejected  If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know."	ukb_20171211.tsv
Guhan	11/26/18	Childhood_sunburn_occasions	INI1737	Childhood sunburn occasions		9797	1737	1		1		-1;-3				498448	Complete	Integer	times	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1737		ukb_20170818.tsv
Guhan	11/26/18	Father's_age_at_death	INI1807	Father's age at death		9797	1807	1		1		-1;-3				383027	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1807		ukb_20170818.tsv
		Father's_age_at_death	INI1807	Father's age at death		9797	1807	1	0	1		-1,-3				381278	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1807	"ACE touchscreen question ""What was his age when he died?"" The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F1807~ was collected from participants who indicated their father has died, as defined by their answers to ~F1797~ or, if they are adopted, their adopted father has died, as defined by their answers to ~F1797~"	ukb_20171211.tsv
Guhan	11/26/18	Mother's_age	INI1845	Mother's age		9797	1845	1		1		-1;-3				199412	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1845		ukb_20170818.tsv
		Mother's_age	INI1845	Mother's age		9797	1845	1	0	1		-1,-3				199420	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1845	"ACE touchscreen question ""What is her age now?"" The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F1845~ was collected from participants who indicated their mother is still alive, as defined by their answers to ~F1835~ or, if they are adopted, their adopted mother is still alive, as defined by their answers to ~F1835~"	ukb_20171211.tsv
		Number_of_full_brothers	INI1873	Number of full brothers		9797	1873	1	0	1		-1,-3				494385	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1873	"ACE touchscreen question ""How many brothers do you have? (Please include those who have died, and twin brothers. Do not include half-brothers, step-brothers or adopted brothers)"" The following checks were performed:  If answer   If answer > 25 then rejected  If answer > 10 then participant asked to confirm   ~F1873~ was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~"	ukb_20171211.tsv
Guhan	11/26/18	Number_of_full_brothers	INI1873	Number of full brothers		9797	1873	1		1		-1;-3				494319	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1873		ukb_20170818.tsv
		Number_of_full_sisters	INI1883	Number of full sisters		9797	1883	1	0	1		-1,-3				494385	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1883	"ACE touchscreen question ""How many sisters do you have? (Please include those who have died, and twin sisters. Do not include half-sisters, step-sisters or adopted sisters)"" The following checks were performed:  If answer   If answer > 25 then rejected  If answer > 10 then participant asked to confirm   ~F1883~ was collected from participants who indicated they were not adopted as a child, as defined by their answers to ~F1767~"	ukb_20171211.tsv
Guhan	11/26/18	Number_of_full_sisters	INI1883	Number of full sisters		9797	1883	1		1		-1;-3				494319	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1883		ukb_20170818.tsv
		Lifetime_number_of_sexual_partners	INI2149	Lifetime number of sexual partners		9797	2149	1	0	1		-1,-3				451937	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2149	"ACE touchscreen question ""About how many sexual partners have you had in your lifetime?"" The following checks were performed:  If answer   If answer > 99997 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Sexual intercourse includes vaginal, oral or anal intercourse. If you are unsure, please provide an estimate or select Do not know.      ~F2149~ was collected from all participants except those who indicated they never had had sexual intercourse, as defined by their answers to ~F2139~"	ukb_20171211.tsv
Guhan	11/26/18	Lifetime_number_of_sexual_partners	INI2149	Lifetime number of sexual partners		9797	2149	1		1		-1;-3				452048	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2149		ukb_20170818.tsv
Matt	11/9/18	Liver_iron_(Fe)	INI22400	Liver iron (Fe)		25279	22400	1		1						1112	Accruing	Continuous	mg/g	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22400		ukb_20181109.tsv
Lab	20190327	Liver_iron_(Fe)	INI22400	Liver iron (Fe)	2001440	27645	22400	1		1						1112	Accruing	Continuous	mg/g	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22400		ukb_20190327.tsv
Matt	11/9/18	Liver_inflammation_factor_(LIF)	INI22401	Liver inflammation factor (LIF)		25279	22401	1		1						1095	Accruing	Continuous	units	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22401		ukb_20181109.tsv
Lab	20190327	Liver_inflammation_factor_(LIF)	INI22401	Liver inflammation factor (LIF)	2001440	27645	22401	1		1						1095	Accruing	Continuous	units	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22401		ukb_20190327.tsv
Matt	11/9/18	Liver_fat_percentage	INI22402	Liver fat percentage		25279	22402	1		1						4617	Accruing	Continuous	percent	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22402		ukb_20181109.tsv
Lab	20190327	Liver_fat_percentage	INI22402	Liver fat percentage	2001440	27645	22402	1		1						4617	Accruing	Continuous	percent	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22402		ukb_20190327.tsv
		Age_when_periods_started_(menarche)	INI2714	Age when periods started (menarche)		9797	2714	1	0	1		-1,-3				272991	Complete	Integer	Data		Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2714	"ACE touchscreen question ""How old were you when your periods started?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer > 25 then rejected  If answer   If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know."	ukb_20171211.tsv
Guhan	11/26/18	Age_when_periods_started_(menarche)	INI2714	Age when periods started (menarche)		9797	2714	1		1		-1;-3				272939	Complete	Integer	years	Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2714		ukb_20170818.tsv
		Birth_weight_of_first_child	INI2744	Birth weight of first child		9797	2744	1	0	1		-1,-2,-3				221525	Complete	Integer	Data		Female	3	1	100585	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2744	"ACE touchscreen question ""What was the birth weight of your first child in pounds? (do not include twins)"" The following checks were performed:  If answer   If answer > 16 then rejected  If answer > 12 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure of the weight in pounds, here is a conversion table for pounds, grams and kilograms.  Pounds  Grams  Kilograms 2  907  0.91 3  1361  1.36 4  1814  1.81 5  2268  2.27 6  2721  2.72 7  3175  3.18 8  3629  3.63 9  4082  4.08 10  4536  4.54 11  4990  4.99 12  5443  5.44 13  5897  5.90 14  6350  6.35 15  6804  6.80  An exact answer is not necessary. Please enter the birthweight to the closest pound. If your first birth was twins or other multiple birth, enter the birthweight of the first singleton birth. If you have only had twins or other multiple births then select Only twins.      ~F2744~ was collected from women who indicated they had given birth to at least one child, as defined by their answers to ~F2734~"	ukb_20171211.tsv
Guhan	11/26/18	Birth_weight_of_first_child	INI2744	Birth weight of first child		9797	2744	1		1		-1;-2;-3				221492	Complete	Integer	pounds	Primary	Female	3	1	100585	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2744		ukb_20170818.tsv
Matt	11/11/18	Microalbumin_in_urine	INI30500	Microalbumin in urine		9797	30500	1		1						156631	Accruing	Continuous	mg/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30500		ukb_20170727.tsv
Guhan	11/26/18	Microalbumin_in_urine	INI30500	Microalbumin in urine		9797	30500	1		1						156607	Accruing	Continuous	mg/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30500		ukb_20170818.tsv
Guhan	11/26/18	Creatinine_(enzymatic)_in_urine	INI30510	Creatinine (enzymatic) in urine		9797	30510	1		1						484997	Accruing	Continuous	micromole/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30510		ukb_20170818.tsv
Rivas Lab	7/27/17	Creatinine_(enzymatic)_in_urine	INI30510	Creatinine (enzymatic) in urine		9797	30510	1		1						485066	Accruing	Continuous	micromole/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30510		ukb_20170727.tsv
Matt	11/11/18	Potassium_in_urine	INI30520	Potassium in urine		9797	30520	1		1						484080	Accruing	Continuous	millimole/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30520		ukb_20170727.tsv
Guhan	11/26/18	Potassium_in_urine	INI30520	Potassium in urine		9797	30520	1		1						484012	Accruing	Continuous	millimole/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30520		ukb_20170818.tsv
Rivas Lab	7/27/17	Sodium_in_urine	INI30530	Sodium in urine		9797	30530	1		1						484051	Accruing	Continuous	millimole/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30530		ukb_20170727.tsv
Guhan	11/26/18	Sodium_in_urine	INI30530	Sodium in urine		9797	30530	1		1						483982	Accruing	Continuous	millimole/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30530		ukb_20170818.tsv
		Number_of_cigarettes_currently_smoked_daily_(current_cigarette_smokers)	INI3456	Number of cigarettes currently smoked daily (current cigarette smokers)		9797	3456	1	0	1		-10,-1,-3				36640	Complete	Integer	Data		Unisex	3	1	100355	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3456	"ACE touchscreen question ""About how many cigarettes do you smoke on average each day? "" The following checks were performed:  If answer   If answer > 150 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Count the total number of cigarettes (including both hand-rolled and manufactured cigarettes if both are smoked) For hand-rolled cigarettes:  - One ounce of tobacco makes about 30 cigarettes  - One gram of tobacco makes about 1 cigarette      ~F3456~ was collected from participants who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~ and currently smoke manufactured or hand-rolled cigarettes, as defined by their answers to ~F1239~"	ukb_20171211.tsv
Guhan	11/26/18	Number_of_cigarettes_currently_smoked_daily_(current_cigarette_smokers)	INI3456	Number of cigarettes currently smoked daily (current cigarette smokers)		9797	3456	1		1		-10;-1;-3				36668	Complete	Integer	cigarettes/day	Primary	Unisex	3	1	100355	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3456	NOTE: need to implement --recode in order to account for -10 (less than one a day) coding!	ukb_20170818.tsv
		Mother's_age_at_death	INI3526	Mother's age at death		9797	3526	1	0	1		-1,-3				302907	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3526	"ACE touchscreen question ""What was her age when she died?"" The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F3526~ was collected from participants who indicated their mother has died, as defined by their answers to ~F1835~ or, if they are adopted, their adopted mother has died, as defined by their answers to ~F1835~"	ukb_20171211.tsv
Guhan	11/26/18	Mother's_age_at_death	INI3526	Mother's age at death		9797	3526	1		1		-1;-3				305315	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3526		ukb_20170818.tsv
		Longest_period_of_depression	INI4609	Longest period of depression		10137	4609	1	0	1		-1,-3				102128	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4609	"ACE touchscreen question ""How many weeks was the longest period when you were feeling depressed or down?"" The following checks were performed:  If answer   If answer > 999 then rejected   ~F4609~ was collected from participants who indicated they have felt depressed or down for at least a whole week, as defined by their answers to ~F4598~"	ukb_20171211.tsv
