ICD10	Long descriptor of ICD	GBE Name	Controls	Cases	Source	Data field	Disease group	GBE ID
A31	infection due to other mycobacteria	TTE_infection_due_to_other_mycobacteria	502437	107	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130050.0.0.phe	130050	Certain infectious and parasitic diseases	HC471
A32	listeriosis	TTE_listeriosis	502527	17	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130052.0.0.phe	130052	Certain infectious and parasitic diseases	HC472
A33	tetanus neonatorum	TTE_tetanus_neonatorum	502543	1	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130054.0.0.phe	130054	Certain infectious and parasitic diseases	HC473
A35	other tetanus	TTE_other_tetanus	502426	118	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130058.0.0.phe	130058	Certain infectious and parasitic diseases	HC474
A36	diphtheria	TTE_diphtheria	502406	138	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130060.0.0.phe	130060	Certain infectious and parasitic diseases	HC475
A37	whooping cough	TTE_whooping_cough	500395	2149	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130062.0.0.phe	130062	Certain infectious and parasitic diseases	HC476
A38	scarlet fever	TTE_scarlet_fever	501227	1317	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130064.0.0.phe	130064	Certain infectious and parasitic diseases	HC477
A39	meningococcal infection	TTE_meningococcal_infection	502437	107	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130066.0.0.phe	130066	Certain infectious and parasitic diseases	HC478
A40	streptococcal septicaemia	TTE_streptococcal_septicaemia	502117	427	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130068.0.0.phe	130068	Certain infectious and parasitic diseases	HC479
A41	other septicaemia	TTE_other_septicaemia	495048	7496	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130070.0.0.phe	130070	Certain infectious and parasitic diseases	HC480
A42	actinomycosis	TTE_actinomycosis	502333	211	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130072.0.0.phe	130072	Certain infectious and parasitic diseases	HC481
A43	nocardiosis	TTE_nocardiosis	502541	3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130074.0.0.phe	130074	Certain infectious and parasitic diseases	HC482
A44	bartonellosis	TTE_bartonellosis	502543	1	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130076.0.0.phe	130076	Certain infectious and parasitic diseases	HC483
A46	erysipelas	TTE_erysipelas	502242	302	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130078.0.0.phe	130078	Certain infectious and parasitic diseases	HC484
A48	other bacterial diseases, not elsewhere classified	TTE_other_bacterial_diseases,_not_elsewhere_classified	502371	173	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130080.0.0.phe	130080	Certain infectious and parasitic diseases	HC485
A49	bacterial infection of unspecified site	TTE_bacterial_infection_of_unspecified_site	500824	1720	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130082.0.0.phe	130082	Certain infectious and parasitic diseases	HC486
A50	congenital syphilis	TTE_congenital_syphilis	502535	9	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130084.0.0.phe	130084	Certain infectious and parasitic diseases	HC487
A51	early syphilis	TTE_early_syphilis	502524	20	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130086.0.0.phe	130086	Certain infectious and parasitic diseases	HC488
A52	late syphilis	TTE_late_syphilis	502523	21	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130088.0.0.phe	130088	Certain infectious and parasitic diseases	HC489
A53	other and unspecified syphilis	TTE_other_and_unspecified_syphilis	502515	29	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130090.0.0.phe	130090	Certain infectious and parasitic diseases	HC490
A54	gonococcal infection	TTE_gonococcal_infection	502262	282	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130092.0.0.phe	130092	Certain infectious and parasitic diseases	HC491
A55	chlamydial lymphogranuloma (venereum)	TTE_chlamydial_lymphogranuloma_(venereum)	502540	4	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130094.0.0.phe	130094	Certain infectious and parasitic diseases	HC492
A56	other sexually transmitted chlamydial diseases	TTE_other_sexually_transmitted_chlamydial_diseases	502460	84	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130096.0.0.phe	130096	Certain infectious and parasitic diseases	HC493
A58	granuloma inguinale	TTE_granuloma_inguinale	502542	2	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130100.0.0.phe	130100	Certain infectious and parasitic diseases	HC494
A59	trichomoniasis	TTE_trichomoniasis	502454	90	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130102.0.0.phe	130102	Certain infectious and parasitic diseases	HC495
A60	anogenital herpesviral [herpes simplex] infections	TTE_anogenital_herpesviral_[herpes_simplex]_infections	502097	447	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130104.0.0.phe	130104	Certain infectious and parasitic diseases	HC496
A63	other predominantly sexually transmitted diseases, not elsewhere classified	TTE_other_predominantly_sexually_transmitted_diseases,_not_elsewhere_classified	500702	1842	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130106.0.0.phe	130106	Certain infectious and parasitic diseases	HC497
A64	unspecified sexually transmitted disease	TTE_unspecified_sexually_transmitted_disease	502541	3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130108.0.0.phe	130108	Certain infectious and parasitic diseases	HC498
A66	yaws	TTE_yaws	502522	22	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130112.0.0.phe	130112	Certain infectious and parasitic diseases	HC499
A67	pinta [carate]	TTE_pinta_[carate]	502538	6	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130114.0.0.phe	130114	Certain infectious and parasitic diseases	HC500
A68	relapsing fevers	TTE_relapsing_fevers	502542	2	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130116.0.0.phe	130116	Certain infectious and parasitic diseases	HC501
A69	other spirochaetal infections	TTE_other_spirochaetal_infections	502264	280	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130118.0.0.phe	130118	Certain infectious and parasitic diseases	HC502
A70	chlamydia psittaci infection	TTE_chlamydia_psittaci_infection	502513	31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130120.0.0.phe	130120	Certain infectious and parasitic diseases	HC503
A71	trachoma	TTE_trachoma	502509	35	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130122.0.0.phe	130122	Certain infectious and parasitic diseases	HC504
A74	other diseases caused by chlamydiae	TTE_other_diseases_caused_by_chlamydiae	502513	31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130124.0.0.phe	130124	Certain infectious and parasitic diseases	HC505
A75	typhus fever	TTE_typhus_fever	502540	4	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130126.0.0.phe	130126	Certain infectious and parasitic diseases	HC506
A77	spotted fever [tick-borne rickettsioses]	TTE_spotted_fever_[tick-borne_rickettsioses]	502524	20	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130128.0.0.phe	130128	Certain infectious and parasitic diseases	HC507
A78	q fever	TTE_q_fever	502534	10	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130130.0.0.phe	130130	Certain infectious and parasitic diseases	HC508
A79	other rickettsioses	TTE_other_rickettsioses	502542	2	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130132.0.0.phe	130132	Certain infectious and parasitic diseases	HC509
A80	acute poliomyelitis	TTE_acute_poliomyelitis	502046	498	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130134.0.0.phe	130134	Certain infectious and parasitic diseases	HC510
A81	atypical virus infections of central nervous system	TTE_atypical_virus_infections_of_central_nervous_system	502497	47	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130136.0.0.phe	130136	Certain infectious and parasitic diseases	HC511
A82	rabies	TTE_rabies	502526	18	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130138.0.0.phe	130138	Certain infectious and parasitic diseases	HC512
A83	mosquito-borne viral encephalitis	TTE_mosquito-borne_viral_encephalitis	502511	33	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130140.0.0.phe	130140	Certain infectious and parasitic diseases	HC513
A84	tick-borne viral encephalitis	TTE_tick-borne_viral_encephalitis	502536	8	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130142.0.0.phe	130142	Certain infectious and parasitic diseases	HC514
A85	other viral encephalitis, not elsewhere classified	TTE_other_viral_encephalitis,_not_elsewhere_classified	502532	12	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130144.0.0.phe	130144	Certain infectious and parasitic diseases	HC515
A86	unspecified viral encephalitis	TTE_unspecified_viral_encephalitis	502454	90	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130146.0.0.phe	130146	Certain infectious and parasitic diseases	HC516
A87	viral meningitis	TTE_viral_meningitis	502053	491	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130148.0.0.phe	130148	Certain infectious and parasitic diseases	HC517
A88	other viral infections of central nervous system, not elsewhere classified	TTE_other_viral_infections_of_central_nervous_system,_not_elsewhere_classified	502522	22	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130150.0.0.phe	130150	Certain infectious and parasitic diseases	HC518
A89	unspecified viral infection of central nervous system	TTE_unspecified_viral_infection_of_central_nervous_system	502507	37	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130152.0.0.phe	130152	Certain infectious and parasitic diseases	HC519
A90	dengue fever [classical dengue]	TTE_dengue_fever_[classical_dengue]	502535	9	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130154.0.0.phe	130154	Certain infectious and parasitic diseases	HC520
A91	dengue haemorrhagic fever	TTE_dengue_haemorrhagic_fever	502542	2	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130156.0.0.phe	130156	Certain infectious and parasitic diseases	HC521
A92	other mosquito-borne viral fevers	TTE_other_mosquito-borne_viral_fevers	502530	14	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130158.0.0.phe	130158	Certain infectious and parasitic diseases	HC522
A93	other arthropod-borne viral fevers, not elsewhere classified	TTE_other_arthropod-borne_viral_fevers,_not_elsewhere_classified	502535	9	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130160.0.0.phe	130160	Certain infectious and parasitic diseases	HC523
A94	unspecified arthropod-borne viral fever	TTE_unspecified_arthropod-borne_viral_fever	502540	4	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130162.0.0.phe	130162	Certain infectious and parasitic diseases	HC524
A95	yellow fever	TTE_yellow_fever	502472	72	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130164.0.0.phe	130164	Certain infectious and parasitic diseases	HC525
A97	dengue	TTE_dengue	502511	33	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130168.0.0.phe	130168	Certain infectious and parasitic diseases	HC526
A98	other viral haemorrhagic fevers, not elsewhere classified	TTE_other_viral_haemorrhagic_fevers,_not_elsewhere_classified	502543	1	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130170.0.0.phe	130170	Certain infectious and parasitic diseases	HC527
B00	herpesviral [herpes simplex] infections	TTE_herpesviral_[herpes_simplex]_infections	497904	4640	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130174.0.0.phe	130174	Certain infectious and parasitic diseases	HC528
B01	varicella [chickenpox]	TTE_varicella_[chickenpox]	490680	11864	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130176.0.0.phe	130176	Certain infectious and parasitic diseases	HC529
B02	zoster [herpes zoster]	TTE_zoster_[herpes_zoster]	486635	15909	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130178.0.0.phe	130178	Certain infectious and parasitic diseases	HC530
B03	smallpox	TTE_smallpox	502530	14	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130180.0.0.phe	130180	Certain infectious and parasitic diseases	HC531
B05	measles	TTE_measles	494044	8500	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130184.0.0.phe	130184	Certain infectious and parasitic diseases	HC532
B06	rubella [german measles]	TTE_rubella_[german_measles]	499249	3295	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130186.0.0.phe	130186	Certain infectious and parasitic diseases	HC533
B07	viral warts	TTE_viral_warts	485049	17495	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130188.0.0.phe	130188	Certain infectious and parasitic diseases	HC534
B08	other viral infections characterised by skin and mucous membrane lesions, not elsewhere	TTE_other_viral_infections_characterised_by_skin_and_mucous_membrane_lesions,_not_elsewhere	501503	1041	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130190.0.0.phe	130190	Certain infectious and parasitic diseases	HC535
B09	unspecified viral infection characterised by skin and mucous membrane lesions	TTE_unspecified_viral_infection_characterised_by_skin_and_mucous_membrane_lesions	502521	23	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130192.0.0.phe	130192	Certain infectious and parasitic diseases	HC536
B15	acute hepatitis a	TTE_acute_hepatitis_a	501469	1075	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130194.0.0.phe	130194	Certain infectious and parasitic diseases	HC537
B16	acute hepatitis b	TTE_acute_hepatitis_b	502299	245	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130196.0.0.phe	130196	Certain infectious and parasitic diseases	HC538
B17	other acute viral hepatitis	TTE_other_acute_viral_hepatitis	502280	264	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130198.0.0.phe	130198	Certain infectious and parasitic diseases	HC539
B18	chronic viral hepatitis	TTE_chronic_viral_hepatitis	501850	694	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130200.0.0.phe	130200	Certain infectious and parasitic diseases	HC540
B19	unspecified viral hepatitis	TTE_unspecified_viral_hepatitis	501220	1324	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130202.0.0.phe	130202	Certain infectious and parasitic diseases	HC541
B20	human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases	TTE_human_immunodeficiency_virus_[hiv]_disease_resulting_in_infectious_and_parasitic_diseases	502477	67	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130204.0.0.phe	130204	Certain infectious and parasitic diseases	HC542
B21	human immunodeficiency virus [hiv] disease resulting in malignant neoplasms	TTE_human_immunodeficiency_virus_[hiv]_disease_resulting_in_malignant_neoplasms	502528	16	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130206.0.0.phe	130206	Certain infectious and parasitic diseases	HC543
B22	human immunodeficiency virus [hiv] disease resulting in other specified diseases	TTE_human_immunodeficiency_virus_[hiv]_disease_resulting_in_other_specified_diseases	502532	12	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130208.0.0.phe	130208	Certain infectious and parasitic diseases	HC544
B23	human immunodeficiency virus [hiv] disease resulting in other conditions	TTE_human_immunodeficiency_virus_[hiv]_disease_resulting_in_other_conditions	502504	40	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130210.0.0.phe	130210	Certain infectious and parasitic diseases	HC545
B24	unspecified human immunodeficiency virus [hiv] disease	TTE_unspecified_human_immunodeficiency_virus_[hiv]_disease	502032	512	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130212.0.0.phe	130212	Certain infectious and parasitic diseases	HC546
B25	cytomegaloviral disease	TTE_cytomegaloviral_disease	502314	230	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130214.0.0.phe	130214	Certain infectious and parasitic diseases	HC547
B26	mumps	TTE_mumps	497019	5525	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130216.0.0.phe	130216	Certain infectious and parasitic diseases	HC548
B27	infectious mononucleosis	TTE_infectious_mononucleosis	499269	3275	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130218.0.0.phe	130218	Certain infectious and parasitic diseases	HC549
B30	viral conjunctivitis	TTE_viral_conjunctivitis	502348	196	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130220.0.0.phe	130220	Certain infectious and parasitic diseases	HC550
B33	other viral diseases, not elsewhere classified	TTE_other_viral_diseases,_not_elsewhere_classified	502314	230	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130222.0.0.phe	130222	Certain infectious and parasitic diseases	HC551
B34	viral infection of unspecified site	TTE_viral_infection_of_unspecified_site	491335	11209	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130224.0.0.phe	130224	Certain infectious and parasitic diseases	HC552
B35	dermatophytosis	TTE_dermatophytosis	469688	32856	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130226.0.0.phe	130226	Certain infectious and parasitic diseases	HC553
B36	other superficial mycoses	TTE_other_superficial_mycoses	496745	5799	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130228.0.0.phe	130228	Certain infectious and parasitic diseases	HC554
B37	candidiasis	TTE_candidiasis	492854	9690	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130230.0.0.phe	130230	Certain infectious and parasitic diseases	HC555
B38	coccidioidomycosis	TTE_coccidioidomycosis	502543	1	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130232.0.0.phe	130232	Certain infectious and parasitic diseases	HC556
B39	histoplasmosis	TTE_histoplasmosis	502535	9	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130234.0.0.phe	130234	Certain infectious and parasitic diseases	HC557
B40	blastomycosis	TTE_blastomycosis	502543	1	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130236.0.0.phe	130236	Certain infectious and parasitic diseases	HC558
B42	sporotrichosis	TTE_sporotrichosis	502542	2	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130240.0.0.phe	130240	Certain infectious and parasitic diseases	HC559
B43	chromomycosis and phaeomycotic abscess	TTE_chromomycosis_and_phaeomycotic_abscess	502541	3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/master_phe/cox/phenotypefiles_phe/f.130242.0.0.phe	130242	Certain infectious and parasitic diseases	HC560
