#GBE_ID	GBE_NAME	FIELD	TABLE	BASKET	APP_ID	N	N_GBE	N_AFR	N_EAS	N_SAS	SOURCE	DATE	PATH
BIN20421	Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer	20421	24613	10483	24983	39013	27255	148	81	218	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20421.phe
BIN20425	Ever_worried_more_than_most_people_would_in_similar_situation	20425	24613	10483	24983	34240	23817	147	84	237	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20425.phe
BIN20428	Professional_informed_about_anxiety	20428	24613	10483	24983	29552	20678	118	44	154	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20428.phe
BIN20431	Ever_addicted_to_a_behaviour_or_miscellanous	20431	24613	10483	24983	2243	1474	20	11	20	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20431.phe
BIN20432	Ongoing_behavioural_or_miscellanous_addiction	20432	24613	10483	24983	1064	698	7	5	12	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20432.phe
BIN20435	Difficulty_concentrating_during_worst_depression	20435	24613	10483	24983	61709	43070	258	137	382	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20435.phe
BIN20437	Thoughts_of_death_during_worst_depression	20437	24613	10483	24983	43619	30309	195	99	276	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20437.phe
BIN20441	Ever_had_prolonged_loss_of_interest_in_normal_activities	20441	24613	10483	24983	62032	43081	297	140	416	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20441.phe
BIN20446	Ever_had_prolonged_feelings_of_sadness_or_depression	20446	24613	10483	24983	85954	59970	387	211	526	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20446.phe
BIN20447	Depression_possibly_related_to_stressful_or_traumatic_event	20447	24613	10483	24983	64894	45222	305	153	417	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20447.phe
BIN20448	Professional_informed_about_depression	20448	24613	10483	24983	57034	39803	239	103	284	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20448.phe
BIN20449	Feelings_of_tiredness_during_worst_episode_of_depression	20449	24613	10483	24983	65364	45512	282	152	411	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20449.phe
BIN20450	Feelings_of_worthlessness_during_worst_period_of_depression	20450	24613	10483	24983	42308	29286	182	107	289	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20450.phe
BIN20456	Ever_addicted_to_illicit_or_recreational_drugs	20456	24613	10483	24983	778	449	10	0	6	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20456.phe
BIN20457	Ongoing_addiction_or_dependence_on_illicit_or_recreational_drugs	20457	24613	10483	24983	128	65	3	0	2	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20457.phe
BIN20463	Ever_heard_an_un-real_voice	20463	24613	10483	24983	2777	1832	14	6	19	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20463.phe
BIN20466	Ever_prescribed_a_medication_for_unusual_or_psychotic_experiences	20466	24613	10483	24983	879	588	7	1	2	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20466.phe
BIN20468	Ever_believed_in_an_un-real_conspiracy_against_self	20468	24613	10483	24983	1262	850	12	5	11	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20468.phe
BIN20471	Ever_seen_an_un-real_vision	20471	24613	10483	24983	5031	3478	16	9	24	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20471.phe
BIN20474	Ever_believed_in_un-real_communications_or_signs	20474	24613	10483	24983	1138	757	7	5	6	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20474.phe
BIN20477	Ever_talked_to_a_health_professional_about_unusual_or_psychotic_experiences	20477	24613	10483	24983	1664	1124	14	4	6	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20477.phe
BIN20480	Ever_self-harmed	20480	24613	10483	24983	6872	4656	33	15	52	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20480.phe
BIN20481	Self-harmed_in_past_year	20481	24613	10483	24983	592	394	1	2	4	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20481.phe
BIN20483	Ever_attempted_suicide	20483	24613	10483	24983	3563	2433	22	6	30	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20483.phe
BIN20484	Attempted_suicide_in_past_year	20484	24613	10483	24983	104	65	0	0	1	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20484.phe
BIN20486	Contemplated_self-harm_in_past_year	20486	24613	10483	24983	4648	3168	18	10	19	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20486.phe
BIN20499	Ever_sought_or_received_professional_help_for_mental_distress	20499	24613	10483	24983	61475	42760	232	107	335	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20499.phe
BIN20500	Ever_suffered_mental_distress_preventing_usual_activities	20500	24613	10483	24983	51799	35911	185	97	338	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20500.phe
BIN20501	Ever_had_period_of_mania_/_excitability	20501	24613	10483	24983	6744	4422	56	28	81	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20501.phe
BIN20502	Ever_had_period_extreme_irritability	20502	24613	10483	24983	40294	27566	201	134	338	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20502.phe
BIN20503	Ever_addicted_to_prescription_or_over-the-counter_medication	20503	24613	10483	24983	1319	920	4	3	6	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20503.phe
BIN20504	Ongoing_addiction_or_dependence_to_over-the-counter_medication	20504	24613	10483	24983	550	390	1	0	1	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20504.phe
BIN20532	Did_your_sleep_change?	20532	24613	10483	24983	60910	42436	294	153	411	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20532.phe
BIN20533	Trouble_falling_asleep	20533	24613	10483	24983	46371	32132	249	124	338	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20533.phe
BIN20534	Sleeping_too_much	20534	24613	10483	24983	12693	8605	75	35	92	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20534.phe
BIN20535	Waking_too_early	20535	24613	10483	24983	46179	32163	219	103	326	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20535.phe
BIN20538	Worried_most_days_during_period_of_worst_anxiety	20538	24613	10483	24983	41418	28953	156	78	246	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20538.phe
BIN20540	Multiple_worries_during_worst_period_of_anxiety	20540	24613	10483	24983	35448	24467	165	82	239	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20540.phe
BIN20541	Difficulty_stopping_worrying_during_worst_period_of_anxiety	20541	24613	10483	24983	44506	31144	162	98	266	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20541.phe
BIN20542	Stronger_worrying_(than_other_people)_during_period_of_worst_anxiety	20542	24613	10483	24983	27536	19236	86	54	194	ukb_20171110.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10483/BIN20542.phe
BIN2090	Seen_doctor_(GP)_for_nerves,_anxiety,_tension_or_depression	2090	21731	10136	24983	171658	116857	1380	307	1659	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN2090.phe
BIN2100	Seen_a_psychiatrist_for_nerves,_anxiety,_tension_or_depression	2100	21731	10136	24983	58727	38744	519	127	713	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN2100.phe
BIN21024	Ever_diagnosed_with_IBS	21024	25279	2001702	24983	21362	14943	88	35	127	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21024.phe
BIN21026	Discomfort/pain_occurring_only_during_menstrual_bleed	21026	25279	2001702	24983	1122	721	9	6	23	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21026.phe
BIN21027	Abdominal_discomfort_pain_for_6_months_or_longer	21027	25279	2001702	24983	48745	34103	190	75	281	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21027.phe
BIN21035	Currently_in_last_3_months_suffer_from_abdominal_pain	21035	25279	2001702	24983	50621	35331	272	105	317	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21035.phe
BIN21038	Currently_suffer_from_abdominal_distension	21038	25279	2001702	24983	40668	28116	232	88	338	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21038.phe
BIN21062	Ever_been_offered_sought_treatment_for_anxiety	21062	25279	2001702	24983	39055	27407	135	44	186	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21062.phe
BIN21063	Ever_been_offered_sought_treatment_for_depression	21063	25279	2001702	24983	42380	29535	151	68	208	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21063.phe
BIN21064	Sensitive_stomach	21064	25279	2001702	24983	0	0	0	0	0	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21064.phe
BIN21065	Family_history_of_IBS	21065	25279	2001702	24983	24669	17140	89	54	189	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21065.phe
BIN21066	Born_by_caesarian_section	21066	25279	2001702	24983	4497	3162	19	11	24	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21066.phe
BIN21067	Long-term_recurrent_antibiotics_as_child_or_teenager	21067	25279	2001702	24983	23006	15835	110	53	143	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21067.phe
BIN21068	Diagnosed_with_coeliac_disease_or_gluten_sensitivity	21068	25279	2001702	24983	3262	2294	19	0	18	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21068.phe
BIN21069	Method_of_coeliac_disease/gluten_sensitivity_diagnosis	21069	25279	2001702	24983	3262	2294	19	0	18	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21069.phe
BIN21070	Speed_of_onset_of_IBS_symptoms	21070	25279	2001702	24983	5380	3758	30	11	38	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21070.phe
BIN21071	Infectious_illness_diagnosis_status_when_IBS_symptoms_first_began	21071	25279	2001702	24983	2118	1454	19	1	16	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21071.phe
BIN21073	Fever_when_IBS_symptoms_first_began	21073	25279	2001702	24983	1469	1025	12	2	8	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21073.phe
BIN21074	Diarrhoea_when_IBS_symptoms_first_began	21074	25279	2001702	24983	10744	7517	39	13	64	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21074.phe
BIN21075	Bloody_diarrhoea_when_IBS_symptoms_first_began	21075	25279	2001702	24983	1205	817	1	1	12	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21075.phe
BIN21076	Vomiting_when_IBS_symptoms_first_began	21076	25279	2001702	24983	1457	989	12	5	13	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN21076.phe
BIN2207	Wears_glasses_or_contact_lenses	2207	21731	10136	24983	445876	302774	4863	1681	5941	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN2207.phe
BIN22126	Doctor_diagnosed_hayfever_or_allergic_rhinitis	22126	24611	9796	24983	27705	19546	160	120	212	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22126.phe
BIN22127	Doctor_diagnosed_asthma	22127	24611	9796	24983	15492	10935	69	35	110	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22127.phe
BIN22128	Doctor_diagnosed_emphysema	22128	24611	9796	24983	365	261	2	1	2	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22128.phe
BIN22129	Doctor_diagnosed_chronic_bronchitis	22129	24611	9796	24983	1383	969	3	3	14	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22129.phe
BIN22130	Doctor_diagnosed_COPD_(chronic_obstructive_pulmonary_disease)	22130	24611	9796	24983	1768	1272	7	0	2	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22130.phe
BIN22131	Doctor_diagnosed_cystic_fibrosis	22131	24611	9796	24983	9	3	0	0	1	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22131.phe
BIN22132	Doctor_diagnosed_alpha-1_antitrypsin_deficiency	22132	24611	9796	24983	48	36	0	0	0	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22132.phe
BIN22133	Doctor_diagnosed_sarcoidosis	22133	24611	9796	24983	529	366	5	0	5	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22133.phe
BIN22134	Doctor_diagnosed_bronchiectasis	22134	24611	9796	24983	1073	760	4	1	5	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22134.phe
BIN22135	Doctor_diagnosed_idiopathic_pulmonary_fibrosis	22135	24611	9796	24983	108	87	0	0	1	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22135.phe
BIN22136	Doctor_diagnosed_fibrosing_alveolitis/unspecified_alveolitis	22136	24611	9796	24983	46	37	2	0	0	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22136.phe
BIN22137	Doctor_diagnosed_tuberculosis	22137	24611	9796	24983	654	442	4	5	8	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22137.phe
BIN22138	Doctor_diagnosed_silicosis	22138	24611	9796	24983	8	7	0	0	0	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22138.phe
BIN22139	Doctor_diagnosed_asbestosis	22139	24611	9796	24983	85	61	0	0	0	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22139.phe
BIN22140	Doctor_diagnosed_lung_cancer_(not_mesothelioma)	22140	24611	9796	24983	156	103	0	1	0	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22140.phe
BIN22141	Doctor_diagnosed_mesothelioma_of_the_lung	22141	24611	9796	24983	14	8	0	0	0	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22141.phe
BIN22502	Cough_on_most_days	22502	24611	9796	24983	16498	11783	39	26	98	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22502.phe
BIN22504	Bring_up_phlegm/sputum/mucus_on_most_days	22504	24611	9796	24983	10481	7240	42	16	80	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/9796/BIN22504.phe
BIN2415	Had_major_operations	2415	21731	10136	24983	144492	100606	1061	227	1685	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN2415.phe
BIN3081	Foot_measured_for_bone_density	3081	25279	2001702	24983	317754	220612	2632	1099	2672	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN3081.phe
BIN3606	Chest_pain_or_discomfort_walking_normally	3606	21731	10136	24983	15355	9131	431	65	474	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN3606.phe
BIN3616	Chest_pain_due_to_walking_ceases_when_standing_still	3616	21731	10136	24983	24852	15911	506	89	551	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN3616.phe
BIN4092	Heel_ultrasound_method_(left)_(Direct_entry_vs._Manual_entry)	4092	25279	2001702	24983	192383	126167	3478	966	4556	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN4092.phe
BIN4093	Fractured_heel_(left)	4093	25279	2001702	24983	444	312	3	0	8	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN4093.phe
BIN4095	Heel_ultrasound_method_(right)_(Direct_entry_vs._Manual_entry)	4095	25279	2001702	24983	192530	126249	3510	967	4556	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN4095.phe
BIN4096	Fractured_heel_(right)	4096	25279	2001702	24983	609	383	13	2	13	ukb_20181109.tsv	2018-12-06	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/2001702/BIN4096.phe
BIN4598	Ever_depressed_for_a_whole_week	4598	21731	10136	24983	103838	68731	1643	384	1826	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN4598.phe
BIN4631	Ever_unenthusiastic/disinterested_for_a_whole_week	4631	21731	10136	24983	70161	45917	1264	249	1330	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN4631.phe
BIN4642	Ever_manic/hyper_for_2_days	4642	21731	10136	24983	11903	6789	443	83	515	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN4642.phe
BIN4653	Ever_highly_irritable/argumentative_for_2_days	4653	21731	10136	24983	35139	22153	672	190	952	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN4653.phe
BIN4728	Leg_pain_on_walking	4728	21731	10136	24983	46334	28737	1366	275	1730	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN4728.phe
BIN5181	Ever_had_eye_surgery	5181	21731	10136	24983	11401	7162	240	73	351	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN5181.phe
BIN5324	Ever_had_cataract_surgery	5324	21731	10136	24983	3317	1990	113	30	160	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN5324.phe
BIN5325	Ever_had_refractive_laser_eye_surgery	5325	21731	10136	24983	2928	1830	35	20	93	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN5325.phe
BIN5326	Ever_had_surgery_for_glaucoma_or_high_eye_pressure	5326	21731	10136	24983	201	118	9	2	8	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN5326.phe
BIN5327	Ever_had_laser_treatment_for_glaucoma_or_high_eye_pressure	5327	21731	10136	24983	410	262	8	2	10	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN5327.phe
BIN5328	Ever_had_corneal_graft_surgery	5328	21731	10136	24983	240	150	8	0	7	ukb_20170827.tsv	2018-12-05	/oak/stanford/groups/mrivas/dev-ukbb-tools/phenotypes/10136/BIN5328.phe
