#GBE_ID	N_GBE	GBE_NAME	N_GBE	N_GBE	Y
BIN5529	1016	Surgery_on_leg_arteries_(other_than_for_varicose_veins)	1016	1016	Y
BIN_FC10001259	31369	Smoking/smokers_in_household	31369	31369	Y
BIN_FC10001677	183014	Breastfed_as_a_baby	183014	183014	Y
BIN_FC10001767	4598	Adopted_as_a_child	4598	4598	Y
BIN_FC10001777	7390	Part_of_a_multiple_birth	7390	7390	Y
BIN_FC10001787	89383	Maternal_smoking_around_birth	89383	89383	Y
BIN_FC10001797	76101	Father_still_alive	76101	76101	Y
BIN_FC10001835	130984	Mother_still_alive	130984	130984	Y
BIN_FC10001920	151108	Mood_swings	151108	151108	Y
BIN_FC10001930	144124	Miserableness	144124	144124	Y
BIN_FC10001940	92490	Irritability	92490	92490	Y
BIN_FC10001950	184612	Sensitivity_/_hurt_feelings	184612	184612	Y
BIN_FC10001960	136778	Fed-up_feelings	136778	136778	Y
BIN_FC10001970	79396	Nervous_feelings	79396	79396	Y
BIN_FC10001980	188822	Worrier_/_anxious_feelings	188822	188822	Y
BIN_FC10001990	57394	Tense_/_'highly_strung'	57394	57394	Y
BIN_FC10002000	157640	Worry_too_long_after_embarrassment	157640	157640	Y
BIN_FC10002010	71057	Suffer_from_'nerves'	71057	71057	Y
BIN_FC10002020	60410	Loneliness,_isolation	60410	60410	Y
BIN_FC10002030	95449	Guilty_feelings	95449	95449	Y
BIN_FC10002040	84769	Risk_taking	84769	84769	Y
BIN_FC100020544	330	Bulimia_nervosa_diagnosed_by__a_professional	330	330	Y
BIN_FC10002090	116857	Seen_doctor_(GP)_for_nerves,_anxiety,_tension_or_depression	116857	116857	Y
BIN_FC10002100	38744	Seen_a_psychiatrist_for_nerves,_anxiety,_tension_or_depression	38744	38744	Y
BIN_FC10002159	10143	Ever_had_same-sex_intercourse	10143	10143	Y
BIN_FC10002188	110684	Long-standing_illness,_disability_or_infirmity	110684	110684	Y
BIN_FC10002207	302774	Wears_glasses_or_contact_lenses	302774	302774	Y
BIN_FC10002227	51153	Other_eye_problems	51153	51153	Y
BIN_FC10002257	129396	Hearing_difficulty/problems_with_background_noise	129396	129396	Y
BIN_FC10002316	70734	Wheeze_or_whistling_in_the_chest_in_last_year	70734	70734	Y
BIN_FC10002335	53709	Chest_pain_or_discomfort	53709	53709	Y
BIN_FC10002345	118919	Ever_had_bowel_cancer_screening	118919	118919	Y
BIN_FC10002365	49169	Ever_had_prostate_specific_antigen_(PSA)_test	49169	49169	Y
BIN_FC10002415	100606	Had_major_operations	100606	100606	Y
BIN_FC10002443	16890	Diabetes_diagnosed_by_doctor	16890	16890	Y
BIN_FC10002453	28171	Cancer_diagnosed_by_doctor	28171	28171	Y
BIN_FC10002463	34441	Fractured/broken_bones_in_last_5_years	34441	34441	Y
BIN_FC10002473	70783	Other_serious_medical_condition/disability_diagnosed_by_doctor	70783	70783	Y
BIN_FC10002492	163563	Taking_other_prescription_medications	163563	163563	Y
BIN_FC10002644	42288	Light_smokers,_at_least_100_smokes_in_lifetime	42288	42288	Y
BIN_FC10002674	148994	Ever_had_breast_cancer_screening_/_mammogram	148994	148994	Y
BIN_FC10002694	177268	Ever_had_cervical_smear_test	177268	177268	Y
BIN_FC10002774	56430	Ever_had_stillbirth,_spontaneous_miscarriage_or_termination	56430	56430	Y
BIN_FC10002784	149503	Ever_taken_oral_contraceptive_pill	149503	149503	Y
BIN_FC10002814	72104	Ever_used_hormone-replacement_therapy_(HRT)	72104	72104	Y
BIN_FC10002834	15016	Bilateral_oophorectomy_(both_ovaries_removed)	15016	15016	Y
BIN_FC10002844	121447	Had_other_major_operations	121447	121447	Y
BIN_FC10002907	36101	Ever_stopped_smoking_for_6+_months	36101	36101	Y
BIN_FC10002956	4402	General_pain_for_3+_months	4402	4402	Y
BIN_FC10002986	1916	Started_insulin_within_one_year_diagnosis_of_diabetes	1916	1916	Y
BIN_FC10003005	20351	Fracture_resulting_from_simple_fall	20351	20351	Y
BIN_FC10003082	0	Fractured_heel_unsure_is_case	0	0	Y
BIN_FC10003393	11824	Hearing_aid_user	11824	11824	Y
BIN_FC10003404	54642	Neck/shoulder_pain_for_3+_months	54642	54642	Y
BIN_FC10003414	31056	Hip_pain_for_3+_months	31056	31056	Y
BIN_FC10003486	21237	Ever_tried_to_stop_smoking	21237	21237	Y
BIN_FC10003571	60279	Back_pain_for_3+_months	60279	60279	Y
BIN_FC10003591	13772	Ever_had_hysterectomy_(womb_removed)	13772	13772	Y
BIN_FC10003616	15911	Chest_pain_due_to_walking_ceases_when_standing_still	15911	15911	Y
BIN_FC10003720	7309	Menstruating_today	7309	7309	Y
BIN_FC10003731	12053	Former_alcohol_drinker	12053	12053	Y
BIN_FC10003741	16013	Stomach/abdominal_pain_for_3+_months	16013	16013	Y
BIN_FC10003773	58931	Knee_pain_for_3+_months	58931	58931	Y
BIN_FC10003799	30734	Headaches_for_3+_months	30734	30734	Y
BIN_FC10003912	505	Adopted_father_still_alive	505	505	Y
BIN_FC10003942	968	Adopted_mother_still_alive	968	968	Y
BIN_FC10004041	651	Gestational_diabetes_only	651	651	Y
BIN_FC10004067	2982	Facial_pains_for_3+_months	2982	2982	Y
BIN_FC10004501	35324	Non-accidental_death_in_close_genetic_family	35324	35324	Y
BIN_FC10004598	68731	Ever_depressed_for_a_whole_week	68731	68731	Y
BIN_FC10004631	45917	Ever_unenthusiastic/disinterested_for_a_whole_week	45917	45917	Y
BIN_FC10004642	6789	Ever_manic/hyper_for_2_days	6789	6789	Y
BIN_FC10004653	22153	Ever_highly_irritable/argumentative_for_2_days	22153	22153	Y
BIN_FC10004717	13294	Shortness_of_breath_walking_on_level_ground	13294	13294	Y
BIN_FC10004728	28737	Leg_pain_on_walking	28737	28737	Y
BIN_FC10004792	109	Cochlear_implant	109	109	Y
BIN_FC10005452	17436	Leg_pain_when_standing_still_or_sitting	17436	17436	Y
BIN_FC10005463	9127	Leg_pain_in_calf/calves	9127	9127	Y
BIN_FC10005474	18890	Leg_pain_when_walking_uphill_or_hurrying	18890	18890	Y
BIN_FC10005485	15829	Leg_pain_when_walking_normally	15829	15829	Y
BIN_FC10005496	5512	Leg_pain_when_walking_ever_disappears_while_walking	5512	5512	Y
BIN_FC10005529	1016	Surgery_on_leg_arteries_(other_than_for_varicose_veins)	1016	1016	Y
BIN_FC10005959	1270	Previously_smoked_cigarettes_on_most/all_days	1270	1270	Y
BIN_FC10006154	6740	Ranitidine_use_self-reported	6740	6740	Y
BIN_FC10006155	15785	Vitamin_D_vs_multivitamin	15785	15785	Y
BIN_FC10006157	10180	Why_stopped_smoking_Illness	10180	10180	Y
BIN_FC10006179	14030	Zinc_supplements	14030	14030	Y
BIN_FC10010016	27	Regular_use_of_hands-free_device/speakerphone_with_mobile_phone_(pilot)	27	27	Y
BIN_FC10010105	292	Internet_user_(pilot)	292	292	Y
BIN_FC10010114	247	Willing_to_be_contacted_by_email_(pilot)	247	247	Y
BIN_FC10010793	70	Hearing_difficulty/problems_(pilot)	70	70	Y
BIN_FC10010844	0	Gestational_diabetes_only_(pilot)	0	0	Y
BIN_FC10010895	37	Light_smokers,_at_least_100_smokes_in_lifetime_(pilot)	37	37	Y
BIN_FC10012187	20636	Brain_MRI_measuring_method_Direct_entry_vs_other	20636	20636	Y
BIN_FC10012323	18479	12-lead_ECG_measuring_method_Direct_entry_vs_other	18479	18479	Y
BIN_FC1001747	38965	Hair_colour_(natural,_before_greying)_blonde	38965	38965	Y
BIN_FC10020018	26519	Prospective_memory_result	26519	26519	Y
BIN_FC10020126	22343	Bipolar_and_major_depression_status_any	22343	22343	Y
BIN_FC10020169	13710	FI3_:_word_interpolation	13710	13710	Y
BIN_FC10020171	9195	FI4_:_positional_arithmetic	9195	9195	Y
BIN_FC10020173	37192	FI5_:_family_relationship_calculation	37192	37192	Y
BIN_FC10020175	18474	FI6_:_conditional_arithmetic	18474	18474	Y
BIN_FC10020177	3937	FI7_:_synonym	3937	3937	Y
BIN_FC10020179	13549	FI8_:_chained_arithmetic	13549	13549	Y
BIN_FC10020181	8003	FI9_:_concept_interpolation	8003	8003	Y
BIN_FC10020183	2612	FI10_:_arithmetic_sequence_recognition	2612	2612	Y
BIN_FC10020185	1834	FI11_:_antonym	1834	1834	Y
BIN_FC10020187	2702	FI12_:_square_sequence_recognition	2702	2702	Y
BIN_FC10020189	830	FI13_:_subset_inclusion_logic	830	830	Y
BIN_FC10020193	294	FI14_:_alphanumeric_substitution	294	294	Y
BIN_FC10020458	5872	Generally_happy	5872	5872	Y
BIN_FC10020459	13837	Generally_happy_with_own_health	13837	13837	Y
BIN_FC10020536	31246	Weight_changed_during_worst_episode_of_depression	31246	31246	Y
BIN_FC10020544	1364	Social_anxiety_or_social_phobia_diagnosed_by__a_professional	1364	1364	Y
BIN_FC10020546	3792	Unprescribed_medication_taken_for_depression	3792	3792	Y
BIN_FC10020547	24009	Talking_based_therapies_taken_for_depression	24009	24009	Y
BIN_FC10020548	5087	Manifestations_of_mania_or_irritability_More_talkative_vs_any	5087	5087	Y
BIN_FC10020549	2787	Unprescribed_medication_taken_for_anxiety	2787	2787	Y
BIN_FC10020550	13879	Talking_based_therapies_taken_for_anxiety	13879	13879	Y
BIN_FC10020551	406	Addiction_to_sedative,_benzodiazepine_or_sleeping_medication	406	406	Y
BIN_FC10020552	394	Other_non-behavioral_addiction	394	394	Y
BIN_FC10021050	3080	Degree_bothered_by_menstrual_cramps_or_other_problems_with_period_in_the_last_3_months_(Bothered_vs._Not_bothered_at_all)	3080	3080	Y
BIN_FC10021057	15394	Degree_bothered_by_pain/problems_during_intercourse_in_the_last_3_months_(Bothered_vs._Not_bothered_at_all)	15394	15394	Y
BIN_FC10021072	110	Infection_diagnosed_alongside_IBS_when_IBS_symptoms_began_(Salmonella)	110	110	Y
BIN_FC1002159	10143	Ever_had_same-sex_intercourse	10143	10143	Y
BIN_FC1002247	88913	Hearing_difficulty	88913	88913	Y
BIN_FC10022506	3207	Tobacco_smoking_current_vs_non	3207	3207	Y
BIN_FC1002306	149940	Weight_change_compared_with_1_year_ago	149940	149940	Y
BIN_FC1002395	36387	Male_pattern_baldness_severity	36387	36387	Y
BIN_FC1002724	115017	Had_menopause	115017	115017	Y
BIN_FC1004803	39842	Tinnitus	39842	39842	Y
BIN_FC1005149	5845	3mm_regularity_index_for_irregular_astigmatism_level_(left)	5845	5845	Y
BIN_FC1005152	2927	3mm_asymmetry_index_for_irregular_astigmatism_level_(right)	2927	2927	Y
BIN_FC1005155	2552	3mm_asymmetry_index_for_irregular_astigmatism_level_(left)	2552	2552	Y
BIN_FC1005164	5999	3mm_regularity_index_for_irregular_astigmatism_level_(right)	5999	5999	Y
BIN_FC1006144	8933	Never_eat_eggs	8933	8933	Y
BIN_FC1006148	2270	Eye_problems/disorders_Diabetic_eye_disease	2270	2270	Y
BIN_FC1006149	35828	Mouth_ulcers	35828	35828	Y
BIN_FC1006150	7967	Vascular/heart_problems_diagnosed_by_doctor_Heart_attack	7967	7967	Y
BIN_FC1006152	7166	DVT_diagnosed_by_doctor	7166	7166	Y
BIN_FC1006153	23954	Medication_for_cholesterol_(female_only)	23954	23954	Y
BIN_FC1006155	6513	Vitamin_A_vs_no_supplement	6513	6513	Y
BIN_FC1006177	38044	Medication_for_cholesterol_(male_only)	38044	38044	Y
BIN_FC10110005	89537	Invitation_to_physical_activity_study,_acceptance	89537	89537	Y
BIN_FC110020544	453	Psychological_over-eating_or_binge-eating_diagnosed_by__a_professional	453	453	Y
BIN_FC11006152	9053	Blood_clot_or_DVT_diagnosed_by_doctor	9053	9053	Y
BIN_FC11006154	22366	Omeprazole_use_self-reported	22366	22366	Y
BIN_FC11006155	9861	Vitamin_E_vs_multivitamin	9861	9861	Y
BIN_FC11006179	10532	Iron_supplements	10532	10532	Y
BIN_FC120020544	147	Autism_spectrum_disorder_diagnosed_by__a_professional	147	147	Y
BIN_FC12006154	10211	Laxative_use_self-reported	10211	10211	Y
BIN_FC12006155	7294	Vitamin_B9_vs_multivitamin	7294	7294	Y
BIN_FC12006179	8164	Selenium_supplements	8164	8164	Y
BIN_FC130020544	15649	Anxiety_disorder_diagnosed_by__a_professional	15649	15649	Y
BIN_FC140020544	632	Anorexia_nervosa_diagnosed_by__a_professional	632	632	Y
BIN_FC150020544	448	Agoraphobia_diagnosed_by__a_professional	448	448	Y
BIN_FC160020544	74	Attention_deficit_(hyperactivity)_disorder_(ADD/ADHD)_diagnosed_by_a_professional	74	74	Y
BIN_FC170020544	34850	Mental_health_problems_diagnosed_by_a_professional	34850	34850	Y
BIN_FC20003082	0	Fractured_heel_unsure_is_control	0	0	Y
BIN_FC20003486	11831	Ever_tried_to_stop_smoking_failed_vs_no	11831	11831	Y
BIN_FC20006157	6135	Why_stopped_smoking_doctor_advice	6135	6135	Y
BIN_FC20012187	213	Brain_MRI_measuring_method_Not_performed_equipment_failure_vs_Direct_entry	213	213	Y
BIN_FC20012323	1837	12-lead_ECG_measuring_method_Not_performed_equipment_failure_vs_Direct_entry	1837	1837	Y
BIN_FC2001747	15411	Hair_colour_(natural,_before_greying)_red	15411	15411	Y
BIN_FC20020018	5349	Prospective_memory_result	5349	5349	Y
BIN_FC20020126	500	Bipolar_and_major_depression_status_Bipolar_Type_I	500	500	Y
BIN_FC20020544	90	Schizophrenia_diagnosed_by__a_professional	90	90	Y
BIN_FC20020546	26520	Prescribed_medication_taken_for_depression	26520	26520	Y
BIN_FC20020547	8369	Activity_based_therapies_taken_for_depression	8369	8369	Y
BIN_FC20020548	12023	Manifestations_of_mania_or_irritability_More_restless_vs_any	12023	12023	Y
BIN_FC20020549	14080	Prescribed_medication_taken_for_anxiety	14080	14080	Y
BIN_FC20020550	6093	Activity_based_therapies_taken_for_anxiety	6093	6093	Y
BIN_FC20020551	387	Addiction_to_painkiller_medication	387	387	Y
BIN_FC20020552	1107	Other_behavioral_addiction	1107	1107	Y
BIN_FC20021072	13	Infection_diagnosed_alongside_IBS_when_IBS_symptoms_began_(Shigella)	13	13	Y
BIN_FC2002247	82	Deafness	82	82	Y
BIN_FC20022506	3207	Tobacco_smoking_current_vs_past	3207	3207	Y
BIN_FC2006144	7713	Never_eat_dairy	7713	7713	Y
BIN_FC2006148	5144	Eye_problems/disorders_Glaucoma	5144	5144	Y
BIN_FC2006149	9931	Painful_gums	9931	9931	Y
BIN_FC2006150	10856	Vascular/heart_problems_diagnosed_by_doctor_Angina	10856	10856	Y
BIN_FC2006152	5834	emphysema/chronic_bronchitis_diagnosed_by_doctor	5834	5834	Y
BIN_FC2006153	32590	Medication_for_blood_pressure_(female_only)	32590	32590	Y
BIN_FC2006155	14623	Vitamin_B_vs_no_supplement	14623	14623	Y
BIN_FC2006177	40262	Medication_for_blood_pressure_(male_only)	40262	40262	Y
BIN_FC30003486	9530	Ever_tried_to_stop_smoking_succeeded_vs_no	9530	9530	Y
BIN_FC30006157	53115	Why_stopped_smoking_precautionary	53115	53115	Y
BIN_FC30012187	756	Brain_MRI_measuring_method_Direct_entry_vs_Not_performed_other_reason	756	756	Y
BIN_FC30012323	1449	12-lead_ECG_measuring_method_Direct_entry_vs_Not_performed_other_reason	1449	1449	Y
BIN_FC3001747	140224	Hair_colour_(natural,_before_greying)_light_brown	140224	140224	Y
BIN_FC30020126	453	Bipolar_and_major_depression_status_Bipolar_Type_II	453	453	Y
BIN_FC30020544	399	Other_psychosis_diagnosed_by__a_professional	399	399	Y
BIN_FC30020546	7905	Drugs_or_alcohol_taken_for_depression	7905	7905	Y
BIN_FC30020547	27493	Non-drug_therapies_taken_for_depression	27493	27493	Y
BIN_FC30020548	9875	Manifestations_of_mania_or_irritability_Thoughts_racing_vs_any	9875	9875	Y
BIN_FC30020549	5815	Drugs_or_alcohol_taken_for_anxiety	5815	5815	Y
BIN_FC30020550	16682	Non-drug_therapies_taken_for_anxiety	16682	16682	Y
BIN_FC30020551	206	Addiction_to_other_medication	206	206	Y
BIN_FC30021072	181	Infection_diagnosed_alongside_IBS_when_IBS_symptoms_began_(Campylobacter)	181	181	Y
BIN_FC3002247	88991	Hearing_difficulty_and_Deafness	88991	88991	Y
BIN_FC30022506	34296	Tobacco_smoking_ever_vs_no	34296	34296	Y
BIN_FC3006144	9473	Never_eat_wheat	9473	9473	Y
BIN_FC3006148	2107	Eye_problems/disorders_Injury_resulting_in_vision_loss	2107	2107	Y
BIN_FC3006149	45554	Bleeding_gums	45554	45554	Y
BIN_FC3006150	5357	Vascular/heart_problems_diagnosed_by_doctor_Stroke	5357	5357	Y
BIN_FC3006152	2891	Blood_clot_diagnosed_by_doctor	2891	2891	Y
BIN_FC3006153	1414	Medication_for_diabetes_(female_only)	1414	1414	Y
BIN_FC3006155	29942	Vitamin_C_vs_no_supplement	29942	29942	Y
BIN_FC3006177	2177	Medication_for_diabetes_(male_only)	2177	2177	Y
BIN_FC40003486	11831	Ever_tried_to_stop_smoking_failed_vs_succeeded	11831	11831	Y
BIN_FC40006157	21254	Why_stopped_smoking_financial	21254	21254	Y
BIN_FC4001747	126638	Hair_colour_(natural,_before_greying)_dark_brown	126638	126638	Y
BIN_FC40020126	5777	Bipolar_and_major_depression_status_probable_depression_(severe)	5777	5777	Y
BIN_FC40020544	244	Other_personality_disorder_diagnosed_by__a_professional	244	244	Y
BIN_FC40020546	28128	Medication_taken_for_depression	28128	28128	Y
BIN_FC40020548	3531	Manifestations_of_mania_or_irritability_Needed_less_sleep_vs_any	3531	3531	Y
BIN_FC40020549	15519	Medication_taken_for_anxiety	15519	15519	Y
BIN_FC40021072	321	Infection_diagnosed_alongside_IBS_when_IBS_symptoms_began_(Virus)	321	321	Y
BIN_FC4006144	66335	Never_eat_sugar	66335	66335	Y
BIN_FC4006148	12628	Eye_problems/disorders_Cataract	12628	12628	Y
BIN_FC4006149	14023	Loose_teeth	14023	14023	Y
BIN_FC4006150	92719	Vascular/heart_problems_diagnosed_by_doctor_High_blood_pressure	92719	92719	Y
BIN_FC4006152	39466	asthma_diagnosed_by_doctor	39466	39466	Y
BIN_FC4006153	13884	Hormone_replacement_therapy_(female_only)	13884	13884	Y
BIN_FC4006155	15785	Vitamin_D_vs_no_supplement	15785	15785	Y
BIN_FC50006157	17309	Why_stopped_smoking_other	17309	17309	Y
BIN_FC5001747	14387	Hair_colour_(natural,_before_greying)_black	14387	14387	Y
BIN_FC50020126	10162	Bipolar_and_major_depression_status_probable_depression_(moderate)	10162	10162	Y
