Annotator	Annotation date	Name	GBE_ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Note
Guhan	4/9/2019	Asthma	BIN_FC9006152	9797	6152			12		9	-3		8	5,6,7,9,-7									100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	Need expert opinion on combination for cases/controls
Guhan	4/9/2019	Oral_contraceptive_pill_or_minipill	BIN_FC10006153	9797	6153			10		10	-3,-1		5	1,2,3,4,-7									100626	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	
Guhan	4/9/2019	Cholesterol_lowering_medication	BIN_FC6006153	9797	6153			10		6	-3,-1		1	2,3,4,5,-7									100626	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	
Guhan	4/9/2019	Blood_pressure_medication	BIN_FC7006153	9797	6153			10		7	-3,-1		2	1,3,4,5,-7									100626	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	
Guhan	4/9/2019	Insulin	BIN_FC8006153	9797	6153			10		8	-3,-1		3	1,2,4,5,-7									100626	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	
Guhan	4/9/2019	Hormone_replacement_therapy	BIN_FC9006153	9797	6153			10		9	-3,-1		4	1,2,3,5,-7									100626	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	
Guhan	4/9/2019	Aspirin	BIN_FC1006154	9797	6154			12		1	-3		1	2,3,4,5,6,-7									100628	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	
Guhan	4/9/2019	Ibuprofen_(e.g._Nurofen)	BIN_FC2006154	9797	6154			12		2	-3		2	1,3,4,5,6,-7									100628	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	
Guhan	4/9/2019	Laxatives	BIN_FC6006154	9797	6154			12		6	-3		6	1,2,3,4,5,-7									100628	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	
Guhan	4/9/2019	Vitamin_A	BIN_FC13006155	9797	6155			19		13	-3		1	2,3,4,5,6,7,-7									100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	
Guhan	4/9/2019	Vitamin_B	BIN_FC14006155	9797	6155			19		14	-3		2	1,3,4,5,6,7,-7									100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	
Guhan	4/9/2019	Vitamin_C	BIN_FC15006155	9797	6155			19		15	-3		3	1,2,4,5,6,7,-7									100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	
Guhan	4/9/2019	Vitamin_D	BIN_FC16006155	9797	6155			19		16	-3		4	1,2,3,5,6,7,-7									100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	
Guhan	4/9/2019	Vitamin_E	BIN_FC17006155	9797	6155			19		17	-3		5	1,2,3,4,6,7,-7									100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	
Guhan	4/9/2019	Folic_acid_or_folate_(Vitamin_B9)	BIN_FC18006155	9797	6155			19		18	-3		6	1,2,3,4,5,7,-7									100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	
Guhan	4/9/2019	Multivitamins_+/-_minerals	BIN_FC19006155	9797	6155			19		19	-3		7	1,2,3,4,5,6,-7									100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	
Guhan	4/9/2019	Cholesterol_lowering_medication	BIN_FC4006177	9797	6177			6		4	-3,-1		1	2,3,-7									100625	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177	
Guhan	4/9/2019	Blood_pressure_medication	BIN_FC5006177	9797	6177			6		5	-3,-1		2	1,3,-7									100625	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177	
Guhan	4/9/2019	Insulin	BIN_FC6006177	9797	6177			6		6	-3,-1		3	1,2,-7									100625	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177	
Guhan	4/9/2019	Fish_oil_(including_cod_liver_oil)	BIN_FC1006179	9797	6179			12		1	-3		1	2,3,4,5,6,-7									100630	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	
Guhan	4/9/2019	Glucosamine	BIN_FC2006179	9797	6179			12		2	-3		2	1,3,4,5,6,-7									100630	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	
Guhan	4/9/2019	Selenium	BIN_FC6006179	9797	6179			12		6	-3		6	1,2,3,4,5,-7									100630	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	
Guhan	4/9/2019	Femur_lower_neck_BMD_(bone_mineral_density)_T-score_(right)	INI23207	9797	23207		1		1															http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?23207	
Guhan	4/9/2019	Femur_shaft_BMD_(bone_mineral_density)_T-score_(right)	INI23211	9797	23211		1		1															http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?23211	
Guhan	4/9/2019	Femur_lower_neck_BMD_(bone_mineral_density)_T-score_(left)	INI23294	9797	23294		1		1															http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?23294	
Guhan	4/9/2019	Femur_shaft_BMD_(bone_mineral_density)_T-score_(left)	INI23303	9797	23303		1		1															http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?23303	
