Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
					Vicorder trace	12688									29456	Accruing	Compound		Auxiliary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12688
					Blood pressure test start time	12695									29359	Accruing	Text		Auxiliary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12695
					Systolic brachial blood pressure	12697									29353	Accruing	Integer	mmHg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12697
					Diastolic brachial blood pressure	12698									29355	Accruing	Integer	mmHg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12698
					Number of PWA tests performed	12699									29456	Accruing	Integer	tests	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12699
					Vicorder results plausible	12700									29456	Accruing	Categorical single		Primary	Unisex	1	1	7.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12700
					Cardiac index during PWA	12702									28012	Accruing	Continuous	litres/min/m2	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12702
					Pancreatic fat - DICOM	20202									30713	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20202
					Liver images - gradient echo - DICOM	20203									10130	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20203
					Liver Imaging - T1 ShMoLLI - DICOM	20204									31363	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20204
					Measurements of pancreas volume - DICOM	20206									21734	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20206
					Liver images - IDEAL protocol - DICOM	20254									22916	Accruing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20254
					Pancreas Images - ShMoLLI - DICOM	20259									24228	Ongoing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20259
					Pancreas Images - gradient echo - DICOM	20260									24351	Ongoing	Text		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20260
					Liver iron (Fe)	22400									1112	Accruing	Continuous	mg/g	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22400
					Liver inflammation factor (LIF)	22401									1095	Accruing	Continuous	units	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22401
					Liver fat percentage	22402									4617	Accruing	Continuous	percent	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22402
					Anterior thigh lean muscle volume (right)	22403									5846	Accruing	Continuous	litres	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22403
					Posterior thigh lean muscle volume (right)	22404									5846	Accruing	Continuous	litres	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22404
					Anterior thigh lean muscle volume (left)	22405									5793	Accruing	Continuous	litres	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22405
					Posterior thigh lean muscle volume (left)	22406									5793	Accruing	Continuous	litres	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22406
					Visceral adipose tissue volume (VAT)	22407									5995	Accruing	Continuous	litres	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22407
					Abdominal subcutaneous adipose tissue volume (ASAT)	22408									5995	Accruing	Continuous	litres	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22408
					Total thigh muscle volume	22409									5741	Accruing	Continuous	litres	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22409
					Total trunk fat	22410									5995	Accruing	Continuous	litres	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22410
					VAT/ASAT error indicator	22411									25	Accruing	Categorical single		Derived	Unisex	1	1	403.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22411
					Thigh error indicator (left)	22412									228	Accruing	Categorical multiple		Derived	Unisex	1	2	401.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22412
					Thigh error indicator (right)	22413									175	Accruing	Categorical multiple		Derived	Unisex	1	2	401.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22413
					Image quality indicator	22414									82	Accruing	Categorical single		Derived	Unisex	1	2	400.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22414
					LV ejection fraction	22420									4711	Accruing	Integer	percent	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22420
					LV end diastolic volume	22421									4711	Accruing	Integer	ml	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22421
					LV end systolic volume	22422									4711	Accruing	Integer	ml	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22422
					LV stroke volume	22423									4711	Accruing	Integer	ml	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22423
					Cardiac output	22424									4711	Accruing	Continuous	litres/min	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22424
					Cardiac index	22425									4711	Accruing	Continuous	litres/min/m2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22425
					Average heart rate	22426									4711	Accruing	Integer	bpm	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22426
					Body surface area	22427									4711	Accruing	Continuous	m2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22427
					1gG antigen for Herpes Simplex virus-1	23000									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23000
					2mgG unique antigen for Herpes Simplex virus-2	23001									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23001
					gE / gI antigen for Varicella Zoster Virus 	23002									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23002
					VCA p18 antigen for Epstein-Barr Virus	23003									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23003
					EBNA-1 antigen for Epstein-Barr Virus	23004									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23004
					ZEBRA antigen for Epstein-Barr Virus	23005									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23005
					EA-D antigen for Epstein-Barr Virus	23006									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23006
					pp150 Nter antigen for Human Cytomegalovirus	23007									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23007
					pp 52 antigen for Human Cytomegalovirus	23008									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23008
					pp 28 antigen for Human Cytomegalovirus	23009									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23009
					IE1A antigen for Human Herpesvirus-6	23010									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23010
					IE1B antigen for Human Herpesvirus-6	23011									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23011
					p101 k antigen for Human Herpesvirus-6	23012									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23012
					U14 antigen for Human Herpesvirus-7	23013									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23013
					LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus	23014									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23014
					K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus	23015									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23015
					HBc antigen for Hepatitis B Virus	23016									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23016
					HBe antigen for Hepatitis B Virus	23017									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23017
					Core antigen for Hepatitis C Virus	23018									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23018
					NS3 antigen for Hepatitis C Virus	23019									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23019
					p22 antigen for Toxoplasma gondii	23020									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23020
					sag1 antigen for Toxoplasma gondii	23021									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23021
					HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	23022									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23022
					HTLV-1 env antigen for Human T-Lymphotropic Virus 1	23023									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23023
					HIV-1 gag antigen for Human Immunodeficiency Virus	23024									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23024
					HIV-1 env antigen for Human Immunodeficiency Virus	23025									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23025
					BK VP1 antigen for Human Polyomavirus BKV	23026									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23026
					JC VP1 antigen for Human Polyomavirus JCV	23027									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23027
					MC VP1 antigen for Merkel Cell Polyomavirus	23028									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23028
					L1 antigen for Human Papillomavirus type-16	23029									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23029
					E6 antigen for Human Papillomavirus type-16	23030									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23030
					E7 antigen for Human Papillomavirus type-16	23031									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23031
					L1 antigen for Human Papillomavirus type-18	23032									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23032
					momp D antigen for Chlamydia trachomatis	23033									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23033
					momp A antigen for Chlamydia trachomatis	23034									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23034
					tarp-D F1 antigen for Chlamydia trachomatis	23035									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23035
					tarp-D F2 antigen for Chlamydia trachomatis	23036									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23036
					PorB antigen for Chlamydia trachomatis	23037									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23037
					pGP3 antigen for Chlamydia trachomatis	23038									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23038
					CagA antigen for Helicobacter pylori	23039									4898	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23039
					VacA antigen for Helicobacter pylori	23040									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23040
					OMP antigen for Helicobacter pylori	23041									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23041
					GroEL antigen for Helicobacter pylori	23042									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23042
					Catalase antigen for Helicobacter pylori	23043									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23043
					UreA antigen for Helicobacter pylori	23044									9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23044
					Antigen assay date	23048									9691	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23048
					Antigen assay QC indicator	23049									1586	Accruing	Categorical single		Auxiliary	Unisex	2	1	7618.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23049
					HSV-1 seropositivity for Herpes Simplex virus-1	23050									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23050
					HSV-2 seropositivity for Herpes Simplex virus-2	23051									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23051
					VZV seropositivity for Varicella Zoster Virus 	23052									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23052
					EBV seropositivity for Epstein-Barr Virus	23053									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23053
					CMV seropositivity for Human Cytomegalovirus	23054									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23054
					HHV-6 overall seropositivity for Human Herpesvirus-6	23055									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23055
					HHV-6A seropositivity for Human Herpesvirus-6	23056									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23056
					HHV-6B seropositivity for Human Herpesvirus-6	23057									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23057
					HHV-7 seropositivity for Human Herpesvirus-7	23058									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23058
					KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus	23059									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23059
					HBV seropositivity for Hepatitis B Virus	23060									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23060
					HCV seropositivity for Hepatitis C Virus	23061									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23061
					T. gondii seropositivity for Toxoplasma gondii	23062									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23062
					HTLV-1 seropositivity for Human T-Lymphotropic Virus 1	23063									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23063
					HIV-1 seropositivity for Human Immunodeficiency Virus	23064									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23064
					BKV seropositivity for Human Polyomavirus BKV	23065									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23065
					JCV seropositivity for Human Polyomavirus JCV	23066									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23066
					MCV seropositivity for Merkel Cell Polyomavirus	23067									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23067
					HPV 16 Definition I seropositivity for Human Papillomavirus type-16	23068									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23068
					HPV 18 seropositivity for Human Papillomavirus type-18	23069									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23069
					C. trachomatis Definition I seropositivity for Chlamydia trachomatis	23070									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23070
					C. trachomatis Definition II seropositivity for Chlamydia trachomatis	23071									7620	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23071
					H. pylori Definition I seropositivity for Helicobacter pylori	23073									4898	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23073
					H. pylori Definition II seropositivity for Helicobacter pylori	23074									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23074
					HPV 16 Definition II seropositivity for Human Papillomavirus type-16	23075									9691	Accruing	Categorical single		Derived	Unisex	2	1	12.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23075
					Albumin	30600									432359	Accruing	Continuous	g/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30600
					Albumin assay date	30601									474806	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30601
					Albumin aliquot	30602									474597	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30602
					Albumin correction level	30603									432359	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30603
					Albumin correction reason	30604									432359	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30604
					Albumin missing reason	30605									65194	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30605
					Albumin reportability	30606									432374	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30606
					Alkaline phosphatase	30610									470883	Accruing	Continuous	U/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30610
					Alkaline phosphatase assay date	30611									474862	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30611
					Alkaline phosphatase aliquot	30612									474653	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30612
					Alkaline phosphatase correction level	30613									470883	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30613
					Alkaline phosphatase correction reason	30614									470883	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30614
					Alkaline phosphatase missing reason	30615									23879	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30615
					Alkaline phosphatase reportability	30616									470929	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30616
					Alanine aminotransferase	30620									470682	Accruing	Continuous	U/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30620
					Alanine aminotransferase assay date	30621									474922	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30621
					Alanine aminotransferase aliquot	30622									474713	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30622
					Alanine aminotransferase correction level	30623									470682	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30623
					Alanine aminotransferase correction reason	30624									470682	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30624
					Alanine aminotransferase missing reason	30625									24084	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30625
					Alanine aminotransferase reportability	30626									470748	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30626
					Apolipoprotein A	30630									429811	Accruing	Continuous	g/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30630
					Apolipoprotein A assay date	30631									474176	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30631
					Apolipoprotein A aliquot	30632									473967	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30632
					Apolipoprotein A correction level	30633									429811	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30633
					Apolipoprotein A correction reason	30634									429811	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30634
					Apolipoprotein A missing reason	30635									67821	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30635
					Apolipoprotein A reportability	30636									431543	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30636
					Apolipoprotein B	30640									468537	Accruing	Continuous	g/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30640
					Apolipoprotein B assay date	30641									474642	Accruing	Date		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30641
					Apolipoprotein B aliquot	30642									474434	Accruing	Categorical single		Auxiliary	Unisex	2	1	1529.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30642
					Apolipoprotein B correction level	30643									468537	Accruing	Categorical single		Auxiliary	Unisex	2	1	165.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30643
					Apolipoprotein B correction reason	30644									468537	Accruing	Categorical single		Auxiliary	Unisex	2	1	305.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30644
					Apolipoprotein B missing reason	30645									26329	Accruing	Categorical single		Auxiliary	Unisex	2	1	782.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30645
					Apolipoprotein B reportability	30646									469689	Accruing	Categorical single		Auxiliary	Unisex	2	1	4917.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30646
					Aspartate aminotransferase	30650									469133	Accruing	Continuous	U/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30650
