Annotator	Annotation date	Name	GBE ID	Field	BasketID	TableID	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Notes
				Date lost to follow-up			191									1298	Ongoing	Date		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=191	
				Number of columns displayed in round			396									498725	Complete	Integer		Primary	Unisex	3	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=396	
				Number of rows displayed in round			397									498725	Complete	Integer		Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=397	
				Number of correct matches in round			398									498725	Complete	Integer		Primary	Unisex	3	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=398	
				Number of incorrect matches in round			399									498725	Complete	Integer		Primary	Unisex	3	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=399	
				Time to complete round			400									498725	Complete	Integer	deciseconds	Primary	Unisex	3	3	402	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=400	
				Index for card A in round			401									496579	Complete	Categorical single		Primary	Unisex	3	12	92	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=401	
				Index for card B in round			402									496579	Complete	Categorical single		Primary	Unisex	3	12	92	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=402	
				Number of times snap-button pressed			403									496579	Complete	Integer		Primary	Unisex	3	12		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=403	
				Duration to first press of snap-button in each round			404									494205	Complete	Integer	milliseconds	Primary	Unisex	3	12		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=404	
		Length_of_working_week_for_main_job	INI767	Length of working week for main job		10137	767	1	0	1		-1,-3				287916	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=767	"ACE touchscreen question ""In a typical WEEK, how many hours do you spend at work? (Do not include hours travelling to and from work)"" The following checks were performed:  If answer > 160 then rejected  If answer   If answer > 74 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only.      ~F767~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~"
				Number of days/week walked 10+ minutes			864									501666	Complete	Integer	days/week	Primary	Unisex	4	1	100307	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=864	
		Duration_of_walks	INI874	Duration of walks		10137	874	1	0	1		-1,-3				479344	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=874	"ACE touchscreen question ""How many minutes did you usually spend walking on a typical DAY?"" The following checks were performed:  If answer   If answer > 1440 then rejected  If answer   If answer > 300 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Count the number of minutes that you usually spend walking in one day. If the time you usually spend walking on each day of the week varies a lot, give an average of the time you spend walking. For instance if on one day of the week you usually walk for 4 hours but on the other day you walk 2 hours then give the average - that is 3 hours.      ~F874~ was collected from participants who indicated that they walked for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F864~"
		Number_of_days/week_of_moderate_physical_activity_10+_minutes	INI884	Number of days/week of moderate physical activity 10+ minutes		10137	884	1	0	1		-1,-3				501750	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=884	"ACE touchscreen question ""In a typical WEEK, on how many days did you do 10 minutes or more of moderate physical activities like carrying light loads, cycling at normal pace?  (Do not include walking)"" The following checks were performed:  If answer   If answer > 7 then rejected   If the participant activated the Help button they were shown the message:     Count the number of days in a week that you do moderate physical activities for at least 10 minutes continuously at a time. Remember to include activities that you do for work, leisure, travel and around the house."
		Duration_of_moderate_activity	INI894	Duration of moderate activity		10137	894	1	0	1		-1,-3				414946	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=894	"ACE touchscreen question ""How many minutes did you usually spend doing moderate activities on a typical DAY?"" The following checks were performed:  If answer   If answer > 1440 then rejected  If answer   If answer > 300 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If the time you usually spend doing moderate physical activity on each day of the week varies a lot, give an average of the time you spend doing moderate physical activity.      ~F894~ was collected from participants who indicated that they did moderate physical activities for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to question ~F884~"
		Number_of_days/week_of_vigorous_physical_activity_10+_minutes	INI904	Number of days/week of vigorous physical activity 10+ minutes		10137	904	1	0	1		-1,-3				501750	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=904	"ACE touchscreen question ""In a typical WEEK, how many days did you do 10 minutes or more of vigorous physical activity? (These are activities that make you sweat or breathe hard such as fast cycling, aerobics, heavy lifting)"" The following checks were performed:  If answer   If answer > 7 then rejected   If the participant activated the Help button they were shown the message:     Count the number of days in a week that you do vigorous physical activities for at least 10 minutes continuously at a time. Remember to include activities that you do for work, leisure, travel and around the house."
		Duration_of_vigorous_activity	INI914	Duration of vigorous activity		10137	914	1	0	1		-1,-3				299874	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=914	"ACE touchscreen question ""How many minutes did you usually spend doing vigorous activities on a typical DAY?"" The following checks were performed:  If answer   If answer > 1440 then rejected  If answer   If answer > 300 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If the time you usually spend doing vigorous physical activity on each day of the week varies a lot, give an average of the time you spend doing vigorous physical activity.      This information was collected from participants who indicated that they did vigorous physical activities for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F904~"
				Usual walking pace			924									499768	Complete	Categorical single		Primary	Unisex	4	1	100313	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=924	
				Frequency of stair climbing in last 4 weeks			943									496884	Complete	Categorical single		Primary	Unisex	4	1	100314	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=943	
				Frequency of walking for pleasure in last 4 weeks			971									358981	Complete	Categorical single		Primary	Unisex	4	1	100317	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=971	
				Duration walking for pleasure			981									358981	Complete	Categorical single		Primary	Unisex	4	1	100318	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=981	
				Frequency of strenuous sports in last 4 weeks			991									53284	Complete	Categorical single		Primary	Unisex	4	1	100317	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=991	
				Duration of strenuous sports			1001									53284	Complete	Categorical single		Primary	Unisex	4	1	100318	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1001	
				Frequency of light DIY in last 4 weeks			1011									259693	Complete	Categorical single		Primary	Unisex	4	1	100317	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1011	
				Duration of light DIY			1021									259693	Complete	Categorical single		Primary	Unisex	4	1	100318	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1021	
				Frequency of friend/family visits			1031									498758	Complete	Categorical single		Primary	Unisex	4	1	100327	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1031	
Guhan	11/26/18	Time_spend_outdoors_in_summer	INI1050	Time spend outdoors in summer		9797	1050	1		1		-10;-1;-3				498678	Complete	Integer	hours/day	Primary	Unisex	3	1	100329	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1050	NOTE: need to implement --recode in order to account for -10 (less than an hour) coding!
Guhan	11/26/18	Time_spent_outdoors_in_winter	INI1060	Time spent outdoors in winter		9797	1060	1		1		-10;-1;-3				498678	Complete	Integer	hours/day	Primary	Unisex	3	1	100329	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1060	NOTE: need to implement --recode in order to account for -10 (less than an hour a day) coding!
				Time spent watching television (TV)			1070									501657	Complete	Integer	hours/day	Primary	Unisex	4	1	100329	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1070	
				Time spent using computer			1080									498756	Complete	Integer	hours/day	Primary	Unisex	4	1	100329	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1080	
				Time spent driving			1090									501441	Complete	Integer	hours/day	Primary	Unisex	4	1	100329	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1090	
				Drive faster than motorway speed limit			1100									501441	Complete	Categorical single		Primary	Unisex	4	1	100334	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1100	
				Length of mobile phone use			1110									501656	Complete	Categorical single		Primary	Unisex	4	1	100335	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1110	
				Weekly usage of mobile phone in last 3 months			1120									428348	Complete	Categorical single		Primary	Unisex	4	1	100336	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1120	
				Hands-free device/speakerphone use with mobile phone in last 3 month			1130									428348	Complete	Categorical single		Primary	Unisex	4	1	100337	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1130	
				Difference in mobile phone use compared to two years previously			1140									428348	Complete	Categorical single		Primary	Unisex	4	1	100338	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1140	
				Usual side of head for mobile phone use			1150									428346	Complete	Categorical single		Primary	Unisex	4	1	100339	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1150	
Guhan	11/26/18	Sleep_duration	INI1160	Sleep duration		9797	1160	1		1		-1;-3				501672	Complete	Integer	hours/day	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1160	
		Getting_up_in_morning	QT_FC1001170			9797	1170	1	0	1		-1;-3	1;2;3;4											100341	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100341	
		Morning/evening_person_(chronotype)	QT_FC1001180			9797	1180	1	0	1		-1;-3	1;2;3;4											100342	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100342	
		Nap_during_day	QT_FC1001190			9797	1190	1	0	1		-3	1;2;3											100343	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100343	
		Sleeplessness_/_insomnia	QT_FC1001200			9797	1200	1	0	1		-3	1;2;3											100343	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100343	
Guhan	4/9/19	Snoring	BIN1210			9797	1210		1		1	-1,-3		1	2									100345	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1210	
		Daytime_dozing_/_sleeping_(narcolepsy)	QT_FC1001220			9797	1220	1	0	1		-1;-3	0;1;2;3											100346	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100346	
Guhan	4/9/19	Current_tobacco_smoking	QT_FC10001239			9797	1239	1		1		-3	0;2;1											100347	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1239	
				Past tobacco smoking			1249									463631	Complete	Categorical single		Primary	Unisex	4	1	100348	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1249	
		Smoking/smokers_in_household	BIN_FC10001259	Smoking/smokers in household		9797	1259	0	1		1	-3		1;2	0	460343	Complete	Categorical single	Data		Unisex	3	1	100370	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1259	"ACE touchscreen question ""Does anyone in your household smoke?"" ~F1259~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"
		Exposure_to_tobacco_smoke_at_home	INI1269	Exposure to tobacco smoke at home		9797	1269	1	0	1		-1,-3				463489	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1269	"ACE touchscreen question ""At home, about how many hours per WEEK are you exposed to other people's tobacco smoke?"" The following checks were performed:  If answer   If answer > 168 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please give the number of hours in a typical week over the last year that you have been exposed to other people's tobacco smoke in the home environment.      ~F1269~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"
		Exposure_to_tobacco_smoke_outside_home	INI1279	Exposure to tobacco smoke outside home		9797	1279	1	0	1		-1,-3				463489	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1279	"ACE touchscreen question ""Outside of your home, about how many hours per WEEK are you exposed to other people's tobacco smoke?"" The following checks were performed:  If answer   If answer > 168 then rejected  If answer > 100 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please give the number of hours in a typical week over the last year that you have been exposed to other people's tobacco smoke in environments other than the home (include work, pubs, restaurants etc).      ~F1279~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"
Guhan	11/26/18	Cooked_vegetable_intake	INI1289	Cooked vegetable intake		9797	1289	1		1		-10;-1;-3				501666	Complete	Integer	tablespoons/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1289	NOTE: need to implement --recode in order to account for -10 (less than one a a day) coding!
Guhan	11/26/18	Salad_/_raw_vegetable_intake	INI1299	Salad / raw vegetable intake		9797	1299	1		1		-10;-1;-3				501666	Complete	Integer	tablespoons/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1299	
Guhan	11/26/18	Fresh_fruit_intake	INI1309	Fresh fruit intake		9797	1309	1		1		-10;-1;-3				501666	Complete	Integer	pieces/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1309	
Guhan	11/26/18	Dried_fruit_intake	INI1319	Dried fruit intake		9797	1319	1		1		-10;-1;-3				501665	Complete	Integer	pieces/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1319	
		Oily_fish_intake	QT_FC1001329			9797	1329	1	0	1		-1;-3	0;1;2;3;4;5											100377	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	Food intake
		Non-oily_fish_intake	QT_FC1001339			9797	1339	1	0	1		-1;-3	0;1;2;3;4;5											100377	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	Food intake
		Processed_meat_intake	QT_FC1001349			9797	1349	1	0	1		-1;-3	0;1;2;3;4;5											100377	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	Food intake
		Poultry_intake	QT_FC1001359			9797	1359	1	0	1		-1;-3	0;1;2;3;4;5											100377	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	Food intake
		Beef_intake	QT_FC1001369			9797	1369	1	0	1		-1;-3	0;1;2;3;4;5											100377	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	Food intake
		Lamb/mutton_intake	QT_FC1001379			9797	1379	1	0	1		-1;-3	0;1;2;3;4;5											100377	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	Food intake
		Pork_intake	QT_FC1001389			9797	1389	1	0	1		-1;-3	0;1;2;3;4;5											100377	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	Food intake
		Cheese_intake	QT_FC1001408			9797	1408	1	0	1		-1;-3	0;1;2;3;4;5											100377	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	Food intake
				Milk type used			1418									501574	Complete	Categorical single		Primary	Unisex	4	1	100387	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1418	
				Spread type			1428									498743	Complete	Categorical single		Primary	Unisex	4	1	100388	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1428	
Guhan	11/26/18	Bread_intake	INI1438	Bread intake		9797	1438	1		1		-10;-1;-3				498663	Complete	Integer	slices/week	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1438	
				Bread type			1448									483498	Complete	Categorical single		Primary	Unisex	4	1	100391	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1448	
Guhan	11/26/18	Cereal_intake	INI1458	Cereal intake		9797	1458	1		1		-10;-1;-3				501560	Complete	Integer	bowls/week	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1458	
				Cereal type			1468									418781	Complete	Categorical single		Primary	Unisex	4	1	100393	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1468	
		Salt_added_to_food	QT_FC10001478	Salt added to food		9797	1478	1	1	1		-3	1;2;3;4			501731	Complete	Categorical single	Data		Unisex	3	1	100394	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1478	"ACE touchscreen question ""Do you add salt to your food? (Do not include salt used in cooking)"" If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year If you are unsure, please provide an estimate or select Do not know."
Guhan	11/26/18	Tea_intake	INI1488	Tea intake		9797	1488	1		1		-10;-1;-3				501662	Complete	Integer	cups/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1488	
Guhan	11/26/18	Coffee_intake	INI1498	Coffee intake		9797	1498	1		1		-10;-1;-3				501662	Complete	Integer	cups/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1498	
				Coffee type			1508									390818	Complete	Categorical single		Primary	Unisex	4	1	100397	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1508	
				Hot drink temperature			1518									501643	Complete	Categorical single		Primary	Unisex	4	1	100398	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1518	
Guhan	11/26/18	Water_intake	INI1528	Water intake		9797	1528	1		1		-10;-1;-3				501662	Complete	Integer	glasses/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1528	
				Major dietary changes in the last 5 years			1538									501643	Complete	Categorical single		Primary	Unisex	4	1	100400	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1538	
				Variation in diet			1548									498743	Complete	Categorical single		Primary	Unisex	4	1	100401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1548	
		Alcohol_intake_frequency.	QT_FC1001558			9797	1558	1	0	1		-3	6;5;4;3;2;1											100402	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100402	
Guhan	11/26/18	Average_weekly_red_wine_intake	INI1568	Average weekly red wine intake		9797	1568	1		1		-1;-3				348349	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1568	
Guhan	11/26/18	Average_weekly_champagne_plus_white_wine_intake	INI1578	Average weekly champagne plus white wine intake		9797	1578	1		1		-1;-3				348348	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1578	
Guhan	11/26/18	Average_weekly_beer_plus_cider_intake	INI1588	Average weekly beer plus cider intake		9797	1588	1		1		-1;-3				348348	Complete	Integer	pints	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1588	
Guhan	11/26/18	Average_weekly_spirits_intake	INI1598	Average weekly spirits intake		9797	1598	1		1		-1;-3				348348	Complete	Integer	measures	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1598	
Guhan	11/26/18	Average_weekly_fortified_wine_intake	INI1608	Average weekly fortified wine intake		9797	1608	1		1		-1;-3				348348	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1608	
				Alcohol usually taken with meals			1618									394550	Complete	Categorical single		Primary	Unisex	4	1	100416	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1618	
				Alcohol intake versus 10 years previously			1628									460880	Complete	Categorical single		Primary	Unisex	4	1	100417	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1628	
				Country of birth (UK/elsewhere)			1647									501632	Complete	Categorical single		Primary	Unisex	3	1	100420	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1647	
	8/27/17	Breastfed_as_a_baby	BIN1677	Breastfed as a baby		10137	1677		1		1			1	0	501726	Complete	Categorical single		Primary	Unisex	3	1	100349	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1677	
		Comparative_body_size_at_age_10	QT_FC1001687			10137	1687	1	0	1		-1;-3	1;3;2											100428	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100428	
		Comparative_height_size_at_age_10	QT_FC1001697			10137	1697	1	0	1		-1;-3	1;3;2											100429	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100429	
