GBE ID	gbe_name	coding	FieldID	TableID	codingLink	fieldLink	n_qt	n_bin	qt_index	bin_index	qt_exclude	qt_coding	bin_case	bin_control	note
BIN_FC10020177	FI7_:_synonym	5007	20177	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5007	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20177	0	1		1			1;2;4;5	3	Already annotated
BIN_FC10020179	FI8_:_chained_arithmetic	5008	20179	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5008	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20179	0	1		1			1;3;4;5	2	Already annotated
BIN_FC10020181	FI9_:_concept_interpolation	5009	20181	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5009	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20181	0	1		1			1;2;3;5	4	Already annotated
BIN_FC10020183	FI10_:_arithmetic_sequence_recognition	5010	20183	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5010	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20183	0	1		1			1;3;4;5	2	Already annotated
BIN_FC10020185	FI11_:_antonym	5011	20185	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5011	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20185	0	1		1			1;2;3;4	5	Already annotated
BIN_FC10020187	FI12_:_square_sequence_recognition	5012	20187	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5012	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20187	0	1		1			1;2;3;4	5	Already annotated
BIN_FC10020189	FI13_:_subset_inclusion_logic	5013	20189	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5013	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20189	0	1		1			2;3;4;5	1	Already annotated
BIN_FC10020193	FI14_:_alphanumeric_substitution	5014	20193	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5014	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20193	0	1		1			1;2;3;4	5	Already annotated
BIN_FC1002159	Ever_had_same-sex_intercourse	100352	2159	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100352	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2159	0	1		1	-3		1	0	
BIN_FC1002247	Hearing_difficulty	100631	2247	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100631	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2247		3		1	-1,-3		1	0	
BIN_FC1002306	Weight_change_compared_with_1_year_ago	100540	2306	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100540	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2306	1	1		1	-1,-3		2,3	0	
BIN_FC1002395	Male_pattern_baldness_severity	100572	2395	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100572	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395	0	6	0	1	-1,-3	_	2	1	
BIN_FC1002724	Had_menopause	100579	2724	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100579	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2724	0	1		1	2,3,-3		1	0	
BIN_FC1004803	Tinnitus	100635	4803	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100635	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4803	1	1		1	-1,-3		11,12,13,14	0	
BIN_FC1005149	3mm_regularity_index_for_irregular_astigmatism_level_(left)	33	5149	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=33	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5149	0	1	0	1	_	_	2,3	1	
BIN_FC1005152	3mm_asymmetry_index_for_irregular_astigmatism_level_(right)	33	5152	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=33	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5152	0	1	0	1	_	_	2,3	1	
BIN_FC1005155	3mm_asymmetry_index_for_irregular_astigmatism_level_(left)	33	5155	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=33	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5155	0	1	0	1	_	_	2,3	1	
BIN_FC1005164	3mm_regularity_index_for_irregular_astigmatism_level_(right)	33	5164	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=33	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5164	0	1	0	1	_	_	2,3	1	
BIN_FC1006144	Never_eat_eggs	100385	6144	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100385	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6144	0	4		1	-3		1	2;3;4;5	
BIN_FC1006148	Eye_problems/disorders_Diabetic_eye_disease	100523	6148	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100523	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6148	0	5	0	1	-1,-3	_	1	-7	
BIN_FC1006149	Mouth_ulcers	100538	6149	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100538	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149	0	6		1	-3		1	-7,2,3,4,5,6	
BIN_FC1006150	Vascular/heart_problems_diagnosed_by_doctor_Heart_attack	100605	6150	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100605	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150		4		1	-3		1	-7	Need expert opinion on combination for cases/controls
BIN_FC1006152	DVT_diagnosed_by_doctor	100610	6152	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152		12		1	-3		5	-7	Need expert opinion on combination for cases/controls
BIN_FC1006153	Medication_for_cholesterol_(female_only)	100626	6153	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100626	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153		10		1	-3,-1		1	-7	
BIN_FC1006155	Vitamin_A_vs_no_supplement	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		1	-3		1	-7	
BIN_FC1006177	Medication_for_cholesterol_(male_only)	100625	6177	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100625	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177		6		1	-3,-1		1	-7	
BIN_FC11006152	Blood_clot_or_DVT_diagnosed_by_doctor	100610	6152	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152		12		11	-3		5,7	-7	Need expert opinion on combination for cases/controls
BIN_FC11006154	Omeprazole_use_self-reported	100628	6154	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100628	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154		12		11	-3		5	-7	
BIN_FC11006155	Vitamin_E_vs_multivitamin	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		11	-3		5	7	
BIN_FC11006179	Iron_supplements	100630	6179	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100630	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179		12		11	-3		5	-7	
BIN_FC12006154	Laxative_use_self-reported	100628	6154	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100628	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154		12		12	-3		6	-7	
BIN_FC12006155	Vitamin_B9_vs_multivitamin	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		12	-3		6	7	
BIN_FC12006179	Selenium_supplements	100630	6179	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100630	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179		12		12	-3		6	-7	
BIN_FC2001747	Hair_colour_(natural,_before_greying)_red	100434	1747	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100434	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1747	0	7		2			2	1;3;4;5;6	
BIN_FC20020018	Prospective_memory_result	18	20018	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=18	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20018	1	2		2			0	2,1	
BIN_FC2002247	Deafness	100631	2247	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100631	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2247		3		2	-1,-3		99	0	
BIN_FC2006144	Never_eat_dairy	100385	6144	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100385	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6144	0	4		2	-3		2	1;3;4;5	
BIN_FC2006148	Eye_problems/disorders_Glaucoma	100523	6148	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100523	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6148	0	5	0	2	-1,-3	_	2	-7	
BIN_FC2006149	Painful_gums	100538	6149	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100538	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149	0	6		2			2	-7,1,3,4,5,6	
BIN_FC2006150	Vascular/heart_problems_diagnosed_by_doctor_Angina	100605	6150	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100605	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150		4		2	-3		2	-7	Need expert opinion on combination for cases/controls
BIN_FC2006152	emphysema/chronic_bronchitis_diagnosed_by_doctor	100610	6152	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152		12		2	-3		6	-7	Need expert opinion on combination for cases/controls
BIN_FC2006153	Medication_for_blood_pressure_(female_only)	100626	6153	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100626	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153		10		2	-3,-1		2	-7	
BIN_FC2006155	Vitamin_B_vs_no_supplement	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		2	-3		2	-7	
BIN_FC2006177	Medication_for_blood_pressure_(male_only)	100625	6177	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100625	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177		6		2	-3,-1		2	-7	
BIN_FC3001747	Hair_colour_(natural,_before_greying)_light_brown	100434	1747	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100434	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1747	0	7		3			3	1;2;4;5;6	
BIN_FC3002247	Hearing_difficulty_and_Deafness	100631	2247	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100631	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2247		3		3	-1,-3		1,99	0	
BIN_FC3006144	Never_eat_wheat	100385	6144	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100385	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6144	0	4		3	-3		3	1;2;4;5	
BIN_FC3006148	Eye_problems/disorders_Injury_resulting_in_vision_loss	100523	6148	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100523	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6148	0	5	0	3	-1,-3	_	3	-7	
BIN_FC3006149	Bleeding_gums	100538	6149	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100538	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149	0	6		3			3	-7,1,2,4,5,6	
BIN_FC3006150	Vascular/heart_problems_diagnosed_by_doctor_Stroke	100605	6150	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100605	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150		4		3	-3		3	-7	Need expert opinion on combination for cases/controls
BIN_FC3006152	Blood_clot_diagnosed_by_doctor	100610	6152	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152		12		3	-3		7	-7	Need expert opinion on combination for cases/controls
BIN_FC3006153	Medication_for_diabetes_(female_only)	100626	6153	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100626	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153		10		3	-3,-1		3	-7	
BIN_FC3006155	Vitamin_C_vs_no_supplement	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		3	-3		3	-7	
BIN_FC3006177	Medication_for_diabetes_(male_only)	100625	6177	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100625	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177		6		3	-3,-1		3	-7	
BIN_FC4001747	Hair_colour_(natural,_before_greying)_dark_brown	100434	1747	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100434	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1747	0	7		4			4	1;2;3;5;6	
BIN_FC4006144	Never_eat_sugar	100385	6144	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100385	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6144	0	4		4	-3		4	1;2;3;5	
BIN_FC4006148	Eye_problems/disorders_Cataract	100523	6148	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100523	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6148	0	5	0	4	-1,-3	_	4	-7	
BIN_FC4006149	Loose_teeth	100538	6149	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100538	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149	0	6		4			4	-7,1,2,3,5,6	
BIN_FC4006150	Vascular/heart_problems_diagnosed_by_doctor_High_blood_pressure	100605	6150	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100605	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150		4		4	-3		4	-7	Need expert opinion on combination for cases/controls
BIN_FC4006152	asthma_diagnosed_by_doctor	100610	6152	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152		12		4	-3		8	-7	Need expert opinion on combination for cases/controls
BIN_FC4006153	Hormone_replacement_therapy_(female_only)	100626	6153	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100626	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153		10		4	-3,-1		4	-7	
BIN_FC4006155	Vitamin_D_vs_no_supplement	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		4	-3		4	-7	
BIN_FC5001747	Hair_colour_(natural,_before_greying)_black	100434	1747	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100434	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1747	0	7		5			5	1;2;3;4;6	
BIN_FC5006148	Eye_problems/disorders_Macular_degeneration	100523	6148	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100523	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6148	0	5	0	5	-1,-3	_	5	-7	
BIN_FC5006149	Toothache	100538	6149	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100538	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149	0	6		5			5	-7,1,2,3,4,6	
BIN_FC5006152	Hayfever_rhinitis_or_eczema_diagnosed_by_doctor	100610	6152	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152		12		5	-3		9	-7	Need expert opinion on combination for cases/controls
BIN_FC5006153	Oral_contraceptives_(female_only)	100626	6153	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100626	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153		10		5	-3,-1		5	-7	
BIN_FC5006155	Vitamin_E_vs_no_supplement	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		5	-3		5	-7	
BIN_FC6001747	Hair_colour_(natural,_before_greying)_other	100434	1747	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100434	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1747	0	7		6			6	1;2;3;4;5	
BIN_FC6006149	Dentures	100538	6149	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100538	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6149	0	6		6			6	-7,1,2,3,4,5	
BIN_FC6006155	Vitamin_B9_vs_no_supplement	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		6	-3		6	-7	
BIN_FC7001747	Hair_colour_(natural,_before_greying)_brown	100434	1747	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100434	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1747	0	7		7			3;4	1;2;5;6	
BIN_FC7006154	Aspirin_use_self-reported	100628	6154	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100628	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154		12		7	-3		1	-7	
BIN_FC7006155	Vitamin_A_vs_multivitamin	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		7	-3		1	7	
BIN_FC7006179	Fish_oil_supplements	100630	6179	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100630	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179		12		7	-3		1	-7	
BIN_FC8006154	Ibuprofen_use_self-reported	100628	6154	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100628	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154		12		8	-3		2	-7	
BIN_FC8006155	Vitamin_B_vs_multivitamin	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		8	-3		2	7	
BIN_FC8006179	Glucosamine_supplements	100630	6179	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100630	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179		12		8	-3		2	-7	
BIN_FC9006154	Paracetamol_use_self-reported	100628	6154	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100628	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154		12		9	-3		3	-7	
BIN_FC9006155	Vitamin_C_vs_multivitamin	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		9	-3		3	7	
BIN_FC9006179	Calcium_supplements	100630	6179	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100630	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179		12		9	-3		3	-7	
QT_FC1001170	Getting_up_in_morning	100341	1170	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100341	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1170	1	0	1		-1;-3	1;2;3;4			
QT_FC1001180	Morning/evening_person_(chronotype)	100342	1180	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100342	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1180	1	0	1		-1;-3	1;2;3;4			
QT_FC1001190	Nap_during_day	100343	1190	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100343	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1190	1	0	1		-3	1;2;3			
QT_FC1001200	Sleeplessness_/_insomnia	100343	1200	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100343	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1200	1	0	1		-3	1;2;3			
QT_FC1001220	Daytime_dozing_/_sleeping_(narcolepsy)	100346	1220	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100346	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1220	1	0	1		-1;-3	0;1;2;3			
QT_FC1001329	Oily_fish_intake	100377	1329	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1329	1	0	1		-1;-3	0;1;2;3;4;5			Food intake
QT_FC1001339	Non-oily_fish_intake	100377	1339	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1339	1	0	1		-1;-3	0;1;2;3;4;5			Food intake
QT_FC1001349	Processed_meat_intake	100377	1349	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1349	1	0	1		-1;-3	0;1;2;3;4;5			Food intake
QT_FC1001359	Poultry_intake	100377	1359	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1359	1	0	1		-1;-3	0;1;2;3;4;5			Food intake
QT_FC1001369	Beef_intake	100377	1369	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1369	1	0	1		-1;-3	0;1;2;3;4;5			Food intake
QT_FC1001379	Lamb/mutton_intake	100377	1379	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1379	1	0	1		-1;-3	0;1;2;3;4;5			Food intake
QT_FC1001389	Pork_intake	100377	1389	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1389	1	0	1		-1;-3	0;1;2;3;4;5			Food intake
QT_FC1001408	Cheese_intake	100377	1408	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100377	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1408	1	0	1		-1;-3	0;1;2;3;4;5			Food intake
QT_FC1001558	Alcohol_intake_frequency.	100402	1558	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100402	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1558	1	0	1		-3	6;5;4;3;2;1			
QT_FC1001687	Comparative_body_size_at_age_10	100428	1687	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100428	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687	1	0	1		-1;-3	1;3;2			
QT_FC1001697	Comparative_height_size_at_age_10	100429	1697	10137	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100429	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697	1	0	1		-1;-3	1;3;2			
QT_FC1001717	Skin_colour	100431	1717	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100431	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1717	1	0	1		-1;-3	1;2;3;4;5;6			
QT_FC10020018	Prospective_memory_result	18	20018	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=18	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20018	1	1	1			0;2;1			
