Annotator	Annotation date	Name	GBE ID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
				Data points for blow	3066									457305	Complete	Compound		Primary	Unisex	4	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3066
				Contra-indications for spirometry	3088									500850	Complete	Categorical single		Primary	Unisex	4	1	100267	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3088
				Caffeine drink within last hour	3089									462652	Complete	Categorical single		Primary	Unisex	4	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3089
				Used an inhaler for chest within last hour	3090									462652	Complete	Categorical single		Primary	Unisex	4	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3090
				Number of measurements made	3137									457305	Complete	Integer		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3137
				Pregnant	3140									272576	Complete	Categorical single		Primary	Female	4	1	100267	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3140
				Smoked cigarette or pipe within last hour	3159									73623	Complete	Categorical single		Primary	Unisex	4	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3159
				Time since last prostate specific antigen (PSA) test	3809									71436	Complete	Integer	years	Primary	Male	4	1	100569	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3809
				Reason former drinker stopped drinking alcohol	3859									19068	Complete	Categorical single		Primary	Unisex	4	1	100418	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3859
				Age of primiparous women at birth of child	3872									36517	Complete	Integer	years	Primary	Female	4	1	100586	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3872
				Method of measuring blood pressure	4081									501673	Complete	Categorical single		Auxiliary	Unisex	4	2	100259	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4081
				Triplet played (left)	4229									203956	Complete	Text		Primary	Unisex	4	15		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4229
				Triplet entered (left)	4236									203541	Complete	Text		Primary	Unisex	4	15		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4236
				Triplet played (right)	4240									204035	Complete	Text		Primary	Unisex	4	15		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4240
				Triplet entered (right)	4242									203626	Complete	Text		Primary	Unisex	4	15		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4242
				Number of digits to be memorised/recalled	4250									77232	Complete	Integer		Auxiliary	Unisex	4	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4250
				Target number to be memorised	4251									77228	Complete	Text		Auxiliary	Unisex	4	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4251
				Target number to be entered	4252									77228	Complete	Text	milliseconds	Auxiliary	Unisex	4	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4252
				Time number displayed for	4253									77228	Complete	Integer	milliseconds	Auxiliary	Unisex	4	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4253
				Time first key touched	4254									77214	Complete	Integer	milliseconds	Auxiliary	Unisex	4	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4254
				Time last key touched	4255									77214	Complete	Integer	milliseconds	Auxiliary	Unisex	4	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4255
				Time elapsed	4256									77214	Complete	Integer	milliseconds	Supporting	Unisex	4	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4256
				Keystroke history	4257									77232	Complete	Text		Auxiliary	Unisex	4	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4257
				Number entered by participant	4258									77214	Complete	Text		Primary	Unisex	4	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4258
				Digits entered correctly	4259									77214	Complete	Categorical single		Primary	Unisex	4	16	29	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4259
				Round of numeric memory test	4260									77232	Complete	Integer		Primary	Unisex	4	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4260
				Completion status (left)	4268									205633	Complete	Categorical single		Primary	Unisex	4	1	30	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4268
				Number of triplets attempted (left)	4269									205633	Complete	Integer		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4269
				Completion status (right)	4275									205764	Complete	Categorical single		Primary	Unisex	4	1	30	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4275
				Number of triplets attempted (right)	4276									205764	Complete	Integer		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4276
				Completion status of numeric memory test	4281									77471	Complete	Categorical single		Primary	Unisex	4	1	31	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4281
				Number of rounds of numeric memory test performed	4283									77471	Complete	Integer	rounds	Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4283
				Time to complete test	4285									77471	Complete	Integer	deciseconds	Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4285
				Time when initial screen shown	4286									208412	Complete	Time		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4286
				Test completion status	4287									208412	Complete	Categorical single		Primary	Unisex	4	1	32	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4287
				Time to answer	4288									208412	Complete	Integer	seconds	Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4288
				Time screen exited	4289									208412	Complete	Time		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4289
				Duration screen displayed	4290									208412	Complete	Integer	deciseconds	Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4290
				Number of attempts	4291									208412	Complete	Integer		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4291
				PM: initial answer	4292									208412	Complete	Categorical single		Primary	Unisex	4	1	16	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4292
				PM: final answer	4293									208412	Complete	Categorical single		Primary	Unisex	4	1	16	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4293
				Final attempt correct	4294									208412	Complete	Categorical single		Primary	Unisex	4	1	29	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4294
				History of attempts	4295									208412	Complete	Text		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4295
				Hearing test done	4849									209946	Complete	Categorical single		Primary	Unisex	4	1	100640	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4849
				Attempted fluid intelligence (FI) test.	4924									205046	Complete	Categorical single		Primary	Unisex	4	1	100642	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4924
				FI1 : numeric addition test	4935									201839	Complete	Categorical single		Primary	Unisex	4	1	100643	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4935
				FI2 : identify largest number	4946									201394	Complete	Categorical single		Primary	Unisex	4	1	100644	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4946
				FI3 : word interpolation	4957									201274	Complete	Categorical single		Primary	Unisex	4	1	100645	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4957
				FI4 : positional arithmetic	4968									200896	Complete	Categorical single		Primary	Unisex	4	1	100646	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4968
				FI5 : family relationship calculation	4979									195851	Complete	Categorical single		Primary	Unisex	4	1	100647	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4979
				FI6 : conditional arithmetic	4990									176181	Complete	Categorical single		Primary	Unisex	4	1	100648	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4990
				FI7 : synonym	5001									144413	Complete	Categorical single		Primary	Unisex	4	1	100649	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5001
				FI8 : chained arithmetic	5012									131473	Complete	Categorical single		Primary	Unisex	4	1	100650	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5012
				Visual acuity measured (right)	5185									133644	Complete	Categorical single		Primary	Unisex	2	1	100274	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5185
				Visual acuity measured (left)	5187									133639	Complete	Categorical single		Primary	Unisex	2	1	100274	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5187
				FI9 : concept interpolation	5556									62622	Complete	Categorical single		Primary	Unisex	4	1	100651	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5556
				FI10 : arithmetic sequence recognition	5699									43688	Complete	Categorical single		Primary	Unisex	4	1	100652	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5699
				FI11 : antonym	5779									23101	Complete	Categorical single		Primary	Unisex	4	1	100653	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5779
				FI12 : square sequence recognition	5790									16297	Complete	Categorical single		Primary	Unisex	4	1	100654	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5790
				FI13 : subset inclusion logic	5866									5915	Complete	Categorical single		Primary	Unisex	4	1	100655	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5866
				Qualifications	6138									498770	Complete	Categorical multiple		Primary	Unisex	4	6	100305	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6138
				Why reduced smoking	6158									17125	Complete	Categorical multiple		Primary	Unisex	4	4	100361	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6158
				Pain type(s) experienced in last month	6159									501618	Complete	Categorical multiple		Primary	Unisex	4	7	100553	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6159
				Medication for pain relief, constipation, heartburn (pilot)	10004									3771	Complete	Categorical multiple		Primary	Unisex	1	5	100688	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10004
				Medication for smoking cessation, constipation, heartburn, allergies (pilot)	10005									3771	Complete	Categorical multiple		Primary	Unisex	1	3	100689	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10005
				Vitamin and mineral supplements (pilot)	10007									3771	Complete	Categorical multiple		Primary	Unisex	1	6	100692	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10007
				Why stopped smoking (pilot)	10115									930	Complete	Categorical single		Primary	Unisex	1	1	100669	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10115
				Type of progestan-only oral contraceptive used (pilot)	10132									44	Complete	Categorical single		Primary	Female	1	1	100686	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10132
				Number of columns displayed in round (pilot)	10133									3715	Complete	Integer		Auxiliary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10133
				Number of rows displayed in round (pilot)	10134									3715	Complete	Integer		Auxiliary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10134
				Number of correct matches in round (pilot)	10136									3715	Complete	Integer		Primary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10136
				Number of incorrect matches in round (pilot)	10137									3715	Complete	Integer		Primary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10137
				Time to complete round (pilot)	10138									3715	Complete	Integer	deciseconds	Primary	Unisex	1	3	402	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10138
				Index for card A in round (pilot)	10139									3715	Complete	Categorical single		Auxiliary	Unisex	1	20	92	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10139
				Index for card B in round (pilot)	10140									3715	Complete	Categorical single		Auxiliary	Unisex	1	20	92	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10140
				Number of times snap-button pressed (pilot)	10141									3715	Complete	Integer		Primary	Unisex	1	20		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10141
				Number of columns displayed (pilot)	10142									3715	Complete	Integer		Auxiliary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10142
				Number of rows displayed (pilot)	10143									3715	Complete	Integer		Auxiliary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10143
				Time taken to complete lights test (pilot)	10144									3715	Complete	Integer	deciseconds	Primary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10144
				Pattern of lights displayed (pilot)	10145									3715	Complete	Text		Primary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10145
				Pattern of lights as remembered (pilot)	10146									3715	Complete	Text		Primary	Unisex	1	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10146
				Duration to first press of snap-button in each round (pilot)	10147									3702	Complete	Integer	milliseconds	Primary	Unisex	1	20		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10147
				Words answer array (pilot)	10609									3740	Complete	Integer		Primary	Unisex	1	51		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10609
				Word count (pilot)	10610									3745	Complete	Categorical single		Primary	Unisex	1	1	100280	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10610
				Result ranking (pilot)	10691									3418	Complete	Categorical single		Primary	Unisex	1	4	22	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10691
				Data points for blow (pilot)	10697									3418	Complete	Compound		Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10697
				Spirometry method (pilot)	10711									3432	Complete	Categorical single		Primary	Unisex	1	1	100282	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10711
				Qualifications (pilot)	10722									3771	Complete	Categorical multiple		Primary	Unisex	1	5	100658	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10722
				Vitamin supplements (pilot)	10723									3771	Complete	Categorical multiple		Primary	Unisex	1	6	100691	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10723
				Spread type (pilot)	10767									3771	Complete	Categorical single		Primary	Unisex	1	1	100673	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10767
				Bread type/intake (pilot)	10776									3654	Complete	Categorical single		Primary	Unisex	1	1	100674	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10776
				Reason for reducing amount of alcohol drunk (pilot)	10818									1515	Complete	Categorical single		Primary	Unisex	1	1	100669	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10818
				Ever stopped smoking for 6+ months (pilot)	10827									930	Complete	Categorical single		Primary	Unisex	1	1	100668	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10827
				Reason former drinker stopped drinking alcohol (pilot)	10853									138	Complete	Categorical single		Primary	Unisex	1	1	100669	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10853
				Other dietary supplements (pilot)	10854									3771	Complete	Categorical multiple		Primary	Unisex	1	6	100690	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10854
				Never eat eggs, dairy, wheat, sugar (pilot)	10855									3771	Complete	Categorical multiple		Primary	Unisex	1	4	100672	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10855
				Variation in diet (pilot)	10912									3771	Complete	Categorical single		Primary	Unisex	1	1	100394	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10912
				Believed safe to perform abdominal MRI scan	12140									43178	Accruing	Categorical single		Primary	Unisex	2	1	634	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12140
				Believed safe to perform DXA scan	12141									43178	Accruing	Categorical single		Primary	Unisex	2	1	634	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12141
				Weight (pre-imaging)	12143									43178	Accruing	Integer	Kg	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12143
				Abdominal MRI measuring method	12223									42406	Accruing	Categorical single		Primary	Unisex	2	1	470	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12223
				Abdominal MRI measurement completed	12224									41288	Accruing	Categorical single		Primary	Unisex	2	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12224
				DXA measuring method	12253									42989	Accruing	Categorical single		Primary	Unisex	2	1	470	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12253
				DXA measurement completed	12254									41716	Accruing	Categorical single		Primary	Unisex	2	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12254
				Identifier for blood pressure device	12624									42467	Accruing	Text		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12624
				Duration of eprime test	12651									34921	Accruing	Integer	seconds	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12651
				PWA start time	12671									35862	Accruing	Text		Auxiliary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12671
				Heart rate during PWA	12673									35856	Accruing	Integer	bpm	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12673
				Systolic brachial blood pressure during PWA	12674									35635	Accruing	Integer	mmHg	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12674
				Diastolic brachial blood pressure during PWA	12675									35635	Accruing	Integer	mmHg	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12675
				Peripheral pulse pressure during PWA	12676									35630	Accruing	Integer	mmHg	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12676
				Central systolic blood pressure during PWA	12677									35634	Accruing	Integer	mmHg	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12677
				Central pulse pressure during PWA	12678									35630	Accruing	Integer	mmHg	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12678
				Number of beats in waveform average for PWA	12679									35861	Accruing	Continuous	beats	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12679
				Central augmentation pressure during PWA	12680									35625	Accruing	Continuous	mmHg	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12680
				Augmentation index for PWA	12681									35856	Accruing	Continuous	percent	Derived	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12681
				Cardiac output during PWA	12682									35044	Accruing	Continuous	litres/min	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12682
				End systolic pressure during PWA	12683									35556	Accruing	Continuous	mmHg	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12683
				End systolic pressure index during PWA	12684									35013	Accruing	Continuous		Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12684
				Total peripheral resistance during PWA	12685									35555	Accruing	Continuous	PRU	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12685
				Stroke volume during PWA	12686									35049	Accruing	Integer	ml	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12686
				Mean arterial pressure during PWA	12687									35634	Accruing	Integer	mmHg	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12687
				Vicorder trace	12688									36122	Accruing	Compound		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12688
				Blood pressure test start time	12695									36013	Accruing	Text		Auxiliary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12695
				Systolic brachial blood pressure	12697									36007	Accruing	Integer	mmHg	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12697
				Number of PWA tests performed	12699									36122	Accruing	Integer	tests	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12699
				Vicorder results plausible	12700									36122	Accruing	Categorical single		Primary	Unisex	2	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12700
				Cardiac index during PWA	12702									33593	Accruing	Continuous	litres/min/m2	Primary	Unisex	2	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12702
				Eprime error flag	12706									314	Accruing	Categorical single		Derived	Unisex	2	1	100699	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12706
				Cancer code, self-reported	20001									45224	Complete	Categorical multiple		Derived	Unisex	4	6	3	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20001
				Non-cancer illness code, self-reported	20002									384906	Complete	Categorical multiple		Derived	Unisex	4	34	6	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20002
				Treatment/medication code	20003									372258	Complete	Categorical multiple		Primary	Unisex	4	48	4	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20003
				Interpolated Year when cancer first diagnosed	20006									45224	Complete	Continuous	years	Primary	Unisex	4	6	13	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20006
				Interpolated Age of participant when cancer first diagnosed	20007									45224	Complete	Continuous	years	Primary	Unisex	4	6	13	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20007
				Interpolated Year when non-cancer illness first diagnosed	20008									384905	Complete	Continuous	years	Primary	Unisex	4	34	13	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20008
				Interpolated Age of participant when non-cancer illness first diagnosed	20009									384905	Complete	Continuous	years	Primary	Unisex	4	34	13	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20009
				Method of recording time when cancer first diagnosed	20012									45224	Complete	Categorical single		Primary	Unisex	4	6	14	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20012
				Method of recording time when non-cancer illness first diagnosed	20013									384906	Complete	Categorical single		Primary	Unisex	4	34	14	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20013
				Mean time to correctly identify matches	20023									496850	Complete	Integer	milliseconds	Derived	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20023
				Acceptability of each blow result (text)	20031									295061	Complete	Text		Derived	Unisex	4	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20031
				Acceptability of each blow result (text) (pilot)	20032									2653	Complete	Text		Derived	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20032
				Reason for skipping weight	20041									1044	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20041
				Reason for skipping spirometry	20042									2013	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20042
				Reason for skipping waist	20045									445	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20045
				Reason for skipping hip measurement	20046									504	Complete	Categorical single		Derived	Unisex	1	1	47	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20046
