Annotator	Annotation date	Name	GBE ID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
David	11/9/18	Satisfaction_with_bowel_habits	INI21040	Satisfaction with bowel habits	21040	1		1		-818				174781	Accruing	Categorical single		Primary	Unisex	1	1	616	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21040
David	11/9/18	Severity_of_current_abdominal_distension/tightness	INI21039	Severity of current abdominal distension/tightness	21039	1		1		-818				40668	Accruing	Categorical single		Primary	Unisex	1	1	620	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21039
David	2019/11/15	Bread type: Brown	BIN_FC20001448	Bread type	1448	0	4		2	-3;-1		2	1;3;4	483498	Complete	Categorical single		Primary	Unisex	4	1	100391	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1448
David	2019/11/15	Bread type: Other type of bread	BIN_FC40001448	Bread type	1448	0	4		4	-3;-1		4	2;3;4	483498	Complete	Categorical single		Primary	Unisex	4	1	100391	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1448
David	2019/11/15	Bread type: White	BIN_FC10001448	Bread type	1448	0	4		1	-3;-1		1	2;3;4	483498	Complete	Categorical single		Primary	Unisex	4	1	100391	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1448
David	2019/11/15	Bread type: Wholemeal or wholegrain	BIN_FC30001448	Bread type	1448	0	4		3	-3;-1		3	1;2;4	483498	Complete	Categorical single		Primary	Unisex	4	1	100391	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1448
David	2019/11/15	Cereal type: Biscuit cereal (e.g. Weetabix)	BIN_FC20001468	Cereal type	1468	0	5		2	-3;-1		2	1;3;4;5	418781	Complete	Categorical single		Primary	Unisex	4	1	100393	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1468
David	2019/11/15	Cereal type: Bran cereal (e.g. All Bran, Branflakes)	BIN_FC10001468	Cereal type	1468	0	5		1	-3;-1		1	2;3;4;5	418781	Complete	Categorical single		Primary	Unisex	4	1	100393	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1468
David	2019/11/15	Cereal type: Muesli	BIN_FC40001468	Cereal type	1468	0	5		4	-3;-1		4	1;2;3;5	418781	Complete	Categorical single		Primary	Unisex	4	1	100393	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1468
David	2019/11/15	Cereal type: Oat cereal (e.g. Ready Brek, porridge)	BIN_FC30001468	Cereal type	1468	0	5		3	-3;-1		3	1;2;4;5	418781	Complete	Categorical single		Primary	Unisex	4	1	100393	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1468
David	2019/11/15	Cereal type: Other (e.g. Cornflakes, Frosties)	BIN_FC50001468	Cereal type	1468	0	5		5	-3;-1		5	1;2;3;4	418781	Complete	Categorical single		Primary	Unisex	4	1	100393	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1468
David	2019/11/15	Coffee type: Decaffeinated coffee (any type)	BIN_FC10001508	Coffee type	1508	0	4		1	-3;-1		1	2;3;4	390818	Complete	Categorical single		Primary	Unisex	4	1	100397	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1508
David	2019/11/15	Coffee type: Ground coffee (include espresso, filter etc)	BIN_FC30001508	Coffee type	1508	0	4		3	-3;-1		3	1;2;4	390818	Complete	Categorical single		Primary	Unisex	4	1	100397	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1508
David	2019/11/15	Coffee type: Instant coffee	BIN_FC20001508	Coffee type	1508	0	4		2	-3;-1		2	1;3;4	390818	Complete	Categorical single		Primary	Unisex	4	1	100397	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1508
David	2019/11/15	Coffee type: Other type of coffee	BIN_FC40001508	Coffee type	1508	0	4		4	-3;-1		4	2;3;4	390818	Complete	Categorical single		Primary	Unisex	4	1	100397	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1508
David	2019/11/15	Drinks hot drinks or not	BIN1518	Hot drink temperature	1518	0	1		1	-3		1;2;3	-2	501643	Complete	Categorical single		Primary	Unisex	4	1	100398	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1518
David	2019/11/15	Hands-free device/speakerphone use with mobile phone in last 3 month	INI1130	Hands-free device/speakerphone use with mobile phone in last 3 month	1130	1	0	1		-3;-1	0;1;2;3;4			428348	Complete	Categorical single		Primary	Unisex	4	1	100337	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1130
David	2019/11/15	Hot drink temperature	INI1518	Hot drink temperature	1518	1	0	1		-2;-3	3;2;1			501643	Complete	Categorical single		Primary	Unisex	4	1	100398	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1518
David	2019/11/15	Major dietary changes in the last 5 years becuase of illness	BIN_FC10001538	Major dietary changes in the last 5 years	1538	0	2		1	-3		1	0;2	501643	Complete	Categorical single		Primary	Unisex	4	1	100400	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1538
David	2019/11/15	Major dietary changes in the last 5 years not because of illness	BIN_FC20001538	Major dietary changes in the last 5 years	1538	0	2		2	-3		2	0;1	501643	Complete	Categorical single		Primary	Unisex	4	1	100400	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1538
David	2019/11/15	Milk type: Full cream	BIN_FC10001418	Milk type used	1418	0	6		1	-3;-1		1	2;3;4;5;6	501574	Complete	Categorical single		Primary	Unisex	4	1	100387	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1418
David	2019/11/15	Milk type: Never/rarely have milk	BIN_FC60001418	Milk type used	1418	0	6		6	-3;-1		6	1;2;3;4;5	501574	Complete	Categorical single		Primary	Unisex	4	1	100387	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1418
David	2019/11/15	Milk type: Other type of milk	BIN_FC50001418	Milk type used	1418	0	6		5	-3;-1		5	1;2;3;4;6	501574	Complete	Categorical single		Primary	Unisex	4	1	100387	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1418
David	2019/11/15	Milk type: Semi-skimmed	BIN_FC20001418	Milk type used	1418	0	6		2	-3;-1		2	1;3;4;5;6	501574	Complete	Categorical single		Primary	Unisex	4	1	100387	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1418
David	2019/11/15	Milk type: Skimmed	BIN_FC30001418	Milk type used	1418	0	6		3	-3;-1		3	1;2;4;5;6	501574	Complete	Categorical single		Primary	Unisex	4	1	100387	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1418
David	2019/11/15	Milk type: Soya	BIN_FC40001418	Milk type used	1418	0	6		4	-3;-1		4	1;2;3;5;6	501574	Complete	Categorical single		Primary	Unisex	4	1	100387	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1418
David	2019/11/15	Non-butter spread type: Flora Pro-Active or Benecol	BIN_FC70002654	Non-butter spread type details	2654	0	7		7	-3;-1		2	4;5;6;7;8;9	264047	Complete	Categorical single		Primary	Unisex	4	1	100389	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2654
David	2019/11/15	Non-butter spread type: Hard (block) margarine	BIN_FC20002654	Non-butter spread type details	2654	0	7		2	-3;-1		5	2;4;6;7;8;9	264047	Complete	Categorical single		Primary	Unisex	4	1	100389	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2654
David	2019/11/15	Non-butter spread type: Olive oil based spread (eg: Bertolli)	BIN_FC30002654	Non-butter spread type details	2654	0	7		3	-3;-1		6	2;4;5;7;8;9	264047	Complete	Categorical single		Primary	Unisex	4	1	100389	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2654
David	2019/11/15	Non-butter spread type: Other low or reduced fat spread	BIN_FC50002654	Non-butter spread type details	2654	0	7		5	-3;-1		8	2;4;5;6;7;9	264047	Complete	Categorical single		Primary	Unisex	4	1	100389	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2654
David	2019/11/15	Non-butter spread type: Other type of spread/margarine	BIN_FC60002654	Non-butter spread type details	2654	0	7		6	-3;-1		9	2;4;5;6;7;8	264047	Complete	Categorical single		Primary	Unisex	4	1	100389	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2654
David	2019/11/15	Non-butter spread type: Polyunsaturated/sunflower oil based spread (eg: Flora)	BIN_FC40002654	Non-butter spread type details	2654	0	7		4	-3;-1		7	2;4;5;6;8;9	264047	Complete	Categorical single		Primary	Unisex	4	1	100389	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2654
David	2019/11/15	Non-butter spread type: Soft (tub) margarine	BIN_FC10002654	Non-butter spread type details	2654	0	7		1	-3;-1		4	2;5;6;7;8;9	264047	Complete	Categorical single		Primary	Unisex	4	1	100389	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2654
David	2019/11/15	Spread type: Butter/spreadable butter	BIN_FC20001428	Spread type	1428	0	4		2	-3;-1		1	0;2;3	498743	Complete	Categorical single		Primary	Unisex	4	1	100388	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1428
David	2019/11/15	Spread type: Flora Pro-Active/Benecol	BIN_FC30001428	Spread type	1428	0	4		3	-3;-1		2	0;1;3	498743	Complete	Categorical single		Primary	Unisex	4	1	100388	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1428
David	2019/11/15	Spread type: Never/rarely use spread	BIN_FC10001428	Spread type	1428	0	4		1	-3;-1		0	1;2;3	498743	Complete	Categorical single		Primary	Unisex	4	1	100388	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1428
David	2019/11/15	Spread type: Other type of spread/margarine	BIN_FC40001428	Spread type	1428	0	4		4	-3;-1		3	0;1;2	498743	Complete	Categorical single		Primary	Unisex	4	1	100388	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1428
David	2019/11/15	Variation in diet	INI1548	Variation in diet	1548	1	0	1		-1;-3	1;2;3			498743	Complete	Categorical single		Primary	Unisex	4	1	100401	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1548
David	2019/11/15	Weekly usage of mobile phone in last 3 months	INI1120	Weekly usage of mobile phone in last 3 months	1120	1	0	1		-3;-1	0;1;2;3;4;5			428348	Complete	Categorical single		Primary	Unisex	4	1	100336	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1120
Guhan	11/26/18	3mm_asymmetry_angle_(left)	INI5111	3mm asymmetry angle (left)	5111	1		1						121712	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5111
Guhan	11/26/18	3mm_asymmetry_angle_(right)	INI5108	3mm asymmetry angle (right)	5108	1		1						121943	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5108
Guhan	11/26/18	3mm_asymmetry_index_(left)	INI5156	3mm asymmetry index (left)	5156	1		1						121712	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5156
Guhan	11/26/18	3mm_asymmetry_index_(right)	INI5159	3mm asymmetry index (right)	5159	1		1						121943	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5159
Guhan	11/26/18	3mm_cylindrical_power_(left)	INI5119	3mm cylindrical power (left)	5119	1		1						124562	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5119
Guhan	11/26/18	3mm_cylindrical_power_(right)	INI5116	3mm cylindrical power (right)	5116	1		1						124541	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5116
Guhan	11/26/18	3mm_cylindrical_power_angle_(left)	INI5112	3mm cylindrical power angle (left)	5112	1		1						124543	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5112
Guhan	11/26/18	3mm_cylindrical_power_angle_(right)	INI5115	3mm cylindrical power angle (right)	5115	1		1						124529	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5115
Guhan	11/26/18	3mm_index_of_best_keratometry_results_(right)	INI5237	3mm index of best keratometry results (right)	5237	1		1						124541	Complete	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5237
Guhan	11/26/18	3mm_regularity_index_(left)	INI5163	3mm regularity index (left)	5163	1		1						121731	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5163
Guhan	11/26/18	3mm_regularity_index_(right)	INI5160	3mm regularity index (right)	5160	1		1						121981	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5160
Guhan	11/26/18	3mm_strong_meridian_(left)	INI5135	3mm strong meridian (left)	5135	1		1						124562	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5135
Guhan	11/26/18	3mm_strong_meridian_(right)	INI5132	3mm strong meridian (right)	5132	1		1						124541	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5132
Guhan	11/26/18	3mm_strong_meridian_angle_(left)	INI5104	3mm strong meridian angle (left)	5104	1		1						124562	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5104
Guhan	11/26/18	3mm_strong_meridian_angle_(right)	INI5107	3mm strong meridian angle (right)	5107	1		1						124541	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5107
Guhan	11/26/18	3mm_weak_meridian_(left)	INI5096	3mm weak meridian (left)	5096	1		1						124562	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5096
Guhan	11/26/18	3mm_weak_meridian_(right)	INI5099	3mm weak meridian (right)	5099	1		1						124541	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5099
Guhan	11/26/18	3mm_weak_meridian_angle_(left)	INI5103	3mm weak meridian angle (left)	5103	1		1						124562	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5103
Guhan	11/26/18	3mm_weak_meridian_angle_(right)	INI5100	3mm weak meridian angle (right)	5100	1		1						124541	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5100
Guhan	11/26/18	6mm_asymmetry_angle_(left)	INI5110	6mm asymmetry angle (left)	5110	1		1						66239	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5110
Guhan	11/26/18	6mm_asymmetry_angle_(right)	INI5109	6mm asymmetry angle (right)	5109	1		1						67183	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5109
Guhan	11/26/18	6mm_asymmetry_index_(left)	INI5157	6mm asymmetry index (left)	5157	1		1						66239	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5157
Guhan	11/26/18	6mm_asymmetry_index_(right)	INI5158	6mm asymmetry index (right)	5158	1		1						67183	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5158
Guhan	11/26/18	6mm_cylindrical_power_(left)	INI5118	6mm cylindrical power (left)	5118	1		1						107718	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5118
Guhan	11/26/18	6mm_cylindrical_power_(right)	INI5117	6mm cylindrical power (right)	5117	1		1						108844	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5117
Guhan	11/26/18	6mm_cylindrical_power_angle_(left)	INI5113	6mm cylindrical power angle (left)	5113	1		1						107687	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5113
Guhan	11/26/18	6mm_cylindrical_power_angle_(right)	INI5114	6mm cylindrical power angle (right)	5114	1		1						108815	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5114
Guhan	11/26/18	6mm_index_of_best_keratometry_results_(right)	INI5251	6mm index of best keratometry results (right)	5251	1		1						108844	Complete	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5251
Guhan	11/26/18	6mm_regularity_index_(left)	INI5162	6mm regularity index (left)	5162	1		1						66277	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5162
