Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Note
Guhan	11/26/2018	Average_weekly_red_wine_intake	INI1568	9797	Average weekly red wine intake	1568	1		1		-1;-3				348349	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1568	
Guhan	11/26/2018	Average_weekly_champagne_plus_white_wine_intake	INI1578	9797	Average weekly champagne plus white wine intake	1578	1		1		-1;-3				348348	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1578	
Guhan	11/26/2018	Average_weekly_beer_plus_cider_intake	INI1588	9797	Average weekly beer plus cider intake	1588	1		1		-1;-3				348348	Complete	Integer	pints	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1588	
Guhan	11/26/2018	Average_weekly_spirits_intake	INI1598	9797	Average weekly spirits intake	1598	1		1		-1;-3				348348	Complete	Integer	measures	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1598	
Guhan	11/26/2018	Average_weekly_fortified_wine_intake	INI1608	9797	Average weekly fortified wine intake	1608	1		1		-1;-3				348348	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1608	
Guhan	11/26/2018	Childhood_sunburn_occasions	INI1737	9797	Childhood sunburn occasions	1737	1		1		-1;-3				498448	Complete	Integer	times	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1737	
Guhan	11/26/2018	Father's_age_at_death	INI1807	9797	Father's age at death	1807	1		1		-1;-3				383027	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1807	
Guhan	11/26/2018	Mother's_age	INI1845	9797	Mother's age	1845	1		1		-1;-3				199412	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1845	
Guhan	11/26/2018	Number_of_full_brothers	INI1873	9797	Number of full brothers	1873	1		1		-1;-3				494319	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1873	
Guhan	11/26/2018	Number_of_full_sisters	INI1883	9797	Number of full sisters	1883	1		1		-1;-3				494319	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1883	
Guhan	11/26/2018	Age_first_had_sexual_intercourse	INI2139	9797	Age first had sexual intercourse	2139	1		1		-2;-3;-1				456261	Complete	Integer	years	Primary	Unisex	3	1	100504	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2139	
Guhan	11/26/2018	Lifetime_number_of_sexual_partners	INI2149	9797	Lifetime number of sexual partners	2149	1		1		-1;-3				452048	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2149	
Guhan	11/26/2018	Age_when_periods_started_(menarche)	INI2714	9797	Age when periods started (menarche)	2714	1		1		-1;-3				272939	Complete	Integer	years	Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2714	
Guhan	11/26/2018	Birth_weight_of_first_child	INI2744	9797	Birth weight of first child	2744	1		1		-1;-2;-3				221492	Complete	Integer	pounds	Primary	Female	3	1	100585	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2744	
Guhan	11/26/2018	Forced_vital_capacity_(FVC)	INI3062	9797	Forced vital capacity (FVC)	3062	1		1						456678	Complete	Continuous	litres	Primary	Unisex	3	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3062	
Guhan	11/26/2018	Forced_expiratory_volume_in_1-second_(FEV1)	INI3063	9797	Forced expiratory volume in 1-second (FEV1)	3063	1		1						456678	Complete	Continuous	litres	Primary	Unisex	3	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3063	
Guhan	11/26/2018	Peak_expiratory_flow_(PEF)	INI3064	9797	Peak expiratory flow (PEF)	3064	1		1						456678	Complete	Integer	litres/min	Primary	Unisex	3	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3064	
Guhan	11/26/2018	Weight,_manual_entry	INI3160	9797	Weight, manual entry	3160	1		1						8184	Complete	Continuous	Kg	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3160	
Guhan	11/26/2018	Number_of_cigarettes_currently_smoked_daily_(current_cigarette_smokers)	INI3456	9797	Number of cigarettes currently smoked daily (current cigarette smokers)	3456	1		1		-10;-1;-3				36668	Complete	Integer	cigarettes/day	Primary	Unisex	3	1	100355	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3456	NOTE: need to implement --recode in order to account for -10 (less than one a day) coding!
Guhan	11/26/2018	Mother's_age_at_death	INI3526	9797	Mother's age at death	3526	1		1		-1;-3				305315	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3526	
Guhan	11/26/2018	Pulse_rate	INI4194	10137	Pulse rate	4194	1		1						198598	Complete	Integer	bpm	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4194	
Guhan	11/26/2018	Longest_period_of_depression	INI4609	10137	Longest period of depression	4609	1		1		-1;-3				106194	Complete	Integer	weeks	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4609	
Guhan	11/26/2018	Number_of_depression_episodes	INI4620	10137	Number of depression episodes	4620	1		1		-1;-3				106194	Complete	Integer	periods	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4620	
Guhan	11/26/2018	logMAR_in_round_(left)	INI5078	10137	logMAR in round (left)	5078	1		1						133084	Complete	Continuous		Auxiliary	Unisex	2	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5078	
Guhan	11/26/2018	logMAR_in_round_(right)	INI5079	10137	logMAR in round (right)	5079	1		1						133134	Complete	Continuous		Auxiliary	Unisex	2	16		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5079	
Guhan	11/26/2018	Spherical_power_(right)	INI5084	10137	Spherical power (right)	5084	1		1						129742	Complete	Continuous	diopters	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5084	
Guhan	11/26/2018	Spherical_power_(left)	INI5085	10137	Spherical power (left)	5085	1		1						129279	Complete	Continuous	diopters	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5085	
Guhan	11/26/2018	Cylindrical_power_(left)	INI5086	10137	Cylindrical power (left)	5086	1		1						129279	Complete	Continuous	diopters	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5086	
Guhan	11/26/2018	Cylindrical_power_(right)	INI5087	10137	Cylindrical power (right)	5087	1		1						129742	Complete	Continuous	diopters	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5087	
Guhan	11/26/2018	Astigmatism_angle_(right)	INI5088	10137	Astigmatism angle (right)	5088	1		1						129742	Complete	Integer	degrees	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5088	
Guhan	11/26/2018	Astigmatism_angle_(left)	INI5089	10137	Astigmatism angle (left)	5089	1		1						129279	Complete	Integer	degrees	Primary	Unisex	2	10		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5089	
Guhan	11/26/2018	3mm_weak_meridian_(left)	INI5096	10137	3mm weak meridian (left)	5096	1		1						124562	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5096	
Guhan	11/26/2018	6mm_weak_meridian_(left)	INI5097	10137	6mm weak meridian (left)	5097	1		1						107718	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5097	
Guhan	11/26/2018	6mm_weak_meridian_(right)	INI5098	10137	6mm weak meridian (right)	5098	1		1						108844	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5098	
Guhan	11/26/2018	3mm_weak_meridian_(right)	INI5099	10137	3mm weak meridian (right)	5099	1		1						124541	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5099	
Guhan	11/26/2018	3mm_weak_meridian_angle_(right)	INI5100	10137	3mm weak meridian angle (right)	5100	1		1						124541	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5100	
Guhan	11/26/2018	6mm_weak_meridian_angle_(right)	INI5101	10137	6mm weak meridian angle (right)	5101	1		1						108844	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5101	
Guhan	11/26/2018	6mm_weak_meridian_angle_(left)	INI5102	10137	6mm weak meridian angle (left)	5102	1		1						107718	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5102	
Guhan	11/26/2018	3mm_weak_meridian_angle_(left)	INI5103	10137	3mm weak meridian angle (left)	5103	1		1						124562	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5103	
Guhan	11/26/2018	3mm_strong_meridian_angle_(left)	INI5104	10137	3mm strong meridian angle (left)	5104	1		1						124562	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5104	
Guhan	11/26/2018	6mm_strong_meridian_angle_(left)	INI5105	10137	6mm strong meridian angle (left)	5105	1		1						107718	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5105	
Guhan	11/26/2018	6mm_strong_meridian_angle_(right)	INI5106	10137	6mm strong meridian angle (right)	5106	1		1						108844	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5106	
Guhan	11/26/2018	3mm_strong_meridian_angle_(right)	INI5107	10137	3mm strong meridian angle (right)	5107	1		1						124541	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5107	
Guhan	11/26/2018	3mm_asymmetry_angle_(right)	INI5108	10137	3mm asymmetry angle (right)	5108	1		1						121943	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5108	
Guhan	11/26/2018	6mm_asymmetry_angle_(right)	INI5109	10137	6mm asymmetry angle (right)	5109	1		1						67183	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5109	
Guhan	11/26/2018	6mm_asymmetry_angle_(left)	INI5110	10137	6mm asymmetry angle (left)	5110	1		1						66239	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5110	
Guhan	11/26/2018	3mm_asymmetry_angle_(left)	INI5111	10137	3mm asymmetry angle (left)	5111	1		1						121712	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5111	
Guhan	11/26/2018	3mm_cylindrical_power_angle_(left)	INI5112	10137	3mm cylindrical power angle (left)	5112	1		1						124543	Complete	Integer	degrees	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5112	
Guhan	11/26/2018	6mm_cylindrical_power_angle_(left)	INI5113	10137	6mm cylindrical power angle (left)	5113	1		1						107687	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5113	
Guhan	11/26/2018	6mm_cylindrical_power_angle_(right)	INI5114	10137	6mm cylindrical power angle (right)	5114	1		1						108815	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5114	
Guhan	11/26/2018	3mm_cylindrical_power_angle_(right)	INI5115	10137	3mm cylindrical power angle (right)	5115	1		1						124529	Complete	Integer		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5115	
Guhan	11/26/2018	3mm_cylindrical_power_(right)	INI5116	10137	3mm cylindrical power (right)	5116	1		1						124541	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5116	
Guhan	11/26/2018	6mm_cylindrical_power_(right)	INI5117	10137	6mm cylindrical power (right)	5117	1		1						108844	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5117	
Guhan	11/26/2018	6mm_cylindrical_power_(left)	INI5118	10137	6mm cylindrical power (left)	5118	1		1						107718	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5118	
Guhan	11/26/2018	3mm_cylindrical_power_(left)	INI5119	10137	3mm cylindrical power (left)	5119	1		1						124562	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5119	
Guhan	11/26/2018	3mm_strong_meridian_(right)	INI5132	10137	3mm strong meridian (right)	5132	1		1						124541	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5132	
Guhan	11/26/2018	6mm_strong_meridian_(right)	INI5133	10137	6mm strong meridian (right)	5133	1		1						108844	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5133	
Guhan	11/26/2018	6mm_strong_meridian_(left)	INI5134	10137	6mm strong meridian (left)	5134	1		1						107718	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5134	
Guhan	11/26/2018	3mm_strong_meridian_(left)	INI5135	10137	3mm strong meridian (left)	5135	1		1						124562	Complete	Continuous	diopters	Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5135	
Guhan	11/26/2018	3mm_asymmetry_index_(left)	INI5156	10137	3mm asymmetry index (left)	5156	1		1						121712	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5156	
Guhan	11/26/2018	6mm_asymmetry_index_(left)	INI5157	10137	6mm asymmetry index (left)	5157	1		1						66239	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5157	
Guhan	11/26/2018	6mm_asymmetry_index_(right)	INI5158	10137	6mm asymmetry index (right)	5158	1		1						67183	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5158	
Guhan	11/26/2018	3mm_asymmetry_index_(right)	INI5159	10137	3mm asymmetry index (right)	5159	1		1						121943	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5159	
Guhan	11/26/2018	3mm_regularity_index_(right)	INI5160	10137	3mm regularity index (right)	5160	1		1						121981	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5160	
Guhan	11/26/2018	6mm_regularity_index_(right)	INI5161	10137	6mm regularity index (right)	5161	1		1						67285	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5161	
Guhan	11/26/2018	6mm_regularity_index_(left)	INI5162	10137	6mm regularity index (left)	5162	1		1						66277	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5162	
Guhan	11/26/2018	3mm_regularity_index_(left)	INI5163	10137	3mm regularity index (left)	5163	1		1						121731	Complete	Continuous		Primary	Unisex	2	6		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5163	
Guhan	11/26/2018	logMAR,_initial_(right)	INI5199	10137	logMAR, initial (right)	5199	1		1						133138	Complete	Continuous		Supporting	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5199	
Guhan	11/26/2018	logMAR,_initial_(left)	INI5206	10137	logMAR, initial (left)	5206	1		1						133085	Complete	Continuous		Supporting	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5206	
Guhan	11/26/2018	Vertex_distance_(right)	INI5215	10137	Vertex distance (right)	5215	1		1						129742	Complete	Continuous	mm	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5215	
Guhan	11/26/2018	3mm_index_of_best_keratometry_results_(right)	INI5237	10137	3mm index of best keratometry results (right)	5237	1		1						124541	Complete	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5237	
Guhan	11/26/2018	6mm_index_of_best_keratometry_results_(right)	INI5251	10137	6mm index of best keratometry results (right)	5251	1		1						108844	Complete	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5251	
Guhan	11/26/2018	Intra-ocular_pressure,_corneal-compensated_(right)	INI5254	10137	Intra-ocular pressure, corneal-compensated (right)	5254	1		1						127826	Complete	Continuous	mmHg	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5254	
Guhan	11/26/2018	Intra-ocular_pressure,_Goldmann-correlated_(right)	INI5255	10137	Intra-ocular pressure, Goldmann-correlated (right)	5255	1		1						127826	Complete	Continuous	mmHg	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5255	
Guhan	11/26/2018	Corneal_hysteresis_(right)	INI5256	10137	Corneal hysteresis (right)	5256	1		1						127826	Complete	Continuous		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5256	
Guhan	11/26/2018	Corneal_resistance_factor_(right)	INI5257	10137	Corneal resistance factor (right)	5257	1		1						127826	Complete	Continuous		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5257	
Guhan	11/26/2018	Applanation_curve_(right)	INI5258	10137	Applanation curve (right)	5258	1		1						127826	Complete	Compound		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5258	
Guhan	11/26/2018	Pressure_curve_(right)	INI5259	10137	Pressure curve (right)	5259	1		1						127826	Complete	Compound		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5259	
Guhan	11/26/2018	Intra-ocular_pressure,_corneal-compensated_(left)	INI5262	10137	Intra-ocular pressure, corneal-compensated (left)	5262	1		1						127456	Complete	Continuous	mmHg	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5262	
Guhan	11/26/2018	Intra-ocular_pressure,_Goldmann-correlated_(left)	INI5263	10137	Intra-ocular pressure, Goldmann-correlated (left)	5263	1		1						127456	Complete	Continuous	mmHg	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5263	
Guhan	11/26/2018	Corneal_hysteresis_(left)	INI5264	10137	Corneal hysteresis (left)	5264	1		1						127456	Complete	Continuous		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5264	
Guhan	11/26/2018	Corneal_resistance_factor_(left)	INI5265	10137	Corneal resistance factor (left)	5265	1		1						127456	Complete	Continuous		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5265	
Guhan	11/26/2018	Applanation_curve_(left)	INI5266	10137	Applanation curve (left)	5266	1		1						127456	Complete	Compound		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5266	
Guhan	11/26/2018	Pressure_curve_(left)	INI5267	10137	Pressure curve (left)	5267	1		1						127456	Complete	Compound		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5267	
Guhan	11/26/2018	Vertex_distance_(left)	INI5274	10137	Vertex distance (left)	5274	1		1						129279	Complete	Continuous	mm	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5274	
Guhan	11/26/2018	Forced_vital_capacity_(FVC)_(pilot)	INI10694	9797	Forced vital capacity (FVC) (pilot)	10694	1		1						3421	Complete	Continuous	litres	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10694	
Guhan	11/26/2018	Forced_expiratory_volume_in_1-second_(FEV1)_(pilot)	INI10695	9797	Forced expiratory volume in 1-second (FEV1) (pilot)	10695	1		1						3421	Complete	Continuous	litres	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10695	
