filename|controls|cases|phenotypename|icd10
coxnet_status_f.130226.0.0.csv|314934|22218|dermatophytosis|B35
coxnet_status_f.131958.0.0.csv|314986|22166|other enthesopathies|M77
coxnet_status_f.131638.0.0.csv|315273|21879|irritable bowel syndrome|K58
coxnet_status_f.131954.0.0.csv|315275|21877|shoulder lesions|M75
coxnet_status_f.131806.0.0.csv|315748|21404|seborrhoeic keratosis|L82
coxnet_status_f.131224.0.0.csv|316126|21026|other disorders of external ear|H61
coxnet_status_f.131404.0.0.csv|316147|21005|haemorrhoids|I84
coxnet_status_f.131296.0.0.csv|316610|20542|angina pectoris|I20
coxnet_status_f.130708.0.0.csv|316677|20475|non-insulin-dependent diabetes mellitus|E11
coxnet_status_f.131864.0.0.csv|316732|20420|other arthritis|M13
coxnet_status_f.131166.0.0.csv|316991|20161|other cataract|H26
coxnet_status_f.131702.0.0.csv|317633|19519|cellulitis|L03
coxnet_status_f.132146.0.0.csv|317733|19419|excessive, frequent and irregular menstruation|N92
coxnet_status_f.131916.0.0.csv|317767|19385|spondylosis|M47
coxnet_status_f.131674.0.0.csv|318393|18759|cholelithiasis|K80
coxnet_status_f.131612.0.0.csv|318401|18751|inguinal hernia|K40
coxnet_status_f.132072.0.0.csv|319449|17703|hyperplasia of prostate|N40
coxnet_status_f.131350.0.0.csv|319986|17166|atrial fibrillation and flutter|I48
coxnet_status_f.131426.0.0.csv|320132|17020|acute sinusitis|J01
coxnet_status_f.131630.0.0.csv|320350|16802|other non-infective gastro-enteritis and colitis|K52
coxnet_status_f.131052.0.0.csv|320501|16651|migraine|G43
coxnet_status_f.131648.0.0.csv|320718|16434|other diseases of intestine|K63
coxnet_status_f.131456.0.0.csv|320949|16203|pneumonia, organism unspecified|J18
coxnet_status_f.131950.0.0.csv|321030|16122|fibroblastic disorders|M72
coxnet_status_f.131428.0.0.csv|321107|16045|acute pharyngitis|J02
coxnet_status_f.131142.0.0.csv|321201|15951|conjunctivitis|H10
coxnet_status_f.130906.0.0.csv|321611|15541|other anxiety disorders|F41
coxnet_status_f.131924.0.0.csv|321715|15437|other intervertebral disk disorders|M51
coxnet_status_f.131074.0.0.csv|321969|15183|mononeuropathies of upper limb|G56
coxnet_status_f.131640.0.0.csv|322044|15108|other functional intestinal disorders|K59
coxnet_status_f.131402.0.0.csv|322107|15045|varicose veins of lower extremities|I83
coxnet_status_f.131222.0.0.csv|322188|14964|otitis externa|H60
coxnet_status_f.130714.0.0.csv|322401|14751|unspecified diabetes mellitus|E14
coxnet_status_f.131884.0.0.csv|322420|14732|internal derangement of knee|M23
coxnet_status_f.130648.0.0.csv|322846|14306|other anaemias|D64
coxnet_status_f.130622.0.0.csv|323213|13939|iron deficiency anaemia|D50
coxnet_status_f.131870.0.0.csv|323460|13692|coxarthrosis [arthrosis of hip]|M16
coxnet_status_f.131878.0.0.csv|323536|13616|acquired deformities of fingers and toes|M20
coxnet_status_f.131768.0.0.csv|323716|13436|skin changes due to chronic exposure to nonionising radiation|L57
coxnet_status_f.131298.0.0.csv|324638|12514|acute myocardial infarction|I21
coxnet_status_f.131938.0.0.csv|324914|12238|synovitis and tenosynovitis|M65
coxnet_status_f.132124.0.0.csv|324951|12201|female genital prolapse|N81
coxnet_status_f.130188.0.0.csv|325037|12115|viral warts|B07
coxnet_status_f.131600.0.0.csv|325129|12023|dyspepsia|K30
coxnet_status_f.132032.0.0.csv|325224|11928|chronic renal failure|N18
coxnet_status_f.132054.0.0.csv|325379|11773|cystitis|N30
coxnet_status_f.131964.0.0.csv|325503|11649|osteoporosis without pathological fracture|M81
coxnet_status_f.131858.0.0.csv|325551|11601|gout|M10
coxnet_status_f.131586.0.0.csv|325566|11586|other diseases of oesophagus|K22
coxnet_status_f.131396.0.0.csv|325619|11533|phlebitis and thrombophlebitis|I80
coxnet_status_f.132130.0.0.csv|325628|11524|polyp of female genital tract|N84
coxnet_status_f.131946.0.0.csv|325795|11357|soft tissue disorders related to use, overuse and pressure|M70
coxnet_status_f.131472.0.0.csv|325828|11324|other disorders of nose and nasal sinuses|J34
coxnet_status_f.132058.0.0.csv|325862|11290|other disorders of bladder|N32
coxnet_status_f.130178.0.0.csv|326040|11112|zoster [herpes zoster]|B02
coxnet_status_f.131692.0.0.csv|326104|11048|other diseases of digestive system|K92
coxnet_status_f.131060.0.0.csv|326177|10975|sleep disorders|G47
coxnet_status_f.131262.0.0.csv|326242|10910|otalgia and effusion of ear|H92
coxnet_status_f.132102.0.0.csv|326293|10859|unspecified lump in breast|N63
coxnet_status_f.131492.0.0.csv|326390|10762|other chronic obstructive pulmonary disease|J44
coxnet_status_f.131430.0.0.csv|326789|10363|acute tonsillitis|J03
coxnet_status_f.132276.0.0.csv|326831|10321|single spontaneous delivery|O80
coxnet_status_f.130018.0.0.csv|326923|10229|diarrhoea and gastro-enteritis of presumed infectious origin|A09
coxnet_status_f.131548.0.0.csv|327033|10119|other respiratory disorders|J98
coxnet_status_f.131794.0.0.csv|327108|10044|follicular cysts of skin and subcutaneous tissue|L72
coxnet_status_f.131164.0.0.csv|327192|9960|senile cataract|H25
coxnet_status_f.131708.0.0.csv|327223|9929|other local infections of skin and subcutaneous tissue|L08
coxnet_status_f.131186.0.0.csv|327236|9916|glaucoma|H40
coxnet_status_f.131582.0.0.csv|327271|9881|oesophagitis|K20
coxnet_status_f.130910.0.0.csv|327535|9617|reaction to severe stress, and adjustment disorders|F43
coxnet_status_f.131742.0.0.csv|327559|9593|psoriasis|L40
coxnet_status_f.131264.0.0.csv|327681|9471|other disorders of ear, not elsewhere classified|H93
coxnet_status_f.131720.0.0.csv|327832|9320|atopic dermatitis|L20
coxnet_status_f.131136.0.0.csv|327903|9249|disorders of lachrymal system|H04
coxnet_status_f.131260.0.0.csv|328039|9113|other hearing loss|H91
coxnet_status_f.132104.0.0.csv|328256|8896|other disorders of breast|N64
coxnet_status_f.131602.0.0.csv|328367|8785|other diseases of stomach and duodenum|K31
coxnet_status_f.131468.0.0.csv|328584|8568|chronic sinusitis|J32
coxnet_status_f.131128.0.0.csv|328727|8425|hordeolum and chalazion|H00
coxnet_status_f.131972.0.0.csv|328765|8387|other disorders of bone density and structure|M85
coxnet_status_f.130338.0.0.csv|328834|8318|other bacterial agents as the cause of diseases classified to other chapters|B96
coxnet_status_f.132096.0.0.csv|328893|8259|benign mammary dysplasia|N60
coxnet_status_f.132140.0.0.csv|328916|8236|other noninflammatory disorders of vagina|N89
coxnet_status_f.131738.0.0.csv|328952|8200|pruritus|L29
coxnet_status_f.131918.0.0.csv|328955|8197|other spondylopathies|M48
coxnet_status_f.131252.0.0.csv|329019|8133|disorders of vestibular function|H81
coxnet_status_f.132150.0.0.csv|329021|8131|pain and other conditions associated with female genital organs and menstrual cycle|N94
coxnet_status_f.132128.0.0.csv|329102|8050|noninflammatory disorders of ovary, fallopian tube and broad ligament|N83
coxnet_status_f.131256.0.0.csv|329121|8031|other diseases of inner ear|H83
coxnet_status_f.132092.0.0.csv|329331|7821|other disorders of male genital organs|N50
coxnet_status_f.131942.0.0.csv|329350|7802|other disorders of synovium and tendon|M67
coxnet_status_f.131774.0.0.csv|329425|7727|nail disorders|L60
coxnet_status_f.130828.0.0.csv|329434|7718|other disorders of fluid, electrolyte and acid-base balance|E87
coxnet_status_f.131700.0.0.csv|329459|7693|cutaneous abscess, furuncle and carbuncle|L02
coxnet_status_f.131182.0.0.csv|329476|7676|other retinal disorders|H35
coxnet_status_f.131132.0.0.csv|329523|7629|other disorders of eyelid|H02
coxnet_status_f.130224.0.0.csv|329734|7418|viral infection of unspecified site|B34
coxnet_status_f.131754.0.0.csv|329804|7348|urticaria|L50
coxnet_status_f.132148.0.0.csv|329872|7280|other abnormal uterine and vaginal bleeding|N93
coxnet_status_f.131442.0.0.csv|329967|7185|influenza, virus not identified|J11
coxnet_status_f.131416.0.0.csv|330007|7145|hypotension|I95
coxnet_status_f.131868.0.0.csv|330112|7040|polyarthrosis|M15
coxnet_status_f.131386.0.0.csv|330138|7014|other peripheral vascular diseases|I73
coxnet_status_f.131210.0.0.csv|330149|7003|visual disturbances|H53
coxnet_status_f.131230.0.0.csv|330294|6858|suppurative and unspecified otitis media|H66
coxnet_status_f.131190.0.0.csv|330327|6825|disorders of vitreous body|H43
coxnet_status_f.131354.0.0.csv|330340|6812|heart failure|I50
coxnet_status_f.130176.0.0.csv|330357|6795|varicella [chickenpox]|B01
coxnet_status_f.131722.0.0.csv|330395|6757|seborrhoeic dermatitis|L21
coxnet_status_f.131590.0.0.csv|330417|6735|gastric ulcer|K25
coxnet_status_f.131850.0.0.csv|330575|6577|other rheumatoid arthritis|M06
coxnet_status_f.130230.0.0.csv|330611|6541|candidiasis|B37
coxnet_status_f.130854.0.0.csv|330691|6461|mental and behavioural disorders due to use of alcohol|F10
coxnet_status_f.132122.0.0.csv|330714|6438|endometriosis|N80
coxnet_status_f.131352.0.0.csv|330813|6339|other cardiac arrhythmias|I49
coxnet_status_f.132030.0.0.csv|330893|6259|acute renal failure|N17
coxnet_status_f.131484.0.0.csv|330923|6229|bronchitis, not specified as acute or chronic|J40
coxnet_status_f.131356.0.0.csv|331083|6069|complications and ill-defined descriptions of heart disease|I51
coxnet_status_f.131368.0.0.csv|331234|5918|stroke, not specified as haemorrhage or infarction|I64
coxnet_status_f.131308.0.0.csv|331262|5890|pulmonary embolism|I26
coxnet_status_f.131534.0.0.csv|331263|5889|pleural effusion, not elsewhere classified|J90
coxnet_status_f.131670.0.0.csv|331313|5839|other diseases of liver|K76
coxnet_status_f.131056.0.0.csv|331427|5725|transient cerebral ischaemic attacks and related syndromes|G45
coxnet_status_f.131592.0.0.csv|331442|5710|duodenal ulcer|K26
coxnet_status_f.131144.0.0.csv|331485|5667|other disorders of conjunctiva|H11
coxnet_status_f.131956.0.0.csv|331733|5419|enthesopathies of lower limb, excluding foot|M76
coxnet_status_f.132036.0.0.csv|332052|5100|calculus of kidney and ureter|N20
coxnet_status_f.131560.0.0.csv|332087|5065|diseases of pulp and periapical tissues|K04
coxnet_status_f.131258.0.0.csv|332088|5064|conductive and sensorineural hearing loss|H90
coxnet_status_f.131216.0.0.csv|332093|5059|other disorders of eye and adnexa|H57
coxnet_status_f.132132.0.0.csv|332120|5032|other noninflammatory disorders of uterus, except cervix|N85
coxnet_status_f.131470.0.0.csv|332144|5008|nasal polyp|J33
coxnet_status_f.130070.0.0.csv|332165|4987|other septicaemia|A41
coxnet_status_f.132136.0.0.csv|332191|4961|dysplasia of cervix uteri|N87
coxnet_status_f.131048.0.0.csv|332224|4928|epilepsy|G40
coxnet_status_f.130184.0.0.csv|332232|4920|measles|B05
coxnet_status_f.131616.0.0.csv|332323|4829|umbilical hernia|K42
coxnet_status_f.130008.0.0.csv|332336|4816|other bacterial intestinal infections|A04
coxnet_status_f.130700.0.0.csv|332489|4663|thyrotoxicosis [hyperthyroidism]|E05
coxnet_status_f.131634.0.0.csv|332587|4565|paralytic ileus and intestinal obstruction without hernia|K56
coxnet_status_f.131578.0.0.csv|332653|4499|other diseases of lip and oral mucosa|K13
coxnet_status_f.131466.0.0.csv|332681|4471|chronic rhinitis, nasopharyngitis and pharyngitis|J31
coxnet_status_f.131342.0.0.csv|332693|4459|atrioventricular and left bundle-branch block|I44
coxnet_status_f.132050.0.0.csv|332702|4450|other disorders of kidney and ureter, not elsewhere classified|N28
coxnet_status_f.132088.0.0.csv|332738|4414|other disorders of penis|N48
coxnet_status_f.132264.0.0.csv|332780|4372|perineal laceration during delivery|O70
coxnet_status_f.131178.0.0.csv|332850|4302|retinal detachments and breaks|H33
coxnet_status_f.131926.0.0.csv|332929|4223|other dorsopathies, not elsewhere classified|M53
coxnet_status_f.131072.0.0.csv|332995|4157|nerve root and plexus compressions in diseases classified elsewhere|G55
coxnet_status_f.131642.0.0.csv|333016|4136|fissure and fistula of anal and rectal regions|K60
coxnet_status_f.132142.0.0.csv|333022|4130|other noninflammatory disorders of vulva and perineum|N90
coxnet_status_f.131618.0.0.csv|333026|4126|ventral hernia|K43
coxnet_status_f.131348.0.0.csv|333047|4105|paroxysmal tachycardia|I47
coxnet_status_f.130336.0.0.csv|333104|4048|streptococcus and staphylococcus as the cause of diseases classified to other chapters|B95
coxnet_status_f.131228.0.0.csv|333126|4026|nonsuppurative otitis media|H65
coxnet_status_f.131792.0.0.csv|333197|3955|rosacea|L71
coxnet_status_f.131366.0.0.csv|333245|3907|cerebral infarction|I63
coxnet_status_f.131790.0.0.csv|333319|3833|acne|L70
coxnet_status_f.132168.0.0.csv|333381|3771|spontaneous abortion|O03
coxnet_status_f.131628.0.0.csv|333417|3735|ulcerative colitis|K51
coxnet_status_f.131458.0.0.csv|333421|3731|acute bronchitis|J20
coxnet_status_f.132042.0.0.csv|333458|3694|unspecified renal colic|N23
coxnet_status_f.130228.0.0.csv|333465|3687|other superficial mycoses|B36
coxnet_status_f.131424.0.0.csv|333466|3686|acute nasopharyngitis [common cold]|J00
coxnet_status_f.131054.0.0.csv|333481|3671|other headache syndromes|G44
coxnet_status_f.131822.0.0.csv|333534|3618|atrophic disorders of skin|L90
coxnet_status_f.131608.0.0.csv|333534|3618|unspecified appendicitis|K37
coxnet_status_f.130660.0.0.csv|333599|3553|agranulocytosis|D70
coxnet_status_f.131208.0.0.csv|333635|3517|disorders of refraction and accommodation|H52
coxnet_status_f.131676.0.0.csv|333650|3502|cholecystitis|K81
coxnet_status_f.131910.0.0.csv|333690|3462|other deforming dorsopathies|M43
coxnet_status_f.131130.0.0.csv|333718|3434|other inflammation of eyelid|H01
coxnet_status_f.131654.0.0.csv|333723|3429|other disorders of peritoneum|K66
coxnet_status_f.130826.0.0.csv|333771|3381|volume depletion|E86
coxnet_status_f.131824.0.0.csv|333827|3325|hypertrophic disorders of skin|L91
coxnet_status_f.130016.0.0.csv|333834|3318|viral and other specified intestinal infections|A08
coxnet_status_f.131076.0.0.csv|333837|3315|mononeuropathies of lower limb|G57
coxnet_status_f.132118.0.0.csv|333848|3304|other inflammation of vagina and vulva|N76
coxnet_status_f.132056.0.0.csv|333850|3302|neuromuscular dysfunction of bladder, not elsewhere classified|N31
coxnet_status_f.131374.0.0.csv|333866|3286|other cerebrovascular diseases|I67
coxnet_status_f.131900.0.0.csv|333898|3254|other systemic involvement of connective tissue|M35
coxnet_status_f.131980.0.0.csv|333918|3234|other disorders of bone|M89
coxnet_status_f.131324.0.0.csv|333980|3172|nonrheumatic aortic valve disorders|I35
coxnet_status_f.130216.0.0.csv|333987|3165|mumps|B26
coxnet_status_f.131432.0.0.csv|334005|3147|acute laryngitis and tracheitis|J04
coxnet_status_f.132064.0.0.csv|334014|3138|urethral stricture|N35
coxnet_status_f.131032.0.0.csv|334022|3130|other extrapyramidal and movement disorders|G25
coxnet_status_f.130174.0.0.csv|334052|3100|herpesviral [herpes simplex] infections|B00
coxnet_status_f.131322.0.0.csv|334122|3030|nonrheumatic mitral valve disorders|I34
coxnet_status_f.131556.0.0.csv|334132|3020|dental caries|K02
coxnet_status_f.132112.0.0.csv|334139|3013|other female pelvic inflammatory diseases|N73
coxnet_status_f.130698.0.0.csv|334146|3006|other non-toxic goitre|E04
coxnet_status_f.131604.0.0.csv|334172|2980|acute appendicitis|K35
coxnet_status_f.132022.0.0.csv|334195|2957|obstructive and reflux uropathy|N13
coxnet_status_f.131934.0.0.csv|334221|2931|other disorders of muscle|M62
coxnet_status_f.130820.0.0.csv|334224|2928|disorders of mineral metabolism|E83
coxnet_status_f.131886.0.0.csv|334233|2919|other specific joint derangements|M24
coxnet_status_f.131804.0.0.csv|334244|2908|other disorders of pigmentation|L81
coxnet_status_f.131880.0.0.csv|334274|2878|other acquired deformities of limbs|M21
coxnet_status_f.131688.0.0.csv|334327|2825|intestinal malabsorption|K90
coxnet_status_f.131344.0.0.csv|334330|2822|other conduction disorders|I45
coxnet_status_f.132074.0.0.csv|334366|2786|inflammatory diseases of prostate|N41
coxnet_status_f.130706.0.0.csv|334374|2778|insulin-dependent diabetes mellitus|E10
coxnet_status_f.131498.0.0.csv|334389|2763|bronchiectasis|J47
coxnet_status_f.131568.0.0.csv|334437|2715|other disorders of teeth and supporting structures|K08
coxnet_status_f.131114.0.0.csv|334444|2708|other disorders of brain|G93
coxnet_status_f.132156.0.0.csv|334486|2666|female infertility|N97
coxnet_status_f.132260.0.0.csv|334540|2612|labour and delivery complicated by foetal stress [distress]|O68
coxnet_status_f.131922.0.0.csv|334592|2560|cervical disk disorders|M50
coxnet_status_f.132170.0.0.csv|334625|2527|medical abortion|O04
coxnet_status_f.131546.0.0.csv|334643|2509|respiratory failure, not elsewhere classified|J96
coxnet_status_f.131796.0.0.csv|334668|2484|other follicular disorders|L73
coxnet_status_f.130896.0.0.csv|334688|2464|recurrent depressive disorder|F33
coxnet_status_f.130658.0.0.csv|334691|2461|purpura and other haemorrhagic conditions|D69
coxnet_status_f.131682.0.0.csv|334712|2440|acute pancreatitis|K85
coxnet_status_f.131576.0.0.csv|334726|2426|stomatitis and related lesions|K12
coxnet_status_f.131810.0.0.csv|334737|2415|corns and callosities|L84
coxnet_status_f.131970.0.0.csv|334770|2382|disorders of continuity of bone|M84
coxnet_status_f.131914.0.0.csv|334784|2368|other inflammatory spondylopathies|M46
coxnet_status_f.131580.0.0.csv|334831|2321|diseases of tongue|K14
coxnet_status_f.131812.0.0.csv|334849|2303|other epidermal thickening|L85
coxnet_status_f.131680.0.0.csv|334864|2288|other diseases of biliary tract|K83
coxnet_status_f.131086.0.0.csv|334866|2286|other polyneuropathies|G62
coxnet_status_f.130218.0.0.csv|334882|2270|infectious mononucleosis|B27
coxnet_status_f.132086.0.0.csv|334883|2269|redundant prepuce, phimosis and paraphimosis|N47
coxnet_status_f.131574.0.0.csv|334903|2249|diseases of salivary glands|K11
coxnet_status_f.130624.0.0.csv|334987|2165|vitamin b12 deficiency anaemia|D51
coxnet_status_f.131678.0.0.csv|334998|2154|other diseases of gallbladder|K82
coxnet_status_f.131882.0.0.csv|335000|2152|disorders of patella|M22
coxnet_status_f.131730.0.0.csv|335001|2151|unspecified contact dermatitis|L25
coxnet_status_f.131490.0.0.csv|335023|2129|emphysema|J43
coxnet_status_f.131948.0.0.csv|335032|2120|other bursopathies|M71
coxnet_status_f.131652.0.0.csv|335049|2103|peritonitis|K65
coxnet_status_f.130342.0.0.csv|335051|2101|other specified infectious agents as the cause of diseases classified to other chapters|B98
coxnet_status_f.131304.0.0.csv|335057|2095|other acute ischaemic heart diseases|I24
coxnet_status_f.131064.0.0.csv|335064|2088|facial nerve disorders|G51
coxnet_status_f.131282.0.0.csv|335071|2081|multiple valve diseases|I08
coxnet_status_f.130904.0.0.csv|335091|2061|phobic anxiety disorders|F40
coxnet_status_f.131062.0.0.csv|335107|2045|disorders of trigeminal nerve|G50
coxnet_status_f.132034.0.0.csv|335118|2034|unspecified renal failure|N19
coxnet_status_f.130914.0.0.csv|335132|2020|somatoform disorders|F45
coxnet_status_f.131480.0.0.csv|335133|2019|diseases of vocal cords and larynx, not elsewhere classified|J38
coxnet_status_f.132076.0.0.csv|335159|1993|other disorders of prostate|N42
coxnet_status_f.131382.0.0.csv|335169|1983|aortic aneurysm and dissection|I71
coxnet_status_f.131782.0.0.csv|335177|1975|other nonscarring hair loss|L65
coxnet_status_f.131644.0.0.csv|335184|1968|abscess of anal and rectal regions|K61
coxnet_status_f.131906.0.0.csv|335185|1967|scoliosis|M41
coxnet_status_f.130186.0.0.csv|335186|1966|rubella [german measles]|B06
coxnet_status_f.131626.0.0.csv|335201|1951|crohn's disease [regional enteritis]|K50
coxnet_status_f.130718.0.0.csv|335215|1937|other disorders of pancreatic internal secretion|E16
coxnet_status_f.132138.0.0.csv|335249|1903|other noninflammatory disorders of cervix uteri|N88
coxnet_status_f.131236.0.0.csv|335283|1869|other disorders of eustachian tube|H69
coxnet_status_f.131540.0.0.csv|335288|1864|pneumothorax|J93
coxnet_status_f.131184.0.0.csv|335289|1863|retinal disorders in diseases classified elsewhere|H36
coxnet_status_f.132082.0.0.csv|335297|1855|orchitis and epididymitis|N45
coxnet_status_f.132280.0.0.csv|335369|1783|single delivery by caesarean section|O82
coxnet_status_f.131392.0.0.csv|335370|1782|diseases of capillaries|I78
coxnet_status_f.131234.0.0.csv|335374|1778|eustachian salpingitis and obstruction|H68
coxnet_status_f.131158.0.0.csv|335380|1772|iridocyclitis|H20
coxnet_status_f.131102.0.0.csv|335413|1739|hemiplegia|G81
coxnet_status_f.131554.0.0.csv|335446|1706|embedded and impacted teeth|K01
coxnet_status_f.131566.0.0.csv|335451|1701|dentofacial anomalies [including malocclusion]|K07
coxnet_status_f.131212.0.0.csv|335455|1697|blindness and low vision|H54
coxnet_status_f.130020.0.0.csv|335493|1659|respiratory tuberculosis, bacteriologically and histologically confirmed|A15
coxnet_status_f.131690.0.0.csv|335516|1636|postprocedural disorders of digestive system, not elsewhere classified|K91
coxnet_status_f.131990.0.0.csv|335517|1635|other disorders of cartilage|M94
coxnet_status_f.130320.0.0.csv|335519|1633|scabies|B86
coxnet_status_f.131390.0.0.csv|335521|1631|other disorders of arteries and arterioles|I77
coxnet_status_f.131042.0.0.csv|335526|1626|multiple sclerosis|G35
coxnet_status_f.130770.0.0.csv|335531|1621|deficiency of other b group vitamins|E53
coxnet_status_f.130998.0.0.csv|335542|1610|meningitis due to other and unspecified causes|G03
coxnet_status_f.131022.0.0.csv|335543|1609|parkinson's disease|G20
coxnet_status_f.132144.0.0.csv|335544|1608|absent, scanty and rare menstruation|N91
coxnet_status_f.131338.0.0.csv|335580|1572|cardiomyopathy|I42
coxnet_status_f.132312.0.0.csv|335596|1556|other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium|O99
coxnet_status_f.132116.0.0.csv|335597|1555|diseases of bartholin's gland|N75
coxnet_status_f.131204.0.0.csv|335599|1553|other strabismus|H50
coxnet_status_f.132224.0.0.csv|335604|1548|maternal care for other known or suspected foetal problems|O36
coxnet_status_f.131154.0.0.csv|335609|1543|other disorders of cornea|H18
coxnet_status_f.132078.0.0.csv|335617|1535|hydrocele and spermatocele|N43
coxnet_status_f.131992.0.0.csv|335640|1512|other acquired deformities of musculoskeletal system and connective tissue|M95
coxnet_status_f.131528.0.0.csv|335640|1512|other interstitial pulmonary diseases|J84
coxnet_status_f.131974.0.0.csv|335645|1507|osteomyelitis|M86
coxnet_status_f.132250.0.0.csv|335651|1501|long labour|O63
coxnet_status_f.131748.0.0.csv|335658|1494|lichen planus|L43
coxnet_status_f.130832.0.0.csv|335662|1490|postprocedural endocrine and metabolic disorders, not elsewhere classified|E89
coxnet_status_f.131380.0.0.csv|335671|1481|atherosclerosis|I70
coxnet_status_f.131820.0.0.csv|335680|1472|decubitus ulcer|L89
coxnet_status_f.132206.0.0.csv|335698|1454|maternal care for other conditions predominantly related to pregnancy|O26
coxnet_status_f.131834.0.0.csv|335699|1453|ulcer of lower limb, not elsewhere classified|L97
coxnet_status_f.130656.0.0.csv|335707|1445|other coagulation defects|D68
coxnet_status_f.132166.0.0.csv|335714|1438|other abnormal products of conception|O02
coxnet_status_f.131124.0.0.csv|335715|1437|other disorders of nervous system, not elsewhere classified|G98
coxnet_status_f.131316.0.0.csv|335739|1413|other diseases of pericardium|I31
coxnet_status_f.130922.0.0.csv|335747|1405|sexual dysfunction, not caused by organic disorder or disease|F52
coxnet_status_f.132134.0.0.csv|335753|1399|erosion and ectropion of cervix uteri|N86
coxnet_status_f.132110.0.0.csv|335760|1392|inflammatory disease of cervix uteri|N72
coxnet_status_f.131874.0.0.csv|335760|1392|arthrosis of first carpometacarpal joint|M18
coxnet_status_f.130736.0.0.csv|335761|1391|ovarian dysfunction|E28
coxnet_status_f.130062.0.0.csv|335778|1374|whooping cough|A37
coxnet_status_f.130670.0.0.csv|335786|1366|other diseases of blood and blood-forming organs|D75
coxnet_status_f.132100.0.0.csv|335787|1365|hypertrophy of breast|N62
coxnet_status_f.130704.0.0.csv|335791|1361|other disorders of thyroid|E07
coxnet_status_f.131242.0.0.csv|335813|1339|perforation of tympanic membrane|H72
coxnet_status_f.131180.0.0.csv|335813|1339|retinal vascular occlusions|H34
coxnet_status_f.131378.0.0.csv|335814|1338|sequelae of cerebrovascular disease|I69
coxnet_status_f.132278.0.0.csv|335818|1334|single delivery by forceps and vacuum extractor|O81
coxnet_status_f.131408.0.0.csv|335818|1334|varicose veins of other sites|I86
coxnet_status_f.131684.0.0.csv|335828|1324|other diseases of pancreas|K86
coxnet_status_f.132268.0.0.csv|335843|1309|postpartum haemorrhage|O72
coxnet_status_f.131668.0.0.csv|335843|1309|other inflammatory liver diseases|K75
coxnet_status_f.132098.0.0.csv|335847|1305|inflammatory disorders of breast|N61
coxnet_status_f.131912.0.0.csv|335862|1290|ankylosing spondylitis|M45
coxnet_status_f.131632.0.0.csv|335862|1290|vascular disorders of intestine|K55
coxnet_status_f.131290.0.0.csv|335863|1289|hypertensive renal disease|I12
coxnet_status_f.130106.0.0.csv|335885|1267|other predominantly sexually transmitted diseases, not elsewhere classified|A63
coxnet_status_f.131624.0.0.csv|335914|1238|unspecified abdominal hernia|K46
coxnet_status_f.130774.0.0.csv|335925|1227|vitamin d deficiency|E55
coxnet_status_f.131826.0.0.csv|335946|1206|granulomatous disorders of skin and subcutaneous tissue|L92
coxnet_status_f.131414.0.0.csv|335959|1193|other non-infective disorders of lymphatic vessels and lymph nodes|I89
coxnet_status_f.131666.0.0.csv|335960|1192|fibrosis and cirrhosis of liver|K74
coxnet_status_f.132220.0.0.csv|335963|1189|maternal care for known or suspected abnormality of pelvic organs|O34
