#GBE_ID	FIELD	GBE_NAME	N	n_GBE_IDs	n_uniq_Ns	AMS_URL	md5sum
BIN_FC10003486	3486	Ever_tried_to_stop_smoking	32639	4	3	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3486	97fcecc11248615ddf3803e528eab613
BIN3571	3571	Back_pain_for_3+_months	93188	2	1	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3571	75add8fe0a68d90914e7290ef3344b53
BIN_FC10003571	3571	Back_pain_for_3+_months	93188	2	1	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3571	75add8fe0a68d90914e7290ef3344b53
INI2005254	5254/5255	Intra-ocular_pressure,_corneal-compensated_(median)	128943	2	1	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5254/5255	15f8bf121d65832973b86df0afc8c9c9
INI2005255	5254/5255	Intra-ocular_pressure,_Goldmann-correlated_(median)	128943	2	1	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5254/5255	b9f96c605a9d6678b1e0a24641bc368b
BIN_FC3006152	6152	Blood_clot_diagnosed_by_doctor	4349	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	edd2af3182b078ebba76808306137fd5
BIN_FC8006152	6152	Blood_clot_in_the_lung	4349	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	ffd9aeb62911994fc160483fcf394ca0
BIN_FC2006152	6152	emphysema/chronic_bronchitis_diagnosed_by_doctor	8843	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	8b1e63eb6ca2904926e9d2329b68b3c5
BIN_FC7006152	6152	Emphysema_or_chronic_bronchitis	8843	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	567b7f579d2843a68ff07bb49b7c9bc3
BIN_FC1006152	6152	DVT_diagnosed_by_doctor	10693	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	3f0265af5e522d29b8b8fb4c4eb8eff9
BIN_FC6006152	6152	Blood_clot_in_the_leg_(DVT)	10693	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	3a240461417806c31fda71d5057bd734
BIN_FC11006152	6152	Blood_clot_or_DVT_diagnosed_by_doctor	13544	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	996e6290aaf3e84bac122f3ab7761b17
BIN_FC12006152	6152	Blood_clot_in_the_leg_(DVT)_or_lung	13544	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	f4e1a1c36a952703e734cdbf189d453e
BIN_FC4006152	6152	asthma_diagnosed_by_doctor	59322	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	35a43f33b3d0303eafc0c3ef72829c12
BIN_FC9006152	6152	Asthma	59322	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	258228ea1ee375272f683f37fc7dce70
BIN_FC10006152	6152	Hayfever_allergic_rhinitis_or_eczema	118783	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	54d65ea30ab909e6345cfed749e71846
BIN_FC5006152	6152	Hayfever_rhinitis_or_eczema_diagnosed_by_doctor	118783	12	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	6feb1a4b0e12187bc140a34848737a80
BIN_FC3006153	6153	Medication_for_diabetes_(female_only)	2338	10	5	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	f3efaa1b84adca2f3f908f24fc81f141
BIN_FC8006153	6153	Insulin	2338	10	5	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	e8e227a1fa52fb0f8d080ab6088e45f3
BIN_FC10006153	6153	Oral_contraceptive_pill_or_minipill	7174	10	5	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	12671baa8e6e9a462d4da7ee824744db
BIN_FC5006153	6153	Oral_contraceptives_(female_only)	7174	10	5	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	886aee3e28847a5b899dd3393fd6e300
BIN_FC4006153	6153	Hormone_replacement_therapy_(female_only)	21058	10	5	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	bd42a9d1e063a538ed9c4e43bb7ac36a
BIN_FC9006153	6153	Hormone_replacement_therapy	21058	10	5	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	d67b8f04df9bb6af8ee4e72dec8d0aec
BIN_FC1006153	6153	Medication_for_cholesterol_(female_only)	37487	10	5	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	88a1d3e4c4447d59db70c52727456555
BIN_FC6006153	6153	Cholesterol_lowering_medication	37487	10	5	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	00e93e8d9a0c58dbfff6e89931322da8
BIN_FC2006153	6153	Medication_for_blood_pressure_(female_only)	50467	10	5	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	e4e5097d8925f5227fdf29676591c9e0
BIN_FC7006153	6153	Blood_pressure_medication	50467	10	5	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153	dc179517c9770bc7ae280ca8860183e9
BIN_FC10006154	6154	Ranitidine_use_self-reported	10528	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	af7cec71096782e5ca50e9a4e76faa16
BIN_FC12006154	6154	Laxative_use_self-reported	16208	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	888ffce942eacd0a8a9b2ce97fc4bbe7
BIN_FC6006154	6154	Laxatives	16208	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	dff0f9499983b6394f8e481557810cf0
BIN_FC11006154	6154	Omeprazole_use_self-reported	34682	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	77ac5cdb414dd0788ea66dd4bea7d918
BIN_FC1006154	6154	Aspirin	72649	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	34a07b2ebd14e3224280030fc137d606
BIN_FC7006154	6154	Aspirin_use_self-reported	72649	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	149853e734fd672174510f01262707a2
BIN_FC2006154	6154	Ibuprofen_(e.g._Nurofen)	77351	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	c9ddc0afb721a1efa37c61ee865635d5
BIN_FC8006154	6154	Ibuprofen_use_self-reported	77351	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	80b4db81d2096e9721f85bff7685850e
BIN_FC9006154	6154	Paracetamol_use_self-reported	115757	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154	0cb1702291640b0480e7adaef80e2f58
BIN_FC1006155	6155	Vitamin_A_vs_no_supplement	10712	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	5b3b79f622398c4b8b5d8c4e981dfb80
BIN_FC13006155	6155	Vitamin_A	10712	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	d67c4af57e5f6a5ba8fd65bd27bb655d
BIN_FC7006155	6155	Vitamin_A_vs_multivitamin	10712	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	dedb8e53f47043d22d9bdc2268c53049
BIN_FC12006155	6155	Vitamin_B9_vs_multivitamin	12251	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	dc67d9016b1b0f0ac1c0fb489c6d3c75
BIN_FC18006155	6155	Folic_acid_or_folate_(Vitamin_B9)	12251	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	021b6783873f87bb5129e0bdb8b606bf
BIN_FC6006155	6155	Vitamin_B9_vs_no_supplement	12251	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	cac7a2f3609ae9c236c733be996102ed
BIN_FC11006155	6155	Vitamin_E_vs_multivitamin	15864	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	a9f2f225b33b98c03343c7e8e8a41575
BIN_FC17006155	6155	Vitamin_E	15864	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	d8fff73ac0d7d53a1f0fd3d009616de9
BIN_FC5006155	6155	Vitamin_E_vs_no_supplement	15864	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	1ac5bdae7696f2268073654251d16b88
BIN_FC14006155	6155	Vitamin_B	23882	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	42a916b77bd8f77f3af1bfa49c16c164
BIN_FC2006155	6155	Vitamin_B_vs_no_supplement	23882	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	5c1e8db92f3170258737912ccdada0c5
BIN_FC8006155	6155	Vitamin_B_vs_multivitamin	23882	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	6dd7911b23fd84ad8dce1321fbd70ee8
BIN_FC10006155	6155	Vitamin_D_vs_multivitamin	28097	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	277cff4ff824ce48560217f964fa240f
BIN_FC16006155	6155	Vitamin_D	28097	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	7a50329e9a2045b46e281e1d136e8443
BIN_FC4006155	6155	Vitamin_D_vs_no_supplement	28097	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	615270f81a1bbce3164eed886be7a1cf
BIN_FC15006155	6155	Vitamin_C	46477	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	0f50ea47172e5932894b07c3fd796d0c
BIN_FC3006155	6155	Vitamin_C_vs_no_supplement	46477	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	b891401772abb63ab39d2a579b709485
BIN_FC9006155	6155	Vitamin_C_vs_multivitamin	46477	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	cfa81a87bce42ac23ba03dccb1a1491f
BIN_FC19006155	6155	Multivitamins_+/-_minerals	114484	19	7	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155	927d718093753f8b8c672b0c36bfa86a
BIN_FC3006177	6177	Medication_for_diabetes_(male_only)	3475	6	3	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177	0bceddf69fa69b4134a8cb6151330008
BIN_FC6006177	6177	Insulin	3475	6	3	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177	1b8cc5a036d7596967fa50a93cc19688
BIN_FC1006177	6177	Medication_for_cholesterol_(male_only)	57184	6	3	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177	4476c776d476d35cfeb7d55054d8985f
BIN_FC4006177	6177	Cholesterol_lowering_medication	57184	6	3	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177	e0fed5382fc2ce0de5214534bb94529d
BIN_FC2006177	6177	Medication_for_blood_pressure_(male_only)	59926	6	3	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177	2318074bf7f58369edd19dc70ad9d5fa
BIN_FC5006177	6177	Blood_pressure_medication	59926	6	3	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6177	38a0533381580a71b6cfb6bc21dfb543
BIN_FC12006179	6179	Selenium_supplements	12535	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	03cef02ce345a05b1031588655720e19
BIN_FC6006179	6179	Selenium	12535	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	30628e97ee748530a908b88fa80d1952
BIN_FC11006179	6179	Iron_supplements	18267	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	a5f33ed98a3eb43b8fb61b54698106d8
BIN_FC10006179	6179	Zinc_supplements	22309	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	db19663ee2645b524d34e270915540b4
BIN_FC9006179	6179	Calcium_supplements	37696	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	dd62d99322938b362057d87a3bf79e06
BIN_FC2006179	6179	Glucosamine	97575	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	42c8212c1e91851a1160afd5911c7935
BIN_FC8006179	6179	Glucosamine_supplements	97575	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	1fb52980a850499f17ae52c357f63181
BIN_FC1006179	6179	Fish_oil_(including_cod_liver_oil)	160980	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	f3948bb4756e0b640161f523c557ecae
BIN_FC7006179	6179	Fish_oil_supplements	160980	9	6	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179	26e20d639870b95d72e525691cf20ac3
