Folder	Number	Name
qt	35	BBJ.EA.autosome.txt.gz
qt	36	BBJ.EA.chrX.txt.gz
qt	37	BBJ.EF.autosome.txt.gz
qt	38	BBJ.EF.chrX.txt.gz
qt	39	BBJ.Eosino.autosome.txt.gz
qt	40	BBJ.Eosino.chrX.txt.gz
qt	41	BBJ.FS.autosome.txt.gz
qt	42	BBJ.FS.chrX.txt.gz
qt	43	BBJ.Fbg.autosome.txt.gz
qt	44	BBJ.Fbg.chrX.txt.gz
qt	45	BBJ.GGT.autosome.txt.gz
qt	46	BBJ.GGT.chrX.txt.gz
qt	47	BBJ.HDL-C.autosome.txt.gz
qt	48	BBJ.HDL-C.chrX.txt.gz
qt	49	BBJ.Hb.autosome.txt.gz
qt	50	BBJ.Hb.chrX.txt.gz
qt	51	BBJ.HbA1c.autosome.txt.gz
qt	52	BBJ.HbA1c.chrX.txt.gz
qt	53	BBJ.Ht.autosome.txt.gz
qt	54	BBJ.Ht.chrX.txt.gz
qt	55	BBJ.IVS.autosome.txt.gz
qt	56	BBJ.IVS.chrX.txt.gz
qt	57	BBJ.K.autosome.txt.gz
qt	58	BBJ.K.chrX.txt.gz
qt	59	BBJ.LDH.autosome.txt.gz
qt	60	BBJ.LDH.chrX.txt.gz
qt	61	BBJ.LDL-C.autosome.txt.gz
qt	62	BBJ.LDL-C.chrX.txt.gz
qt	63	BBJ.LVDd.autosome.txt.gz
qt	64	BBJ.LVDd.chrX.txt.gz
qt	65	BBJ.LVDs.autosome.txt.gz
qt	66	BBJ.LVDs.chrX.txt.gz
qt	67	BBJ.LVM.autosome.txt.gz
qt	68	BBJ.LVM.chrX.txt.gz
qt	69	BBJ.LVMI.autosome.txt.gz
qt	70	BBJ.LVMI.chrX.txt.gz
qt	71	BBJ.Lym.autosome.txt.gz
qt	72	BBJ.Lym.chrX.txt.gz
qt	73	BBJ.MAP.autosome.txt.gz
qt	74	BBJ.MAP.chrX.txt.gz
qt	75	BBJ.MCH.autosome.txt.gz
qt	76	BBJ.MCH.chrX.txt.gz
qt	77	BBJ.MCHC.autosome.txt.gz
qt	78	BBJ.MCHC.chrX.txt.gz
qt	79	BBJ.MCV.autosome.txt.gz
qt	80	BBJ.MCV.chrX.txt.gz
qt	81	BBJ.Mono.autosome.txt.gz
qt	82	BBJ.Mono.chrX.txt.gz
qt	83	BBJ.NAP.autosome.txt.gz
qt	84	BBJ.NAP.chrX.txt.gz
qt	85	BBJ.Na.autosome.txt.gz
qt	86	BBJ.Na.chrX.txt.gz
qt	87	BBJ.Neutro.autosome.txt.gz
qt	88	BBJ.Neutro.chrX.txt.gz
qt	89	BBJ.P.autosome.txt.gz
qt	90	BBJ.P.chrX.txt.gz
qt	91	BBJ.PP.autosome.txt.gz
qt	92	BBJ.PP.chrX.txt.gz
qt	93	BBJ.PT.autosome.txt.gz
qt	94	BBJ.PT.chrX.txt.gz
qt	95	BBJ.PW.autosome.txt.gz
qt	96	BBJ.PW.chrX.txt.gz
qt	97	BBJ.Plt.autosome.txt.gz
qt	98	BBJ.Plt.chrX.txt.gz
qt	99	BBJ.RBC.autosome.txt.gz
qt	100	BBJ.RBC.chrX.txt.gz
qt	101	BBJ.RWT.autosome.txt.gz
qt	102	BBJ.RWT.chrX.txt.gz
qt	103	BBJ.SBP.autosome.txt.gz
qt	104	BBJ.SBP.chrX.txt.gz
qt	105	BBJ.TBil.autosome.txt.gz
qt	106	BBJ.TBil.chrX.txt.gz
qt	107	BBJ.TC.autosome.txt.gz
qt	108	BBJ.TC.chrX.txt.gz
qt	109	BBJ.TG.autosome.txt.gz
qt	110	BBJ.TG.chrX.txt.gz
qt	111	BBJ.TP.autosome.txt.gz
qt	112	BBJ.TP.chrX.txt.gz
qt	113	BBJ.UA.autosome.txt.gz
qt	114	BBJ.UA.chrX.txt.gz
qt	115	BBJ.WBC.autosome.txt.gz
qt	116	BBJ.WBC.chrX.txt.gz
qt	117	BBJ.ZTT.autosome.txt.gz
qt	118	BBJ.ZTT.chrX.txt.gz
qt	119	BBJ.eGFR.autosome.txt.gz
qt	120	BBJ.eGFR.chrX.txt.gz
qt	121	BBJ.sCr.autosome.txt.gz
qt	122	BBJ.sCr.chrX.txt.gz
qt	123	BBJ.menarche.txt.gz
qt	124	BBJ.menopause.txt.gz
qt	125	BBJ.age_smoking_init.autosome.txt.gz
qt	126	BBJ.age_smoking_init.autosome.male.txt.gz
qt	127	BBJ.age_smoking_init.chrX.male.txt.gz
qt	128	BBJ.age_smoking_init.autosome.female.txt.gz
qt	129	BBJ.age_smoking_init.chrX.female.txt.gz
qt	130	BBJ.cigs_per_day.autosome.txt.gz
qt	131	BBJ.cigs_per_day.autosome.male.txt.gz
qt	132	BBJ.cigs_per_day.chrX.male.txt.gz
qt	133	BBJ.cigs_per_day.autosome.female.txt.gz
qt	134	BBJ.cigs_per_day.chrX.female.txt.gz
eqtl	1	BBJ.CD4+T.eqtl.txt.gz
eqtl	2	BBJ.CD8+.eqtl.txt.gz
eqtl	3	BBJ.B.eqtl.txt.gz
eqtl	4	BBJ.NK.eqtl.txt.gz
eqtl	5	BBJ.Mono.eqtl.txt.gz
eqtl	6	BBJ.peripheral_blood.eqtl.txt.gz
