#GBE_ID	GBE_NAME	FIELD	TABLE	BASKET	APP_ID	N	N_GBE	N_NBW	N_AFR	N_EAS	N_SAS	N_SMR	N_OTH	SOURCE	DATE	PATH
BIN100470	Decaffeinated_tea_always_(Diet,_24hr_recall,_Online_follow-up)	100470	37855	2005693	24983	5918	4325	221	67	9	59	471	339	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100470.phe
BIN100480	Added_milk_to_rooibos_tea_always_(Diet,_24hr_recall,_Online_follow-up)	100480	37855	2005693	24983	2476	1720	173	25	8	14	228	158	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100480.phe
BIN100510	Other_non-alcoholic_drinks	100510	37855	2005693	24983	19850	14076	1003	228	53	234	1707	1163	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100510.phe
BIN100580	Alcohol_consumed	100580	37855	2005693	24983	57834	41840	3175	349	79	347	4899	3149	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100580.phe
BIN100760	Breakfast_cereal_consumed	100760	37855	2005693	24983	68793	49549	3437	509	124	692	5861	3704	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100760.phe
BIN100880	Dried_fruit_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	100880	37855	2005693	24983	35971	26012	1951	195	74	326	2977	1952	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100880.phe
BIN100890	Milk_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	100890	37855	2005693	24983	59958	43394	2868	417	97	617	5090	3182	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100890.phe
BIN100940	Bread_consumed	100940	37855	2005693	24983	85597	60652	4733	764	182	1001	7243	4999	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100940.phe
BIN101300	Butter/margarine_on_bread/crackers	101300	37855	2005693	24983	70667	50722	3595	534	132	725	6019	3968	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN101300.phe
BIN1020483	Ever_attempted_suicide_missing_is_control	20483	37855	2005693	24983	1530	1059	100	12	3	14	125	110	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1020483.phe
BIN102080	Yogurt/ice-cream_consumers	102080	37855	2005693	24983	52582	37540	2934	357	94	540	4476	2939	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102080.phe
BIN102130	Dessert_consumers	102130	37855	2005693	24983	47771	34435	2427	333	107	411	4051	2615	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102130.phe
BIN102250	Sweet_snack_consumers	102250	37855	2005693	24983	64996	46284	3467	514	128	684	5515	3755	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102250.phe
BIN102400	Savoury_snack_consumers	102400	37855	2005693	24983	48160	33734	2752	432	140	662	4061	2994	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102400.phe
BIN102520	Soup_consumers	102520	37855	2005693	24983	25599	17994	1671	225	83	197	2075	1632	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102520.phe
BIN102700	Starchy_food_consumers	102700	37855	2005693	24983	42078	28806	2649	600	183	643	3399	2886	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102700.phe
BIN102800	Cheese_consumers	102800	37855	2005693	24983	56604	40450	3380	324	86	458	4651	3323	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102800.phe
BIN102930	Egg_consumers	102930	37855	2005693	24983	34210	24177	1972	305	109	382	2862	2068	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102930.phe
BIN103000	Meat_consumers	103000	37855	2005693	24983	75706	53862	4092	726	199	649	6415	4337	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN103000.phe
BIN103120	Fat_removed_from_meat_always_(Diet,_24hr_recall,_Online_follow-up)	103120	37855	2005693	24983	36255	26134	1800	284	91	249	3154	1897	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN103120.phe
BIN103130	Skin_removed_from_poultry_always_(Diet,_24hr_recall,_Online_follow-up)	103130	37855	2005693	24983	33775	24038	1788	300	84	365	2879	1915	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN103130.phe
BIN103140	Fish_consumer	103140	37855	2005693	24983	42954	30466	2429	413	133	394	3612	2624	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN103140.phe
BIN103990	Vegetable_consumers	103990	37855	2005693	24983	84808	59986	4696	749	206	1037	7174	4969	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN103990.phe
BIN104040	Butter/margarine_added_to_potatoes	104040	37855	2005693	24983	7207	5258	360	32	2	40	652	377	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN104040.phe
BIN104400	Fruit_consumers	104400	37855	2005693	24983	82004	57819	4622	779	205	1023	6953	4802	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN104400.phe
BIN104670	Vitamin_supplement_user	104670	37855	2005693	24983	45880	32352	2636	467	120	564	3882	2658	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN104670.phe
BIN1210	Snoring	1210	40831	2007183	24983	71952	49986	3405	857	173	1314	6622	4146	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2007183/40831/phe/BIN1210.phe
BIN12139	Believed_safe_to_perform_brain_MRI_scan	12139	40831	2007183	24983	407	285	20	0	1	1	50	21	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2007183/40831/phe/BIN12139.phe
BIN12188	Brain_MRI_measurement_completed	12188	40831	2007183	24983	20536	14753	891	99	43	185	1895	1104	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2007183/40831/phe/BIN12188.phe
BIN1518	Drinks_hot_drinks_or_not	1518	40831	2007183	24983	198312	136600	10341	2606	488	3458	17900	11678	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2007183/40831/phe/BIN1518.phe
BIN1618	Alcohol_usually_taken_with_meals	1618	40831	2007183	24983	76224	53642	4578	729	165	853	6549	4422	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2007183/40831/phe/BIN1618.phe
BIN1677	Breastfed_as_a_baby	1677	37855	2005693	24983	113649	76215	5997	2230	292	2827	10062	6990	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1677.phe
BIN19	Heel_ultrasound_method	19	37855	2005693	24983	98974	69757	4395	722	193	937	9541	5392	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN19.phe
BIN1920	Mood_swings	1920	37855	2005693	24983	91380	62620	4502	1308	174	1712	8403	5514	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1920.phe
BIN1930	Miserableness	1930	37855	2005693	24983	86703	59971	4346	970	145	1290	8021	5023	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1930.phe
BIN1940	Irritability	1940	37855	2005693	24983	56068	38742	3078	474	119	798	5170	3445	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1940.phe
BIN1950	Sensitivity_/_hurt_feelings	1950	37855	2005693	24983	110456	76496	5511	1106	200	2017	10123	6462	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1950.phe
BIN1960	Fed-up_feelings	1960	37855	2005693	24983	81915	56528	3976	1003	137	1287	7672	4830	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1960.phe
BIN1970	Nervous_feelings	1970	37855	2005693	24983	47716	33128	2582	438	105	812	4329	2665	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1970.phe
BIN1980	Worrier_/_anxious_feelings	1980	37855	2005693	24983	112616	78087	5921	1117	235	1883	10269	6533	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1980.phe
BIN1990	Tense_/_'highly_strung'	1990	37855	2005693	24983	35627	23954	2191	421	101	775	3191	2396	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1990.phe
BIN2000	Worry_too_long_after_embarrassment	2000	37855	2005693	24983	95483	66082	4921	1083	185	1640	8688	5478	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN2000.phe
BIN2010	Suffer_from_'nerves'	2010	37855	2005693	24983	42413	29664	2077	370	93	695	3893	2371	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN2010.phe
BIN20123	Single_episode_of_probable_major_depression	20123	37855	2005693	24983	4818	3393	241	63	5	48	413	272	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20123.phe
BIN20124	Probable_recurrent_major_depression_(moderate)	20124	37855	2005693	24983	7612	5331	414	98	8	100	648	438	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20124.phe
BIN20125	Probable_recurrent_major_depression_(severe)	20125	37855	2005693	24983	4640	3116	328	60	8	105	381	338	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20125.phe
BIN2020	Loneliness,_isolation	2020	37855	2005693	24983	37981	25135	2231	716	75	910	3358	2575	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN2020.phe
BIN2030	Guilty_feelings	2030	37855	2005693	24983	59154	40136	3227	778	115	1116	5459	3666	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN2030.phe
BIN2040	Risk_taking	2040	37855	2005693	24983	53956	35161	3743	1108	126	1273	4667	3914	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN2040.phe
BIN20401	Ever_addicted_to_any_substance_or_behaviour	20401	37855	2005693	24983	3886	2706	313	16	6	23	319	252	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20401.phe
BIN20404	Ever_physically_dependent_on_alcohol	20404	37855	2005693	24983	375	268	30	2	0	3	33	23	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20404.phe
BIN20406	Ever_addicted_to_alcohol	20406	37855	2005693	24983	1463	1061	117	6	1	6	113	80	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20406.phe
BIN20415	Ongoing_addiction_to_alcohol	20415	37855	2005693	24983	635	464	52	2	0	2	46	26	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20415.phe
BIN20417	Tense,_sore,_or_aching_muscles_during_worst_period_of_anxiety	20417	37855	2005693	24983	7491	5187	460	50	19	75	683	466	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20417.phe
BIN20419	Difficulty_concentrating_during_worst_period_of_anxiety	20419	37855	2005693	24983	15069	10701	864	65	18	106	1341	889	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20419.phe
BIN20421	Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer	20421	37855	2005693	24983	16727	11898	983	65	28	91	1502	984	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20421.phe
BIN20422	More_irritable_than_usual_during_worst_period_of_anxiety	20422	37855	2005693	24983	13620	9686	770	54	21	94	1216	787	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20422.phe
BIN20423	Keyed_up_or_on_edge_during_worst_period_of_anxiety	20423	37855	2005693	24983	15601	11247	812	43	15	84	1406	901	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20423.phe
BIN20425	Ever_worried_more_than_most_people_would_in_similar_situation	20425	37855	2005693	24983	14788	10470	841	68	25	120	1290	908	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20425.phe
BIN20426	Restless_during_period_of_worst_anxiety	20426	37855	2005693	24983	11619	8224	643	54	17	84	1073	678	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20426.phe
BIN20427	Frequent_trouble_falling_or_staying_asleep_during_worst_period_of_anxiety	20427	37855	2005693	24983	16535	11753	965	75	23	101	1474	960	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20427.phe
BIN20428	Professional_informed_about_anxiety	20428	37855	2005693	24983	12662	9040	749	49	13	68	1106	747	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20428.phe
BIN20429	Easily_tired_during_worst_period_of_anxiety	20429	37855	2005693	24983	14059	10004	807	60	18	105	1268	828	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20429.phe
BIN20431	Ever_addicted_to_a_behaviour_or_miscellanous	20431	37855	2005693	24983	934	640	75	8	2	10	65	78	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20431.phe
BIN20432	Ongoing_behavioural_or_miscellanous_addiction	20432	37855	2005693	24983	431	298	35	2	0	5	26	40	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20432.phe
BIN20435	Difficulty_concentrating_during_worst_depression	20435	37855	2005693	24983	26474	18835	1468	132	41	186	2335	1531	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20435.phe
BIN20437	Thoughts_of_death_during_worst_depression	20437	37855	2005693	24983	18536	13168	1080	97	29	130	1636	1051	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20437.phe
BIN20441	Ever_had_prolonged_loss_of_interest_in_normal_activities	20441	37855	2005693	24983	26505	18789	1478	143	34	201	2300	1564	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20441.phe
BIN20445	Depression_possibly_related_to_childbirth	20445	37855	2005693	24983	2789	1985	150	20	2	18	255	144	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20445.phe
BIN20446	Ever_had_prolonged_feelings_of_sadness_or_depression	20446	37855	2005693	24983	36730	26111	2071	191	63	256	3215	2141	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20446.phe
BIN20447	Depression_possibly_related_to_stressful_or_traumatic_event	20447	37855	2005693	24983	27813	19779	1551	158	42	201	2467	1592	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20447.phe
BIN20448	Professional_informed_about_depression	20448	37855	2005693	24983	24439	17415	1399	111	31	126	2153	1420	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20448.phe
BIN20449	Feelings_of_tiredness_during_worst_episode_of_depression	20449	37855	2005693	24983	28011	19889	1608	143	44	200	2453	1605	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20449.phe
BIN20450	Feelings_of_worthlessness_during_worst_period_of_depression	20450	37855	2005693	24983	18219	12837	1089	87	30	147	1587	1126	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20450.phe
BIN20456	Ever_addicted_to_illicit_or_recreational_drugs	20456	37855	2005693	24983	339	207	43	5	0	4	20	42	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20456.phe
BIN20457	Ongoing_addiction_or_dependence_on_illicit_or_recreational_drugs	20457	37855	2005693	24983	54	25	8	1	0	1	5	12	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20457.phe
BIN20463	Ever_heard_an_un-real_voice	20463	37855	2005693	24983	1165	766	89	9	3	6	118	92	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20463.phe
BIN20466	Ever_prescribed_a_medication_for_unusual_or_psychotic_experiences	20466	37855	2005693	24983	373	240	36	4	0	2	39	26	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20466.phe
BIN20468	Ever_believed_in_an_un-real_conspiracy_against_self	20468	37855	2005693	24983	522	357	36	6	2	8	44	34	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20468.phe
BIN20471	Ever_seen_an_un-real_vision	20471	37855	2005693	24983	2138	1503	134	11	3	7	183	156	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20471.phe
BIN20474	Ever_believed_in_un-real_communications_or_signs	20474	37855	2005693	24983	476	324	34	4	2	2	38	42	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20474.phe
BIN20477	Ever_talked_to_a_health_professional_about_unusual_or_psychotic_experiences	20477	37855	2005693	24983	705	477	56	8	1	3	72	48	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20477.phe
BIN20480	Ever_self-harmed	20480	37855	2005693	24983	2950	2031	212	15	4	28	250	213	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20480.phe
BIN20481	Self-harmed_in_past_year	20481	37855	2005693	24983	238	158	22	0	0	3	19	19	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20481.phe
BIN20483	Ever_attempted_suicide	20483	37855	2005693	24983	1530	1059	100	12	3	14	125	110	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20483.phe
BIN20484	Attempted_suicide_in_past_year	20484	37855	2005693	24983	41	25	2	0	0	1	9	3	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20484.phe
BIN20486	Contemplated_self-harm_in_past_year	20486	37855	2005693	24983	1938	1377	109	12	3	16	158	114	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20486.phe
BIN20496	Mania_needed_treatment_or_caused_problems_with_work,_relationships,_finances,_the_law,_or_other_aspects_of_life	20496	37855	2005693	24983	8767	6179	501	60	19	79	753	559	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20496.phe
BIN20499	Ever_sought_or_received_professional_help_for_mental_distress	20499	37855	2005693	24983	26378	18710	1541	120	36	157	2303	1604	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20499.phe
BIN20500	Ever_suffered_mental_distress_preventing_usual_activities	20500	37855	2005693	24983	22148	15606	1279	97	27	160	1992	1340	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20500.phe
BIN20501	Ever_had_period_of_mania_/_excitability	20501	37855	2005693	24983	2852	1930	198	29	10	37	246	207	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20501.phe
BIN20502	Ever_had_period_extreme_irritability	20502	37855	2005693	24983	17123	11915	1036	90	40	151	1522	1073	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN20502.phe
BIN20503	Ever_addicted_to_prescription_or_over-the-counter_medication	20503	24613	10483	24983	532	376	30	1	2	4	52	40	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/10483/24613/phe/BIN20503.phe
