GBE_category	GBE_ID	GBE_N_EXOME	GBE_NAME	GBE_short_name	GBE_short_name_len
BIN	BIN23054	364	CMV_seropositivity_for_Human_Cytomegalovirus	CMV seropositivity for Human Cytomegalovirus	44
BIN	BIN23055	579	HHV-6_overall_seropositivity_for_Human_Herpesvirus-6	HHV-6 overall seropositivity for Human Herpesvirus-6	52
BIN	BIN23056	499	HHV-6A_seropositivity_for_Human_Herpesvirus-6	HHV-6A seropositivity for Human Herpesvirus-6	45
BIN	BIN23057	496	HHV-6B_seropositivity_for_Human_Herpesvirus-6	HHV-6B seropositivity for Human Herpesvirus-6	45
BIN	BIN23058	608	HHV-7_seropositivity_for_Human_Herpesvirus-7	HHV-7 seropositivity for Human Herpesvirus-7	44
BIN	BIN23059	53	KSHV_seropositivity_for_Kaposi's_Sarcoma-Associated_Herpesvirus	KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus	63
BIN	BIN23060	9	HBV_seropositivity_for_Hepatitis_B_Virus	HBV seropositivity for Hepatitis B Virus	40
BIN	BIN23061	1	HCV_seropositivity_for_Hepatitis_C_Virus	HCV seropositivity for Hepatitis C Virus	40
BIN	BIN23062	182	T._gondii_seropositivity_for_Toxoplasma_gondii	T. gondii seropositivity for Toxoplasma gondii	46
BIN	BIN23063	13	HTLV-1_seropositivity_for_Human_T-Lymphotropic_Virus_1	HTLV-1 seropositivity for Human T-Lymphotropic Virus 1	54
BIN	BIN23064	0	HIV-1_seropositivity_for_Human_Immunodeficiency_Virus	HIV-1 seropositivity for Human Immunodeficiency Virus	53
BIN	BIN23065	612	BKV_seropositivity_for_Human_Polyomavirus_BKV	BKV seropositivity for Human Polyomavirus BKV	45
BIN	BIN23066	383	JCV_seropositivity_for_Human_Polyomavirus_JCV	JCV seropositivity for Human Polyomavirus JCV	45
BIN	BIN23067	451	MCV_seropositivity_for_Merkel_Cell_Polyomavirus	MCV seropositivity for Merkel Cell Polyomavirus	47
BIN	BIN23068	28	HPV_16_Definition_I_seropositivity_for_Human_Papillomavirus_type-16	HPV 16 Definition I seropositivity for Human Papillomavirus type-16	67
BIN	BIN23069	12	HPV_18_seropositivity_for_Human_Papillomavirus_type-18	HPV 18 seropositivity for Human Papillomavirus type-18	54
BIN	BIN23070	120	C._trachomatis_Definition_I_seropositivity_for_Chlamydia_trachomatis	C. trachomatis Definition I seropositivity for Chlamydia trachomatis	68
BIN	BIN23071	22	C._trachomatis_Definition_II_seropositivity_for_Chlamydia_trachomatis	C. trachomatis Definition II seropositivity for Chlamydia trachomatis	69
BIN	BIN23073	110	H._pylori_Definition_I_seropositivity_for_Helicobacter_pylori	H. pylori Definition I seropositivity for Helicobacter pylori	61
BIN	BIN23074	182	H._pylori_Definition_II_seropositivity_for_Helicobacter_pylori	H. pylori Definition II seropositivity for Helicobacter pylori	62
BIN	BIN23075	38	HPV_16_Definition_II_seropositivity_for_Human_Papillomavirus_type-16	HPV 16 Definition II seropositivity for Human Papillomavirus type-16	68
BIN	BIN2316	34395	Wheeze_or_whistling_in_the_chest_in_last_year	Wheeze or whistling in the chest in last year	45
BIN	BIN2335	34395	Chest_pain_or_discomfort	Chest pain or discomfort	24
BIN	BIN2415	10379	Had_major_operations	Had major operations	20
BIN	BIN2443	1879	Diabetes_diagnosed_by_doctor	Diabetes diagnosed by doctor	28
BIN	BIN2453	3354	Cancer_diagnosed_by_doctor	Cancer diagnosed by doctor	26
BIN	BIN2463	3912	Fractured/broken_bones_in_last_5_years	Fractured/broken bones in last 5 years	38
BIN	BIN2473	8029	Other_serious_medical_condition/disability_diagnosed_by_doctor	Other serious medical condition/disability diagnosed by doctor	62
BIN	BIN2774	6002	Ever_had_stillbirth,_spontaneous_miscarriage_or_termination	Ever had stillbirth, spontaneous miscarriage or termination	59
BIN	BIN2814	7496	Ever_used_hormone-replacement_therapy_(HRT)	Ever used hormone-replacement therapy (HRT)	43
BIN	BIN3081	6355	Foot_measured_for_bone_density	Foot measured for bone density	30
BIN	BIN3393	1407	Hearing_aid_user	Hearing aid user	16
BIN	BIN3404	5937	Neck/shoulder_pain_for_3+_months	Neck/shoulder pain for 3+ months	32
BIN	BIN3414	3538	Hip_pain_for_3+_months	Hip pain for 3+ months	22
BIN	BIN3571	6576	Back_pain_for_3+_months	Back pain for 3+ months	23
BIN	BIN3591	1500	Ever_had_hysterectomy_(womb_removed)	Ever had hysterectomy (womb removed)	36
BIN	BIN3606	999	Chest_pain_or_discomfort_walking_normally	Chest pain or discomfort walking normally	41
BIN	BIN3616	1852	Chest_pain_due_to_walking_ceases_when_standing_still	Chest pain due to walking ceases when standing still	52
BIN	BIN3741	1602	Stomach/abdominal_pain_for_3+_months	Stomach/abdominal pain for 3+ months	36
BIN	BIN3773	6772	Knee_pain_for_3+_months	Knee pain for 3+ months	23
BIN	BIN3799	3311	Headaches_for_3+_months	Headaches for 3+ months	23
BIN	BIN4041	84	Gestational_diabetes_only	Gestational diabetes only	25
BIN	BIN4067	331	Facial_pains_for_3+_months	Facial pains for 3+ months	26
BIN	BIN4092	32184	Heel_ultrasound_method_(left)	Heel ultrasound method (L)	26
BIN	BIN4093	83	Fractured_heel_(left)	Fractured heel (L)	18
BIN	BIN4095	32240	Heel_ultrasound_method_(right)	Heel ultrasound method (R)	26
BIN	BIN4096	108	Fractured_heel_(right)	Fractured heel (R)	18
BIN	BIN4598	18588	Ever_depressed_for_a_whole_week	Ever depressed for a whole week	31
BIN	BIN4631	12676	Ever_unenthusiastic/disinterested_for_a_whole_week	Ever unenthusiastic/disinterested for a whole week	50
BIN	BIN4642	1781	Ever_manic/hyper_for_2_days	Ever manic/hyper for 2 days	27
BIN	BIN4653	5994	Ever_highly_irritable/argumentative_for_2_days	Ever highly irritable/argumentative for 2 days	46
BIN	BIN4728	7772	Leg_pain_on_walking	Leg pain on walking	19
BIN	BIN4792	6	Cochlear_implant	Cochlear implant	16
BIN	BIN5181	2491	Ever_had_eye_surgery	Ever had eye surgery	20
BIN	BIN5324	692	Ever_had_cataract_surgery	Ever had cataract surgery	25
BIN	BIN5325	694	Ever_had_refractive_laser_eye_surgery	Ever had refractive laser eye surgery	37
BIN	BIN5326	44	Ever_had_surgery_for_glaucoma_or_high_eye_pressure	Ever had surgery for glaucoma or high eye pressure	50
BIN	BIN5327	75	Ever_had_laser_treatment_for_glaucoma_or_high_eye_pressure	Ever had laser treatment for glaucoma or high eye pressure	58
BIN	BIN5328	41	Ever_had_corneal_graft_surgery	Ever had corneal graft surgery	30
BIN	BIN5452	4689	Leg_pain_when_standing_still_or_sitting	Leg pain when standing still or sitting	39
BIN	BIN5463	2400	Leg_pain_in_calf/calves	Leg pain in calf/calves	23
BIN	BIN5474	5043	Leg_pain_when_walking_uphill_or_hurrying	Leg pain when walking uphill or hurrying	40
BIN	BIN5485	4310	Leg_pain_when_walking_normally	Leg pain when walking normally	30
BIN	BIN5496	1597	Leg_pain_when_walking_ever_disappears_while_walking	Leg pain when walking ever disappears while walking	51
BIN	BIN5529	252	Surgery_on_leg_arteries_(other_than_for_varicose_veins)	Surgery on leg arteries (other than for varicose veins)	55
BIN	BIN806	5961	Job_involves_mainly_walking_or_standing	Job involves mainly walking or standing	39
BIN	BIN816	2287	Job_involves_heavy_manual_or_physical_work	Job involves heavy manual or physical work	42
BIN	BIN826	1620	Job_involves_shift_work	Job involves shift work	23
BIN_FC	BIN_FC10001259	3279	Smoking/smokers_in_household	Smoking/smokers in household	28
BIN_FC	BIN_FC10001677	19993	Breastfed_as_a_baby	Breastfed as a baby	19
BIN_FC	BIN_FC10001767	455	Adopted_as_a_child	Adopted as a child	18
BIN_FC	BIN_FC10001777	745	Part_of_a_multiple_birth	Part of a multiple birth	24
BIN_FC	BIN_FC10001787	9359	Maternal_smoking_around_birth	Maternal smoking around birth	29
BIN_FC	BIN_FC10001797	7996	Father_still_alive	Father still alive	18
BIN_FC	BIN_FC10001835	13728	Mother_still_alive	Mother still alive	18
BIN_FC	BIN_FC10001920	16151	Mood_swings	Mood swings	11
BIN_FC	BIN_FC10001930	15670	Miserableness	Miserableness	13
BIN_FC	BIN_FC10001940	10416	Irritability	Irritability	12
BIN_FC	BIN_FC10001950	19822	Sensitivity_/_hurt_feelings	Sensitivity / hurt feelings	27
BIN_FC	BIN_FC10001960	14667	Fed-up_feelings	Fed-up feelings	15
BIN_FC	BIN_FC10001970	8534	Nervous_feelings	Nervous feelings	16
BIN_FC	BIN_FC10001980	19867	Worrier_/_anxious_feelings	Worrier / anxious feelings	26
BIN_FC	BIN_FC10001990	6396	Tense_/_'highly_strung'	Tense / 'highly strung'	23
BIN_FC	BIN_FC10002000	17463	Worry_too_long_after_embarrassment	Worry too long after embarrassment	34
BIN_FC	BIN_FC10002010	7922	Suffer_from_'nerves'	Suffer from 'nerves'	20
BIN_FC	BIN_FC10002020	6613	Loneliness,_isolation	Loneliness, isolation	21
BIN_FC	BIN_FC10002030	10806	Guilty_feelings	Guilty feelings	15
BIN_FC	BIN_FC10002040	9596	Risk_taking	Risk taking	11
BIN_FC	BIN_FC100020544	51	Bulimia_nervosa_diagnosed_by__a_professional	Bulimia nervosa diagnosed by  a professional	44
BIN_FC	BIN_FC10002090	12898	Seen_doctor_(GP)_for_nerves,_anxiety,_tension_or_depression	Seen doctor (GP) for nerves, anxiety, tension or depression	59
BIN_FC	BIN_FC10002100	4366	Seen_a_psychiatrist_for_nerves,_anxiety,_tension_or_depression	Seen a psychiatrist for nerves, anxiety, tension or depression	62
BIN_FC	BIN_FC10002159	1282	Ever_had_same-sex_intercourse	Ever had same-sex intercourse	29
BIN_FC	BIN_FC10002188	12653	Long-standing_illness,_disability_or_infirmity	Long-standing illness, disability or infirmity	46
BIN_FC	BIN_FC10002207	31740	Wears_glasses_or_contact_lenses	Wears glasses or contact lenses	31
BIN_FC	BIN_FC10002227	6737	Other_eye_problems	Other eye problems	18
BIN_FC	BIN_FC10002257	14410	Hearing_difficulty/problems_with_background_noise	Hearing problems with background noise	38
BIN_FC	BIN_FC10002316	8289	Wheeze_or_whistling_in_the_chest_in_last_year	Wheeze or whistling in the chest in last year	45
BIN_FC	BIN_FC10002335	6217	Chest_pain_or_discomfort	Chest pain or discomfort	24
BIN_FC	BIN_FC10002345	18293	Ever_had_bowel_cancer_screening	Ever had bowel cancer screening	31
BIN_FC	BIN_FC10002365	6192	Ever_had_prostate_specific_antigen_(PSA)_test	Ever had prostate specific antigen (PSA) test	45
BIN_FC	BIN_FC10002415	10379	Had_major_operations	Had major operations	20
BIN_FC	BIN_FC10002443	1898	Diabetes_diagnosed_by_doctor	Diabetes diagnosed by doctor	28
BIN_FC	BIN_FC10002453	3403	Cancer_diagnosed_by_doctor	Cancer diagnosed by doctor	26
BIN_FC	BIN_FC10002463	3977	Fractured/broken_bones_in_last_5_years	Fractured/broken bones in last 5 years	38
BIN_FC	BIN_FC10002473	8091	Other_serious_medical_condition/disability_diagnosed_by_doctor	Other serious medical condition/disability diagnosed by doctor	62
BIN_FC	BIN_FC10002492	18365	Taking_other_prescription_medications	Taking other prescription medications	37
BIN_FC	BIN_FC10002644	4940	Light_smokers,_at_least_100_smokes_in_lifetime	Light smokers, at least 100 smokes in lifetime	46
BIN_FC	BIN_FC10002674	15852	Ever_had_breast_cancer_screening_/_mammogram	Ever had breast cancer screening / mammogram	44
BIN_FC	BIN_FC10002694	18154	Ever_had_cervical_smear_test	Ever had cervical smear test	28
BIN_FC	BIN_FC10002774	6008	Ever_had_stillbirth,_spontaneous_miscarriage_or_termination	Ever had stillbirth, spontaneous miscarriage or termination	59
BIN_FC	BIN_FC10002784	15597	Ever_taken_oral_contraceptive_pill	Ever taken oral contraceptive pill	34
BIN_FC	BIN_FC10002814	7524	Ever_used_hormone-replacement_therapy_(HRT)	Ever used hormone-replacement therapy (HRT)	43
BIN_FC	BIN_FC10002834	1703	Bilateral_oophorectomy_(both_ovaries_removed)	Bilateral oophorectomy (both ovaries removed)	45
BIN_FC	BIN_FC10002844	12539	Had_other_major_operations	Had other major operations	26
BIN_FC	BIN_FC10002907	3971	Ever_stopped_smoking_for_6+_months	Ever stopped smoking for 6+ months	34
BIN_FC	BIN_FC10002956	417	General_pain_for_3+_months	General pain for 3+ months	26
BIN_FC	BIN_FC10002986	178	Started_insulin_within_one_year_diagnosis_of_diabetes	Started insulin within one year diagnosis of diabetes	53
BIN_FC	BIN_FC10003005	2380	Fracture_resulting_from_simple_fall	Fracture resulting from simple fall	35
BIN_FC	BIN_FC10003082	0	Fractured_heel	Fractured heel	14
BIN_FC	BIN_FC10003393	1465	Hearing_aid_user	Hearing aid user	16
BIN_FC	BIN_FC10003404	6015	Neck/shoulder_pain_for_3+_months	Neck/shoulder pain for 3+ months	32
BIN_FC	BIN_FC10003414	3593	Hip_pain_for_3+_months	Hip pain for 3+ months	22
BIN_FC	BIN_FC10003486	1802	Ever_tried_to_stop_smoking	Ever tried to stop smoking	26
BIN_FC	BIN_FC10003571	6648	Back_pain_for_3+_months	Back pain for 3+ months	23
BIN_FC	BIN_FC10003591	1524	Ever_had_hysterectomy_(womb_removed)	Ever had hysterectomy (womb removed)	36
BIN_FC	BIN_FC10003616	1852	Chest_pain_due_to_walking_ceases_when_standing_still	Chest pain due to walking ceases when standing still	52
BIN_FC	BIN_FC10003720	858	Menstruating_today	Menstruating today	18
BIN_FC	BIN_FC10003731	1311	Former_alcohol_drinker	Former alcohol drinker	22
BIN_FC	BIN_FC10003741	1635	Stomach/abdominal_pain_for_3+_months	Stomach/abdominal pain for 3+ months	36
BIN_FC	BIN_FC10003773	6864	Knee_pain_for_3+_months	Knee pain for 3+ months	23
BIN_FC	BIN_FC10003799	3339	Headaches_for_3+_months	Headaches for 3+ months	23
BIN_FC	BIN_FC10003912	61	Adopted_father_still_alive	Adopted father still alive	26
BIN_FC	BIN_FC10003942	97	Adopted_mother_still_alive	Adopted mother still alive	26
BIN_FC	BIN_FC10004041	84	Gestational_diabetes_only	Gestational diabetes only	25
BIN_FC	BIN_FC10004067	335	Facial_pains_for_3+_months	Facial pains for 3+ months	26
BIN_FC	BIN_FC10004501	9318	Non-accidental_death_in_close_genetic_family	Non-accidental death in close genetic family	44
BIN_FC	BIN_FC10004598	18588	Ever_depressed_for_a_whole_week	Ever depressed for a whole week	31
BIN_FC	BIN_FC10004631	12676	Ever_unenthusiastic/disinterested_for_a_whole_week	Ever unenthusiastic/disinterested for a whole week	50
BIN_FC	BIN_FC10004642	1781	Ever_manic/hyper_for_2_days	Ever manic/hyper for 2 days	27
BIN_FC	BIN_FC10004653	5994	Ever_highly_irritable/argumentative_for_2_days	Ever highly irritable/argumentative for 2 days	46
BIN_FC	BIN_FC10004717	3556	Shortness_of_breath_walking_on_level_ground	Shortness of breath walking on level ground	43
BIN_FC	BIN_FC10004728	7772	Leg_pain_on_walking	Leg pain on walking	19
BIN_FC	BIN_FC10004792	6	Cochlear_implant	Cochlear implant	16
BIN_FC	BIN_FC10005452	4689	Leg_pain_when_standing_still_or_sitting	Leg pain when standing still or sitting	39
BIN_FC	BIN_FC10005463	2400	Leg_pain_in_calf/calves	Leg pain in calf/calves	23
BIN_FC	BIN_FC10005474	5043	Leg_pain_when_walking_uphill_or_hurrying	Leg pain when walking uphill or hurrying	40
BIN_FC	BIN_FC10005485	4310	Leg_pain_when_walking_normally	Leg pain when walking normally	30
BIN_FC	BIN_FC10005496	1597	Leg_pain_when_walking_ever_disappears_while_walking	Leg pain when walking ever disappears while walking	51
BIN_FC	BIN_FC10005529	252	Surgery_on_leg_arteries_(other_than_for_varicose_veins)	Surgery on leg arteries (other than for varicose veins)	55
BIN_FC	BIN_FC10005959	119	Previously_smoked_cigarettes_on_most/all_days	Previously smoked cigarettes on most/all days	45
BIN_FC	BIN_FC10006152	9261	Hayfever_allergic_rhinitis_or_eczema	Hayfever allergic rhinitis or eczema	36
BIN_FC	BIN_FC10006153	488	Oral_contraceptive_pill_or_minipill	Oral contraceptive pill or minipill	35
BIN_FC	BIN_FC10006154	796	Ranitidine_use_self-reported	Ranitidine use self-reported	28
BIN_FC	BIN_FC10006155	2453	Vitamin_D_vs_multivitamin	Vitamin D vs multivitamin	25
BIN_FC	BIN_FC10006157	1104	Why_stopped_smoking_Illness	Why stopped smoking Illness	27
BIN_FC	BIN_FC10006179	1678	Zinc_supplements	Zinc supplements	16
BIN_FC	BIN_FC10010016	5	Regular_use_of_hands-free_device/speakerphone_with_mobile_phone_(pilot)	Regular use of hands-free device/speakerphone with mobile phone (pilot)	71
