GBE_category	GBE_ID	GBE_N	GBE_NAME	GBE_short_name	GBE_short_name_len	Units_of_measurement
BIN	BIN20437	30310	Thoughts_of_death_during_worst_depression	Thoughts of death during worst depression	41	
BIN	BIN20441	43082	Ever_had_prolonged_loss_of_interest_in_normal_activities	Ever had prolonged loss of interest in normal activities	56	
BIN	BIN20445	4516	Depression_possibly_related_to_childbirth	Depression possibly related to childbirth	41	
BIN	BIN20446	59969	Ever_had_prolonged_feelings_of_sadness_or_depression	Ever had prolonged feelings of sadness or depression	52	
BIN	BIN20447	45222	Depression_possibly_related_to_stressful_or_traumatic_event	Depression possibly related to stressful or traumatic event	59	
BIN	BIN20448	39803	Professional_informed_about_depression	Professional informed about depression	38	
BIN	BIN20449	45511	Feelings_of_tiredness_during_worst_episode_of_depression	Feelings of tiredness during worst episode of depression	56	
BIN	BIN20450	29285	Feelings_of_worthlessness_during_worst_period_of_depression	Feelings of worthlessness during worst period of depression	59	
BIN	BIN20456	449	Ever_addicted_to_illicit_or_recreational_drugs	Ever addicted to illicit or recreational drugs	46	
BIN	BIN20457	65	Ongoing_addiction_or_dependence_on_illicit_or_recreational_drugs	Ongoing addiction or dependence on illicit or recreational drugs	64	
BIN	BIN20463	1832	Ever_heard_an_un-real_voice	Ever heard an un-real voice	27	
BIN	BIN20466	588	Ever_prescribed_a_medication_for_unusual_or_psychotic_experiences	Ever prescribed a medication for unusual or psychotic experiences	65	
BIN	BIN20468	850	Ever_believed_in_an_un-real_conspiracy_against_self	Ever believed in an un-real conspiracy against self	51	
BIN	BIN20471	3478	Ever_seen_an_un-real_vision	Ever seen an un-real vision	27	
BIN	BIN20474	757	Ever_believed_in_un-real_communications_or_signs	Ever believed in un-real communications or signs	48	
BIN	BIN20477	1124	Ever_talked_to_a_health_professional_about_unusual_or_psychotic_experiences	Ever talked to a health professional about unusual or psychotic experiences	75	
BIN	BIN20480	4656	Ever_self-harmed	Ever self-harmed	16	
BIN	BIN20481	394	Self-harmed_in_past_year	Self-harmed in past year	24	
BIN	BIN20483	2433	Ever_attempted_suicide	Ever attempted suicide	22	
BIN	BIN20484	65	Attempted_suicide_in_past_year	Attempted suicide in past year	30	
BIN	BIN20486	3168	Contemplated_self-harm_in_past_year	Contemplated self-harm in past year	35	
BIN	BIN20496	14123	Mania_needed_treatment_or_caused_problems_with_work,_relationships,_finances,_the_law,_or_other_aspects_of_life	Mania needed treatment or caused problems with work, relationships, finances, the law, or other aspects of life	111	
BIN	BIN20499	42759	Ever_sought_or_received_professional_help_for_mental_distress	Ever sought or received professional help for mental distress	61	
BIN	BIN20500	35910	Ever_suffered_mental_distress_preventing_usual_activities	Ever suffered mental distress preventing usual activities	57	
BIN	BIN20501	4422	Ever_had_period_of_mania_/_excitability	Ever had period of mania / excitability	39	
BIN	BIN20502	27566	Ever_had_period_extreme_irritability	Ever had period extreme irritability	36	
BIN	BIN20503	920	Ever_addicted_to_prescription_or_over-the-counter_medication	Ever addicted to prescription or over-the-counter medication	60	
BIN	BIN20504	390	Ongoing_addiction_or_dependence_to_over-the-counter_medication	Ongoing addiction or dependence to over-the-counter medication	62	
BIN	BIN20532	42435	Did_your_sleep_change?	Did your sleep change?	22	
BIN	BIN20533	32132	Trouble_falling_asleep	Trouble falling asleep	22	
BIN	BIN20534	8605	Sleeping_too_much	Sleeping too much	17	
BIN	BIN20535	32162	Waking_too_early	Waking too early	16	
BIN	BIN20538	28952	Worried_most_days_during_period_of_worst_anxiety	Worried most days during period of worst anxiety	48	
BIN	BIN20540	24467	Multiple_worries_during_worst_period_of_anxiety	Multiple worries during worst period of anxiety	47	
BIN	BIN20541	31143	Difficulty_stopping_worrying_during_worst_period_of_anxiety	Difficulty stopping worrying during worst period of anxiety	59	
BIN	BIN20542	19236	Stronger_worrying_(than_other_people)_during_period_of_worst_anxiety	Stronger worrying (than other people) during period of worst anxiety	68	
BIN	BIN2090	117686	Seen_doctor_(GP)_for_nerves,_anxiety,_tension_or_depression	Seen doctor (GP) for nerves, anxiety, tension or depression	59	
BIN	BIN2100	39144	Seen_a_psychiatrist_for_nerves,_anxiety,_tension_or_depression	Seen a psychiatrist for nerves, anxiety, tension or depression	62	
BIN	BIN21024	14944	Ever_diagnosed_with_IBS	Ever diagnosed with IBS	23	
BIN	BIN21026	721	Discomfort/pain_occurring_only_during_menstrual_bleed	Discomfort/pain occurring only during menstrual bleed	53	
BIN	BIN21027	34102	Abdominal_discomfort/pain_for_6_months_or_longer	Abdominal discomfort/pain for 6 months or longer	48	
BIN	BIN21035	35331	Currently_(in_last_3_months)_suffer_from_abdominal_pain	Currently (in last 3 months) suffer from abdominal pain	55	
BIN	BIN21038	28116	Currently_suffer_from_abdominal_distension	Currently suffer from abdominal distension	42	
BIN	BIN21062	27406	Ever_been_offered/sought_treatment_for_anxiety	Ever been offered/sought treatment for anxiety	46	
BIN	BIN21063	29535	Ever_been_offered/sought_treatment_for_depression	Ever been offered/sought treatment for depression	49	
BIN	BIN21064	25500	Sensitive_stomach	Sensitive stomach	17	
BIN	BIN21065	17139	Family_history_of_IBS	Family history of IBS	21	
BIN	BIN21066	3162	Born_by_caesarian_section	Born by caesarian section	25	
BIN	BIN21067	15835	Long-term/recurrent_antibiotics_as_child_or_teenager	Long-term/recurrent antibiotics as child or teenager	52	
BIN	BIN21068	2294	Diagnosed_with_coeliac_disease_or_gluten_sensitivity	Diagnosed with coeliac disease or gluten sensitivity	52	
BIN	BIN21070	3758	Speed_of_onset_of_IBS_symptoms	Speed of onset of IBS symptoms	30	
BIN	BIN21071	1454	Infectious_illness_diagnosis_status_when_IBS_symptoms_first_began	Infectious illness diagnosis status when IBS symptoms first began	65	
BIN	BIN21073	1025	Fever_when_IBS_symptoms_first_began	Fever when IBS symptoms first began	35	
BIN	BIN21074	7518	Diarrhoea_when_IBS_symptoms_first_began	Diarrhoea when IBS symptoms first began	39	
BIN	BIN21075	817	Bloody_diarrhoea_when_IBS_symptoms_first_began	Bloody diarrhoea when IBS symptoms first began	46	
BIN	BIN21076	989	Vomiting_when_IBS_symptoms_first_began	Vomiting when IBS symptoms first began	38	
BIN	BIN2188	112250	Long-standing_illness,_disability_or_infirmity	Long-standing illness, disability or infirmity	46	
BIN	BIN2207	303964	Wears_glasses_or_contact_lenses	Wears glasses or contact lenses	31	
BIN	BIN22126	19545	Doctor_diagnosed_hayfever_or_allergic_rhinitis	Doctor diagnosed hayfever or allergic rhinitis	46	
BIN	BIN22127	10935	Doctor_diagnosed_asthma	Doctor diagnosed asthma	23	
BIN	BIN22128	261	Doctor_diagnosed_emphysema	Doctor diagnosed emphysema	26	
BIN	BIN22129	969	Doctor_diagnosed_chronic_bronchitis	Doctor diagnosed chronic bronchitis	35	
BIN	BIN22130	1272	Doctor_diagnosed_COPD_(chronic_obstructive_pulmonary_disease)	Doctor diagnosed COPD	21	
BIN	BIN22131	3	Doctor_diagnosed_cystic_fibrosis	Doctor diagnosed cystic fibrosis	32	
BIN	BIN22132	36	Doctor_diagnosed_alpha-1_antitrypsin_deficiency	Doctor diagnosed alpha-1 antitrypsin deficiency	47	
BIN	BIN22133	366	Doctor_diagnosed_sarcoidosis	Doctor diagnosed sarcoidosis	28	
BIN	BIN22134	760	Doctor_diagnosed_bronchiectasis	Doctor diagnosed bronchiectasis	31	
BIN	BIN22135	87	Doctor_diagnosed_idiopathic_pulmonary_fibrosis	Doctor diagnosed idiopathic pulmonary fibrosis	46	
BIN	BIN22136	37	Doctor_diagnosed_fibrosing_alveolitis/unspecified_alveolitis	Doctor diagnosed fibrosing alveolitis/unspecified alveolitis	60	
BIN	BIN22137	442	Doctor_diagnosed_tuberculosis	Doctor diagnosed tuberculosis	29	
BIN	BIN22138	7	Doctor_diagnosed_silicosis	Doctor diagnosed silicosis	26	
BIN	BIN22139	61	Doctor_diagnosed_asbestosis	Doctor diagnosed asbestosis	27	
BIN	BIN22140	103	Doctor_diagnosed_lung_cancer_(not_mesothelioma)	Doctor diagnosed lung cancer (not mesothelioma)	47	
BIN	BIN22141	8	Doctor_diagnosed_mesothelioma_of_the_lung	Doctor diagnosed mesothelioma of the lung	41	
BIN	BIN22502	11783	Cough_on_most_days	Cough on most days	18	
BIN	BIN22504	7240	Bring_up_phlegm/sputum/mucus_on_most_days	Bring up phlegm/sputum/mucus on most days	41	
BIN	BIN2257	131603	Hearing_difficulty/problems_with_background_noise	Hearing problems with background noise	38	
BIN	BIN23050	4524	HSV-1_seropositivity_for_Herpes_Simplex_virus-1	HSV-1 seropositivity for Herpes Simplex virus-1	47	
BIN	BIN23051	1021	HSV-2_seropositivity_for_Herpes_Simplex_virus-2	HSV-2 seropositivity for Herpes Simplex virus-2	47	
BIN	BIN23052	6146	VZV_seropositivity_for_Varicella_Zoster_Virus	VZV seropositivity for Varicella Zoster Virus	45	
BIN	BIN23053	6266	EBV_seropositivity_for_Epstein-Barr_Virus	EBV seropositivity for Epstein-Barr Virus	41	
BIN	BIN23054	3707	CMV_seropositivity_for_Human_Cytomegalovirus	CMV seropositivity for Human Cytomegalovirus	44	
BIN	BIN23055	6030	HHV-6_overall_seropositivity_for_Human_Herpesvirus-6	HHV-6 overall seropositivity for Human Herpesvirus-6	52	
BIN	BIN23056	5150	HHV-6A_seropositivity_for_Human_Herpesvirus-6	HHV-6A seropositivity for Human Herpesvirus-6	45	
BIN	BIN23057	5224	HHV-6B_seropositivity_for_Human_Herpesvirus-6	HHV-6B seropositivity for Human Herpesvirus-6	45	
BIN	BIN23058	6302	HHV-7_seropositivity_for_Human_Herpesvirus-7	HHV-7 seropositivity for Human Herpesvirus-7	44	
BIN	BIN23059	491	KSHV_seropositivity_for_Kaposi's_Sarcoma-Associated_Herpesvirus	KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus	63	
BIN	BIN23060	99	HBV_seropositivity_for_Hepatitis_B_Virus	HBV seropositivity for Hepatitis B Virus	40	
BIN	BIN23061	16	HCV_seropositivity_for_Hepatitis_C_Virus	HCV seropositivity for Hepatitis C Virus	40	
BIN	BIN23062	1769	T._gondii_seropositivity_for_Toxoplasma_gondii	T. gondii seropositivity for Toxoplasma gondii	46	
BIN	BIN23063	102	HTLV-1_seropositivity_for_Human_T-Lymphotropic_Virus_1	HTLV-1 seropositivity for Human T-Lymphotropic Virus 1	54	
BIN	BIN23064	11	HIV-1_seropositivity_for_Human_Immunodeficiency_Virus	HIV-1 seropositivity for Human Immunodeficiency Virus	53	
BIN	BIN23065	6336	BKV_seropositivity_for_Human_Polyomavirus_BKV	BKV seropositivity for Human Polyomavirus BKV	45	
BIN	BIN23066	3763	JCV_seropositivity_for_Human_Polyomavirus_JCV	JCV seropositivity for Human Polyomavirus JCV	45	
BIN	BIN23067	4388	MCV_seropositivity_for_Merkel_Cell_Polyomavirus	MCV seropositivity for Merkel Cell Polyomavirus	47	
BIN	BIN23068	282	HPV_16_Definition_I_seropositivity_for_Human_Papillomavirus_type-16	HPV 16 Definition I seropositivity for Human Papillomavirus type-16	67	
BIN	BIN23069	154	HPV_18_seropositivity_for_Human_Papillomavirus_type-18	HPV 18 seropositivity for Human Papillomavirus type-18	54	
BIN	BIN23070	1307	C._trachomatis_Definition_I_seropositivity_for_Chlamydia_trachomatis	C. trachomatis Definition I seropositivity for Chlamydia trachomatis	68	
BIN	BIN23071	175	C._trachomatis_Definition_II_seropositivity_for_Chlamydia_trachomatis	C. trachomatis Definition II seropositivity for Chlamydia trachomatis	69	
BIN	BIN23073	1084	H._pylori_Definition_I_seropositivity_for_Helicobacter_pylori	H. pylori Definition I seropositivity for Helicobacter pylori	61	
BIN	BIN23074	1900	H._pylori_Definition_II_seropositivity_for_Helicobacter_pylori	H. pylori Definition II seropositivity for Helicobacter pylori	62	
BIN	BIN23075	308	HPV_16_Definition_II_seropositivity_for_Human_Papillomavirus_type-16	HPV 16 Definition II seropositivity for Human Papillomavirus type-16	68	
BIN	BIN2316	71822	Wheeze_or_whistling_in_the_chest_in_last_year	Wheeze or whistling in the chest in last year	45	
BIN	BIN2335	54512	Chest_pain_or_discomfort	Chest pain or discomfort	24	
BIN	BIN2415	101153	Had_major_operations	Had major operations	20	
BIN	BIN2443	17253	Diabetes_diagnosed_by_doctor	Diabetes diagnosed by doctor	28	
BIN	BIN2453	29069	Cancer_diagnosed_by_doctor	Cancer diagnosed by doctor	26	
BIN	BIN2463	35446	Fractured/broken_bones_in_last_5_years	Fractured/broken bones in last 5 years	38	
BIN	BIN2473	71851	Other_serious_medical_condition/disability_diagnosed_by_doctor	Other serious medical condition/disability diagnosed by doctor	62	
BIN	BIN2774	56531	Ever_had_stillbirth,_spontaneous_miscarriage_or_termination	Ever had stillbirth, spontaneous miscarriage or termination	59	
BIN	BIN2814	72592	Ever_used_hormone-replacement_therapy_(HRT)	Ever used hormone-replacement therapy (HRT)	43	
BIN	BIN30030510	14248	UACR_higher_than_30_mg/g	UACR > 30 mg/g	14	
BIN	BIN3081	220610	Foot_measured_for_bone_density	Foot measured for bone density	30	
BIN	BIN3393	12821	Hearing_aid_user	Hearing aid user	16	
BIN	BIN3404	55663	Neck/shoulder_pain_for_3+_months	Neck/shoulder pain for 3+ months	32	
BIN	BIN3414	31946	Hip_pain_for_3+_months	Hip pain for 3+ months	22	
BIN	BIN3571	61276	Back_pain_for_3+_months	Back pain for 3+ months	23	
BIN	BIN3591	14083	Ever_had_hysterectomy_(womb_removed)	Ever had hysterectomy (womb removed)	36	
BIN	BIN3606	9257	Chest_pain_or_discomfort_walking_normally	Chest pain or discomfort walking normally	41	
BIN	BIN3616	16193	Chest_pain_due_to_walking_ceases_when_standing_still	Chest pain due to walking ceases when standing still	52	
BIN	BIN3741	16256	Stomach/abdominal_pain_for_3+_months	Stomach/abdominal pain for 3+ months	36	
BIN	BIN3751	11899	Chest_pain_or_discomfort_when_walking_uphill_or_hurrying	Chest pain or discomfort when walking uphill or hurrying	56	
BIN	BIN3773	60257	Knee_pain_for_3+_months	Knee pain for 3+ months	23	
BIN	BIN3799	31032	Headaches_for_3+_months	Headaches for 3+ months	23	
BIN	BIN4041	659	Gestational_diabetes_only	Gestational diabetes only	25	
BIN	BIN4067	3034	Facial_pains_for_3+_months	Facial pains for 3+ months	26	
BIN	BIN4092	129201	Heel_ultrasound_method_(left)	Heel ultrasound method (L)	26	
BIN	BIN4093	329	Fractured_heel_(left)	Fractured heel (L)	18	
BIN	BIN4095	129301	Heel_ultrasound_method_(right)	Heel ultrasound method (R)	26	
BIN	BIN4096	402	Fractured_heel_(right)	Fractured heel (R)	18	
BIN	BIN41215	2098	Detention_categories	Detention categories	20	
BIN	BIN4232	135691	Hearing_test_triplet_correct_(left)	Hearing test triplet correct (L)	32	
BIN	BIN4243	135676	Hearing_test_triplet_correct_(right)	Hearing test triplet correct (R)	32	
BIN	BIN4598	73606	Ever_depressed_for_a_whole_week	Ever depressed for a whole week	31	
BIN	BIN4631	48981	Ever_unenthusiastic/disinterested_for_a_whole_week	Ever unenthusiastic/disinterested for a whole week	50	
BIN	BIN4642	7111	Ever_manic/hyper_for_2_days	Ever manic/hyper for 2 days	27	
BIN	BIN4653	23386	Ever_highly_irritable/argumentative_for_2_days	Ever highly irritable/argumentative for 2 days	46	
BIN	BIN4728	31232	Leg_pain_on_walking	Leg pain on walking	19	
BIN	BIN4792	113	Cochlear_implant	Cochlear implant	16	
BIN	BIN5181	7161	Ever_had_eye_surgery	Ever had eye surgery	20	
BIN	BIN5324	1989	Ever_had_cataract_surgery	Ever had cataract surgery	25	
BIN	BIN5325	1830	Ever_had_refractive_laser_eye_surgery	Ever had refractive laser eye surgery	37	
BIN	BIN5326	118	Ever_had_surgery_for_glaucoma_or_high_eye_pressure	Ever had surgery for glaucoma or high eye pressure	50	
BIN	BIN5327	262	Ever_had_laser_treatment_for_glaucoma_or_high_eye_pressure	Ever had laser treatment for glaucoma or high eye pressure	58	
BIN	BIN5328	150	Ever_had_corneal_graft_surgery	Ever had corneal graft surgery	30	
BIN	BIN5452	18804	Leg_pain_when_standing_still_or_sitting	Leg pain when standing still or sitting	39	
BIN	BIN5463	9743	Leg_pain_in_calf/calves	Leg pain in calf/calves	23	
BIN	BIN5474	20338	Leg_pain_when_walking_uphill_or_hurrying	Leg pain when walking uphill or hurrying	40	
BIN	BIN5485	17186	Leg_pain_when_walking_normally	Leg pain when walking normally	30	
BIN	BIN5496	6143	Leg_pain_when_walking_ever_disappears_while_walking	Leg pain when walking ever disappears while walking	51	
BIN	BIN5529	1060	Surgery_on_leg_arteries_(other_than_for_varicose_veins)	Surgery on leg arteries (other than for varicose veins)	55	
BIN	BIN5674	6450	Severity_of_manic/irritable_episodes	Severity of manic/irritable episodes	36	
BIN	BIN6014	2619	Doctor_restricts_physical_activity_due_to_heart_condition	Doctor restricts physical activity due to heart condition	57	
BIN	BIN6015	2271	Chest_pain_felt_during_physical_activity	Chest pain felt during physical activity	40	
BIN	BIN6016	1877	Chest_pain_felt_outside_physical_activity	Chest pain felt outside physical activity	41	
BIN	BIN6017	59623	Able_to_walk_or_cycle_unaided_for_10_minutes	Able to walk or cycle unaided for 10 minutes	44	
BIN_FC	BIN_FC10000120	195131	Birth_weight_known_as_lb	Birth weight known as lb	24	
BIN_FC	BIN_FC10001140	4284	Did_not_use_mobile_phone_2_years_ago	Did not use mobile phone 2 years ago	36	
BIN_FC	BIN_FC10001150	105088	Usual_side_of_head_for_mobile_phone_use_(left)	Usual side of head for mobile phone use (L)	43	
BIN_FC	BIN_FC10001249	84535	Past_tobacco_smoking_(Smoked_on_most_or_all_days)	Past tobacco smoking (Smoked on most or all days)	49	
BIN_FC	BIN_FC10001259	31648	Smoking/smokers_in_household	Smoking/smokers in household	28	
BIN_FC	BIN_FC10001418	22310	Milk_type:_Full_cream	Milk type: Full cream	21	
BIN_FC	BIN_FC10001428	36053	Spread_type:_Never/rarely_use_spread	Spread type: Never/rarely use spread	36	
BIN_FC	BIN_FC10001448	88741	Bread_type:_White	Bread type: White	17	
BIN_FC	BIN_FC10001468	50465	Cereal_type:_Bran_cereal_(e.g._All_Bran,_Branflakes)	Cereal type: Bran cereal (e.g. All Bran, Branflakes)	52	
BIN_FC	BIN_FC10001508	55630	Coffee_type:_Decaffeinated_coffee_(any_type)	Coffee type: Decaffeinated coffee (any type)	44	
BIN_FC	BIN_FC10001538	37726	Major_dietary_changes_in_the_last_5_years_becuase_of_illness	Major dietary changes in the last 5 years becuase of illness	60	
BIN_FC	BIN_FC10001628	54624	Alcohol_intake_versus_10_years_previously_(More_nowadays)	Alcohol intake versus 10 years previously (More nowadays)	57	
BIN_FC	BIN_FC10001677	182993	Breastfed_as_a_baby	Breastfed as a baby	19	
BIN_FC	BIN_FC10001707	304704	Handedness_(chirality/laterality)_(Right-handed)	Handedness (chirality/laterality) (Right-handed)	48	
BIN_FC	BIN_FC10001727	67914	Ease_of_skin_tanning_(Get_very_tanned)	Ease of skin tanning (Get very tanned)	38	
BIN_FC	BIN_FC10001757	231029	Facial_ageing_(Younger_than_you_are)	Facial ageing (Younger than you are)	36	
BIN_FC	BIN_FC10001767	4620	Adopted_as_a_child	Adopted as a child	18	
BIN_FC	BIN_FC10001777	7389	Part_of_a_multiple_birth	Part of a multiple birth	24	
BIN_FC	BIN_FC10001787	89372	Maternal_smoking_around_birth	Maternal smoking around birth	29	
BIN_FC	BIN_FC10001797	76107	Father_still_alive	Father still alive	18	
BIN_FC	BIN_FC10001835	130983	Mother_still_alive	Mother still alive	18	
BIN_FC	BIN_FC10001920	152281	Mood_swings	Mood swings	11	
BIN_FC	BIN_FC10001930	145186	Miserableness	Miserableness	13	
BIN_FC	BIN_FC10001940	93499	Irritability	Irritability	12	
BIN_FC	BIN_FC10001950	185579	Sensitivity_/_hurt_feelings	Sensitivity / hurt feelings	27	
BIN_FC	BIN_FC10001960	137983	Fed-up_feelings	Fed-up feelings	15	
