Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
					Tea intake	1488									501662	Complete	Integer	cups/day	Primary	Unisex	3	1	100373.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1488
					Coffee intake	1498									501662	Complete	Integer	cups/day	Primary	Unisex	3	1	100373.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1498
					Water intake	1528									501662	Complete	Integer	glasses/day	Primary	Unisex	3	1	100373.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1528
					Average weekly red wine intake	1568									348349	Complete	Integer	glasses	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1568
					Average weekly champagne plus white wine intake	1578									348348	Complete	Integer	glasses	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1578
					Average weekly beer plus cider intake	1588									348348	Complete	Integer	pints	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1588
					Average weekly spirits intake	1598									348348	Complete	Integer	measures	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1598
					Average weekly fortified wine intake	1608									348348	Complete	Integer	glasses	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1608
					Childhood sunburn occasions	1737									498448	Complete	Integer	times	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1737
					Father's age at death	1807									383027	Complete	Integer	years	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1807
					Mother's age	1845									199412	Complete	Integer	years	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1845
					Number of full brothers	1873									494319	Complete	Integer		Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1873
					Number of full sisters	1883									494319	Complete	Integer		Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1883
					Age first had sexual intercourse	2139									456261	Complete	Integer	years	Primary	Unisex	3	1	100504.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2139
					Lifetime number of sexual partners	2149									452048	Complete	Integer		Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2149
					Age when periods started (menarche)	2714									272939	Complete	Integer	years	Primary	Female	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2714
					Birth weight of first child	2744									221492	Complete	Integer	pounds	Primary	Female	3	1	100585.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2744
					Forced vital capacity (FVC)	3062									456678	Complete	Continuous	litres	Primary	Unisex	3	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3062
					Forced expiratory volume in 1-second (FEV1)	3063									456678	Complete	Continuous	litres	Primary	Unisex	3	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3063
					Peak expiratory flow (PEF)	3064									456678	Complete	Integer	litres/min	Primary	Unisex	3	3		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3064
					Weight, manual entry	3160									8184	Complete	Continuous	Kg	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3160
					Number of cigarettes currently smoked daily (current cigarette smokers)	3456									36668	Complete	Integer	cigarettes/day	Primary	Unisex	3	1	100355.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3456
					Mother's age at death	3526									305315	Complete	Integer	years	Primary	Unisex	3	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3526
					Forced vital capacity (FVC) (pilot)	10694									3421	Complete	Continuous	litres	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10694
					Forced expiratory volume in 1-second (FEV1) (pilot)	10695									3421	Complete	Continuous	litres	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10695
					Peak expiratory flow (PEF) (pilot)	10696									3421	Complete	Integer		Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10696
					Height	12144									29472	Accruing	Integer	cm	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12144
					Sitting height	20015									497091	Complete	Continuous	cm	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20015
					Fluid intelligence score	20016									193806	Complete	Integer	correct-answers	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20016
					Speech-reception-threshold (SRT) estimate (left)	20019									192260	Complete	Continuous		Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20019
					Speech-reception-threshold (SRT) estimate (right)	20021									192286	Complete	Continuous		Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20021
					Forced expiratory volume in 1-second (FEV1), Best measure	20150									353339	Complete	Continuous	litres	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20150
					Forced vital capacity (FVC), Best measure	20151									353339	Complete	Continuous	litres	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20151
					Forced expiratory volume in 1-second (FEV1), predicted	20153									151984	Complete	Continuous	litres	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20153
					Forced expiratory volume in 1-second (FEV1), predicted percentage	20154									151984	Complete	Continuous	percent	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20154
					Fluid intelligence score	20191									123653	Complete	Integer	correct-answers	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20191
					Body mass index (BMI)	21001									499523	Complete	Continuous	Kg/m2	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21001
					Weight	21002									499842	Complete	Continuous	Kg	Derived	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21002
					LV ejection fraction	22420									4711	Accruing	Integer	percent	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22420
					LV end diastolic volume	22421									4711	Accruing	Integer	ml	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22421
					LV end systolic volume	22422									4711	Accruing	Integer	ml	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22422
					LV stroke volume	22423									4711	Accruing	Integer	ml	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22423
					Cardiac output	22424									4711	Accruing	Continuous	litres/min	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22424
					Cardiac index	22425									4711	Accruing	Continuous	litres/min/m2	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22425
					Average heart rate	22426									4711	Accruing	Integer	bpm	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22426
					Body surface area	22427									4711	Accruing	Continuous	m2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22427
					Years of cough on most days	22503									16498	Accruing	Integer	years	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22503
					Years of bringing up phlegm/sputum/mucus on most days	22505									10481	Accruing	Integer	years	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22505
					L1-L4 area	23200									5151	Accruing	Continuous	cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23200
					L1-L4 average height	23201									5151	Accruing	Continuous	cm	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23201
					L1-L4 average width	23202									5151	Accruing	Continuous	cm	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23202
					Femur lower neck BMD (bone mineral density) (right)	23206									2344	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23206
					Femur neck BMD (bone mineral density) (right)	23208									5183	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23208
					Femur neck BMD (bone mineral density) T-score (right)	23209									5151	Accruing	Continuous	Std.Devs	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23209
					Femur shaft BMD (bone mineral density) (right)	23210									5168	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23210
					Femur total BMD (bone mineral density) (right)	23212									5168	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23212
					Femur total BMD (bone mineral density) T-score (right)	23213									5137	Accruing	Continuous	Std.Devs	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23213
					Femur troch BMD (bone mineral density) (right)	23214									5183	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23214
					Femur troch BMD (bone mineral density) T-score (right)	23215									5151	Accruing	Continuous	Std.Devs	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23215
					Femur upper neck BMD (bone mineral density) (right)	23216									2344	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23216
					Arm BMC (bone mineral content) (left)	23220									4350	Accruing	Continuous	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23220
					Arm BMD (bone mineral density) (left)	23221									4350	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23221
					Arm BMC (bone mineral content) (right)	23222									4350	Accruing	Continuous	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23222
					Arm BMD (bone mineral density) (right)	23223									4350	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23223
					Arms BMC (bone mineral content)	23224									5170	Accruing	Continuous	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23224
					Arms BMD (bone mineral density)	23225									5170	Accruing	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23225
					Android bone mass	23244									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23244
					Android fat mass	23245									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23245
					Android lean mass	23246									5170	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23246
					Android tissue fat percentage	23247									5170	Accruing	Continuous	percent	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23247
					Android total mass	23248									5170	Accruing	Continuous	kg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23248
					Arm fat mass (left)	23249									4350	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23249
					Arm lean mass (left)	23250									4350	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23250
					Arm tissue fat percentage (left)	23251									4350	Accruing	Continuous	percent	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23251
					Arm total mass (left)	23252									4350	Accruing	Continuous	kg	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23252
					Arm fat mass (right)	23253									4350	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23253
					Arm lean mass (right)	23254									4350	Accruing	Integer	g	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23254
					Arm tissue fat percentage (right)	23255									4350	Accruing	Continuous	percent	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23255
