Annotator	Annotation date	Name	GBE ID	TableID	FieldID	Field	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Note
x	2017-12-11	Salad_/_raw_vegetable_intake	INI1299	9797	1299	Salad / raw vegetable intake	1	0	1		-10,-3,-1				501735	Complete	Integer	tablespoons/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1299	
x	2017-12-11	Cooked_vegetable_intake	INI1289	9797	1289	Cooked vegetable intake	1	0	1		-10,-3,-1				501735	Complete	Integer	tablespoons/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1289	
x	2017-12-11	Number_of_words_beginning_with_'S'_(pilot)	INI10612	9797	10612	Number of words beginning with 'S' (pilot)	1	0	1		-1				3750	Complete	Integer	words	Primary	Unisex	1	1	100696	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=10612	
x	2017-12-11	Bipolar_and_major_depression_status_single_probable_major_depressive_episode	BIN_FC60020126	10137	20126	Bipolar and major depression status	0	6		6			5	0	122991	Complete	Categorical single		Derived	Unisex	1	1	100695	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20126	
x	2017-12-11	Bipolar_and_major_depression_status_probable_depression_(moderate)	BIN_FC50020126	10137	20126	Bipolar and major depression status	0	6		5			4	0	122991	Complete	Categorical single		Derived	Unisex	1	1	100695	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20126	
x	2017-12-11	Why_stopped_smoking_other	BIN_FC50006157	9797	6157	Why stopped smoking	0	5		5	-3,-1		-7	1,2,3,4	121457	Complete	Categorical multiple		Primary	Unisex	3	4	100361	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6157	
x	2017-12-11	Bipolar_and_major_depression_status_probable_depression_(severe)	BIN_FC40020126	10137	20126	Bipolar and major depression status	0	6		4			3	0	122991	Complete	Categorical single		Derived	Unisex	1	1	100695	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20126	
x	2017-12-11	Why_stopped_smoking_financial	BIN_FC40006157	9797	6157	Why stopped smoking	0	5		4	-3,-1		4	1,2,3,-7	121457	Complete	Categorical multiple		Primary	Unisex	3	4	100361	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6157	
x	2017-12-11	Ever_tried_to_stop_smoking_failed_vs_succeeded	BIN_FC40003486	9797	3486	Ever tried to stop smoking	0	1		4	-3		1	2	39419	Complete	Categorical single		Primary	Unisex	3	1	100358	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3486	
x	2017-12-11	Bipolar_and_major_depression_status_Bipolar_Type_II	BIN_FC30020126	10137	20126	Bipolar and major depression status	0	6		3			2	0	122991	Complete	Categorical single		Derived	Unisex	1	1	100695	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20126	
x	2017-12-11	Why_stopped_smoking_precautionary	BIN_FC30006157	9797	6157	Why stopped smoking	0	5		3	-3,-1		3	1,2,4,-7	121457	Complete	Categorical multiple		Primary	Unisex	3	4	100361	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6157	
x	2017-12-11	Ever_tried_to_stop_smoking_succeeded_vs_no	BIN_FC30003486	9797	3486	Ever tried to stop smoking	0	1		3	-3		2	0	39419	Complete	Categorical single		Primary	Unisex	3	1	100358	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3486	
x	2017-12-11	Bipolar_and_major_depression_status_Bipolar_Type_I	BIN_FC20020126	10137	20126	Bipolar and major depression status	0	6		2			1	0	122991	Complete	Categorical single		Derived	Unisex	1	1	100695	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20126	
x	2017-12-11	Why_stopped_smoking_doctor_advice	BIN_FC20006157	9797	6157	Why stopped smoking	0	5		2	-3,-1		2	1,3,4,-7	121457	Complete	Categorical multiple		Primary	Unisex	3	4	100361	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6157	
x	2017-12-11	Ever_tried_to_stop_smoking_failed_vs_no	BIN_FC20003486	9797	3486	Ever tried to stop smoking	0	1		2	-3		1	0	39419	Complete	Categorical single		Primary	Unisex	3	1	100358	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3486	
x	2017-12-11	Invitation_to_physical_activity_study,_acceptance	BIN_FC10110005	10137	110005	Invitation to physical activity study, acceptance	0	1		1	1		0	2	236508	Ongoing	Categorical single		Primary	Unisex	1	1	100693	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=110005	
x	2017-12-11	Bipolar_and_major_depression_status_any	BIN_FC10020126	10137	20126	Bipolar and major depression status	0	6		1			1,2,3,4,5	0	122991	Complete	Categorical single		Derived	Unisex	1	1	100695	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20126	
x	2017-12-11	Why_stopped_smoking_Illness	BIN_FC10006157	9797	6157	Why stopped smoking	0	5		1	-3,-1		1	2,3,4,-7	121457	Complete	Categorical multiple		Primary	Unisex	3	4	100361	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6157	
x	2017-12-11	Ever_tried_to_stop_smoking	BIN_FC10003486	9797	3486	Ever tried to stop smoking	0	1		1	-3		1,2	0	39419	Complete	Categorical single		Primary	Unisex	3	1	100358	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3486	
x	2017-12-11	Smoking/smokers_in_household	BIN_FC10001259	9797	1259	Smoking/smokers in household	0	1		1	-3		1;2	0	460343	Complete	Categorical single		Primary	Unisex	3	1	100370	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1259	
x	2017-12-11	Likelihood_of_resuming_smoking		9797	2936	Likelihood of resuming smoking									121457	Complete	Categorical single		Primary	Unisex	3	1	100369	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2936	
x	2017-12-11	Why_reduced_smoking		9797	6158	Why reduced smoking									17007	Complete	Categorical multiple		Primary	Unisex	3	4	100361	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6158	
x	2017-12-11	Eprime_error_flag		9797	12706	Eprime error flag	0	0							114	Accruing	Categorical single		Derived	Unisex	1	1	100699	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12706	
x	2017-12-11	Bipolar_disorder_status		10137	20122	Bipolar disorder status	0	0							1615	Complete	Categorical single		Derived	Unisex	1	1	100694	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20122	It looks like these are captured in field 20126.
x	20171211	Duration_of_vigorous_activity	INI914	10137	914	Duration of vigorous activity	1	0	1		-1,-3				299874	Complete	Integer	minutes/day	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=914	
x	20171211	Number_of_days/week_of_vigorous_physical_activity_10+_minutes	INI904	10137	904	Number of days/week of vigorous physical activity 10+ minutes	1	0	1		-1,-3				501750	Complete	Integer	days/week	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=904	
x	20171211	Duration_of_moderate_activity	INI894	10137	894	Duration of moderate activity	1	0	1		-1,-3				414946	Complete	Integer	minutes/day	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=894	
x	20171211	Number_of_days/week_of_moderate_physical_activity_10+_minutes	INI884	10137	884	Number of days/week of moderate physical activity 10+ minutes	1	0	1		-1,-3				501750	Complete	Integer	days/week	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=884	
x	20171211	Duration_of_walks	INI874	10137	874	Duration of walks	1	0	1		-1,-3				479344	Complete	Integer	minutes/day	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=874	
x	20171211	Length_of_working_week_for_main_job	INI767	10137	767	Length of working week for main job	1	0	1		-1,-3				287916	Complete	Integer	hours	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=767	
x	20171211	Age_stopped_smoking_cigarettes_(current_cigar/pipe_or_previous_cigarette_smoker)	INI6194	9797	6194	Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker)	1	0	1		-1,-3				1802	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6194	
x	20171211	Age_other_serious_eye_condition_diagnosed	INI5945	10137	5945	Age other serious eye condition diagnosed	1	0	1		-1,-3				3192	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5945	
x	20171211	Age_macular_degeneration_diagnosed	INI5923	10137	5923	Age macular degeneration diagnosed	1	0	1		-1,-3				1894	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5923	
x	20171211	Age_when_diabetes-related_eye_disease_diagnosed	INI5901	10137	5901	Age when diabetes-related eye disease diagnosed	1	0	1		-1,-3				2157	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5901	
x	20171211	Age_when_loss_of_vision_due_to_injury_or_trauma_diagnosed	INI5430	10137	5430	Age when loss of vision due to injury or trauma diagnosed	1	0	1		-1,-3				1021	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5430	
x	20171211	Number_of_unenthusiastic/disinterested_episodes	INI5386	10137	5386	Number of unenthusiastic/disinterested episodes	1	0	1		-1,-3				69059	Complete	Integer	periods	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5386	
x	20171211	Longest_period_of_unenthusiasm_/_disinterest	INI5375	10137	5375	Longest period of unenthusiasm / disinterest	1	0	1		-1,-3				69062	Complete	Integer	weeks	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5375	
x	20171211	Average_weekly_intake_of_other_alcoholic_drinks	INI5364	9797	5364	Average weekly intake of other alcoholic drinks	1	0	1		-1,-3				132773	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5364	
x	20171211	Number_of_older_siblings	INI5057	9797	5057	Number of older siblings	1	0	1		-1,-3				170748	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5057	
x	20171211	Age_cataract_diagnosed	INI4700	10137	4700	Age cataract diagnosed	1	0	1		-1,-3				10680	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4700	
x	20171211	Age_glaucoma_diagnosed	INI4689	10137	4689	Age glaucoma diagnosed	1	0	1		-1,-3				3563	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4689	
x	20171211	Number_of_depression_episodes	INI4620	10137	4620	Number of depression episodes	1	0	1		-1,-3				102128	Complete	Integer	periods	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4620	
x	20171211	Longest_period_of_depression	INI4609	10137	4609	Longest period of depression	1	0	1		-1,-3				102128	Complete	Integer	weeks	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4609	
x	20171211	Average_monthly_intake_of_other_alcoholic_drinks	INI4462	9797	4462	Average monthly intake of other alcoholic drinks	1	0	1		-1,-3				46799	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4462	
x	20171211	Average_monthly_fortified_wine_intake	INI4451	9797	4451	Average monthly fortified wine intake	1	0	1		-1,-3				46799	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4451	
x	20171211	Average_monthly_spirits_intake	INI4440	9797	4440	Average monthly spirits intake	1	0	1		-1,-3				46799	Complete	Integer	measures	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4440	
x	20171211	Average_monthly_beer_plus_cider_intake	INI4429	9797	4429	Average monthly beer plus cider intake	1	0	1		-1,-3				46799	Complete	Integer	pints	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4429	
x	20171211	Average_monthly_champagne_plus_white_wine_intake	INI4418	9797	4418	Average monthly champagne plus white wine intake	1	0	1		-1,-3				46799	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4418	
x	20171211	Average_monthly_red_wine_intake	INI4407	9797	4407	Average monthly red wine intake	1	0	1		-1,-3				46799	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4407	
x	20171211	Age_stroke_diagnosed	INI4056	9797	4056	Age stroke diagnosed	1	0	1		-1,-3				7854	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4056	
x	20171211	Age_pulmonary_embolism_(blood_clot_in_lung)_diagnosed	INI4022	9797	4022	Age pulmonary embolism (blood clot in lung) diagnosed	1	0	1		-1,-3				4208	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4022	
x	20171211	Age_deep-vein_thrombosis_(DVT,_blood_clot_in_leg)_diagnosed	INI4012	9797	4012	Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed	1	0	1		-1,-3				10195	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4012	
x	20171211	Age_emphysema/chronic_bronchitis_diagnosed	INI3992	9797	3992	Age emphysema/chronic bronchitis diagnosed	1	0	1		-1,-3				8580	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3992	
y	20171211	Number_of_adopted_sisters	INI3982	9797	3982	Number of adopted sisters	1	0	1		-1,-3				7356	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3982	
y	20171211	Number_of_adopted_brothers	INI3972	9797	3972	Number of adopted brothers	1	0	1		-1,-3				7356	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3972	
y	20171211	Age_heart_attack_diagnosed	INI3894	9797	3894	Age heart attack diagnosed	1	0	1		-1,-3				11821	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3894	
y	20171211	Age_at_bilateral_oophorectomy_(both_ovaries_removed)	INI3882	9797	3882	Age at bilateral oophorectomy (both ovaries removed)	1	0	1		-1,-3				22092	Complete	Integer	years	Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3882	
y	20171211	Number_of_pregnancy_terminations	INI3849	9797	3849	Number of pregnancy terminations	1	0	1		-1,-3				87579	Complete	Integer		Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3849	
y	20171211	Number_of_spontaneous_miscarriages	INI3839	9797	3839	Number of spontaneous miscarriages	1	0	1		-1,-3				87579	Complete	Integer		Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3839	
y	20171211	Number_of_stillbirths	INI3829	9797	3829	Number of stillbirths	1	0	1		-1,-3				87579	Complete	Integer		Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3829	
y	20171211	Age_asthma_diagnosed	INI3786	9797	3786	Age asthma diagnosed	1	0	1		-1,-3				58399	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3786	
y	20171211	Age_hay_fever,_rhinitis_or_eczema_diagnosed	INI3761	9797	3761	Age hay fever, rhinitis or eczema diagnosed	1	0	1		-1,-3				116807	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3761	
y	20171211	Time_since_last_menstrual_period	INI3700	9797	3700	Time since last menstrual period	1	0	1		-1,-3				64153	Complete	Integer	days	Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3700	
y	20171211	Age_when_last_ate_meat	INI3680	9797	3680	Age when last ate meat	1	0	1		-1,-3				20709	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3680	
y	20171211	Lifetime_number_of_same-sex_sexual_partners	INI3669	9797	3669	Lifetime number of same-sex sexual partners	1	0	1		-1,-3				16064	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3669	
y	20171211	Year_immigrated_to_UK_(United_Kingdom)	INI3659	9797	3659	Year immigrated to UK (United Kingdom)	1	0	1		-1,-3				44572	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3659	
y	20171211	Age_angina_diagnosed	INI3627	9797	3627	Age angina diagnosed	1	0	1		-1,-3				16374	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3627	
y	20171211	Age_at_menopause_(last_menstrual_period)	INI3581	9797	3581	Age at menopause (last menstrual period)	1	0	1		-1,-3				168551	Complete	Integer	years	Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3581	
y	20171211	Age_started_hormone-replacement_therapy_(HRT)	INI3536	9797	3536	Age started hormone-replacement therapy (HRT)	1	0	1		-1,-3				104661	Complete	Integer	years	Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3536	
y	20171211	Mother's_age_at_death	INI3526	9797	3526	Mother's age at death	1	0	1		-1,-3				302907	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3526	
y	20171211	Age_started_smoking_in_current_smokers	INI3436	9797	3436	Age started smoking in current smokers	1	0	1		-1,-3				39419	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3436	
y	20171211	Age_diabetes_diagnosed	INI2976	9797	2976	Age diabetes diagnosed	1	0	1		-1,-3				26002	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2976	
y	20171211	Age_high_blood_pressure_diagnosed	INI2966	9797	2966	Age high blood pressure diagnosed	1	0	1		-1,-3				137429	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2966	
y	20171211	Father's_age	INI2946	9797	2946	Father's age	1	0	1		-1,-3				114716	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2946	
y	20171211	Number_of_unsuccessful_stop-smoking_attempts	INI2926	9797	2926	Number of unsuccessful stop-smoking attempts	1	0	1		-1,-3				121457	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2926	
y	20171211	Age_stopped_smoking	INI2897	9797	2897	Age stopped smoking	1	0	1		-1,-3				122259	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2897	
y	20171211	Age_started_smoking_in_former_smokers	INI2867	9797	2867	Age started smoking in former smokers	1	0	1		-1,-3				122259	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2867	
y	20171211	Age_at_hysterectomy	INI2824	9797	2824	Age at hysterectomy	1	0	1		-1,-3				51419	Complete	Integer	years	Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2824	
y	20171211	Age_started_oral_contraceptive_pill	INI2794	9797	2794	Age started oral contraceptive pill	1	0	1		-1,-3				220686	Complete	Integer	years	Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2794	
y	20171211	Age_when_periods_started_(menarche)	INI2714	9797	2714	Age when periods started (menarche)	1	0	1		-1,-3				272991	Complete	Integer	years	Primary	Female	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2714	
y	20171211	Number_of_children_fathered	INI2405	10137	2405	Number of children fathered	1	0	1		-1,-3				227305	Complete	Integer		Primary	Male	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2405	
y	20171211	Age_started_wearing_glasses_or_contact_lenses	INI2217	10137	2217	Age started wearing glasses or contact lenses	1	0	1		-1,-3				442717	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2217	
y	20171211	Lifetime_number_of_sexual_partners	INI2149	9797	2149	Lifetime number of sexual partners	1	0	1		-1,-3				451937	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=2149	
y	2017-12-12	Age_at_last_episode_of_depression	INI20434	10484	20434	Age at last episode of depression	1	0	1		-121,-818				89048	Accruing	Integer		Primary	Unisex	1	1	513	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20434	
y	2017-12-12	Age_at_first_episode_of_depression	INI20433	10484	20433	Age at first episode of depression	1	0	1		-121,-818				89048	Accruing	Integer		Primary	Unisex	1	1	513	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20433	
y	20171211	Number_of_full_sisters	INI1883	9797	1883	Number of full sisters	1	0	1		-1,-3				494385	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1883	
y	20171211	Number_of_full_brothers	INI1873	9797	1873	Number of full brothers	1	0	1		-1,-3				494385	Complete	Integer		Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1873	
y	20171211	Mother's_age	INI1845	9797	1845	Mother's age	1	0	1		-1,-3				199420	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1845	
y	20171211	Father's_age_at_death	INI1807	9797	1807	Father's age at death	1	0	1		-1,-3				381278	Complete	Integer	years	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1807	
y	20171211	Childhood_sunburn_occasions	INI1737	9797	1737	Childhood sunburn occasions	1	0	1		-1,-3				498519	Complete	Integer	times	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1737	
y	20171211	Average_weekly_fortified_wine_intake	INI1608	9797	1608	Average weekly fortified wine intake	1	0	1		-1,-3				347878	Complete	Integer	glasses	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1608	
y	20171211	Average_weekly_spirits_intake	INI1598	9797	1598	Average weekly spirits intake	1	0	1		-1,-3				347878	Complete	Integer	measures	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1598	
y	20171211	Average_weekly_beer_plus_cider_intake	INI1588	9797	1588	Average weekly beer plus cider intake	1	0	1		-1,-3				347878	Complete	Integer	pints	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1588	
