Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,93,"Systolic blood pressure, manual reading",48658,80763,Complete,Integer,mmHg,Data,Primary,Unisex,3,2,,"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=93
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,94,"Diastolic blood pressure, manual reading",48658,80763,Complete,Integer,mmHg,Data,Primary,Unisex,3,2,,"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=94
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,95,Pulse rate (during blood-pressure measurement),48658,80763,Complete,Integer,"",Data,Primary,Unisex,3,2,,Pulse measured during automated blood-pressure reading,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=95
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,96,Time since interview start at which blood pressure screen(s) shown,501685,1108561,Complete,Integer,seconds,Data,Auxiliary,Unisex,3,2,,"The time since interview start at which the blood pressure screen was shown is useful because it can be used to calculate the interval between the two measurements of blood pressure. This interval is variable because it, for efficiency reasons, it was impractical to use a fixed time during the UK Biobank Assessments.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=96
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,102,"Pulse rate, automated reading",474273,1026529,Complete,Integer,bpm,Data,Primary,Unisex,3,2,,This is the pulse rate measured during the automated blood pressure readings.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=102
UK Biobank Assessment Centre > Procedural metrics,100004,111,Aide-memoire completed,501678,522010,Complete,Categorical single,"",Data,Primary,Unisex,2,1,7,Participants were asked to complete an aide-memoire at home (prior to the visiting and assessment centre) to help them complete the more complex/detailed interview questions. This field records whether or not the participant brought a completed aide-memoire to the interview.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=111
UK Biobank Assessment Centre > Verbal interview > Early life factors,100072,120,Birth weight known,501678,533718,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100258,Birth weight known,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=120
UK Biobank Assessment Centre > Verbal interview > Early life factors,100072,129,Place of birth in UK - north co-ordinate,452316,481127,Complete,Integer,metre-grid,Data,Primary,Unisex,3,1,170,Place born - north co-ordinate,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=129
UK Biobank Assessment Centre > Verbal interview > Early life factors,100072,130,Place of birth in UK - east co-ordinate,452316,481127,Complete,Integer,metre-grid,Data,Primary,Unisex,3,1,170,Place born - east co-ordinate,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=130
UK Biobank Assessment Centre > Verbal interview > Employment,100073,132,Job code,340698,379735,Complete,Categorical single,"",Data,Primary,Unisex,3,1,2,Job code,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=132
UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,134,Number of self-reported cancers,501685,554594,Complete,Integer,"",Data,Primary,Unisex,3,1,,Number of cancers entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=134
UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,135,Number of self-reported non-cancer illnesses,501685,554594,Complete,Integer,"",Data,Primary,Unisex,3,1,,Number of non-cancer illnesses entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=135
UK Biobank Assessment Centre > Verbal interview > Operations,100076,136,"Number of operations, self-reported",501685,554594,Complete,Integer,"",Data,Primary,Unisex,3,1,,Number of operations entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=136
UK Biobank Assessment Centre > Verbal interview > Medications,100075,137,Number of treatments/medications taken,501685,554594,Complete,Integer,"",Data,Primary,Unisex,3,1,,Number of treatments (medications) entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=137
Population characteristics > Baseline characteristics,100094,189,Townsend deprivation index at recruitment,501914,501914,Complete,Continuous,"",Data,Derived,Unisex,1,1,,Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=189
Population characteristics > Ongoing characteristics,2,190,Reason lost to follow-up,1299,1299,Ongoing,Categorical single,"",Data,Primary,Unisex,1,1,1965,Indicates the reason that a person is believed to be lost to follow-up.   If there are multiple reasons that a person is lost to follow-up then only the earliest of them is listed.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=190
Population characteristics > Ongoing characteristics,2,191,Date lost to follow-up,1299,1299,Ongoing,Date,"",Data,Primary,Unisex,1,1,,Indicates the date from which a person is believed to be lost to follow-up.   If there are multiple reasons that a person is lost to follow-up then only the date of the earliest of them is listed.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=191
UK Biobank Assessment Centre > Recruitment > Consent,100023,200,Date of consenting to join UK Biobank,502534,502534,Complete,Date,"",Data,Primary,Unisex,1,1,,Date that participant consented at UK Biobank assessment centre. Automatically acquired at participant consent.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=200
UK Biobank Assessment Centre > Recruitment > Consent,100023,393,Program (tactus) version ID (compiler timestamp),502535,502535,Complete,Categorical single,"",Data,Auxiliary,Unisex,1,1,1200,This field identifies the version of the touchscreen system in use at the assessment centre when a participant visit took place. The timestamp is not present in data from the initial pilot clinic.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=393
UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,396,Number of columns displayed in round,498725,1126674,Complete,Integer,"",Data,Primary,Unisex,3,3,,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=396
UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,397,Number of rows displayed in round,498725,1102794,Complete,Integer,"",Data,Primary,Unisex,3,2,,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=397
UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,398,Number of correct matches in round,498725,1126674,Complete,Integer,"",Data,Primary,Unisex,3,3,,"This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=398
UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,399,Number of incorrect matches in round,498725,1126674,Complete,Integer,"",Data,Primary,Unisex,3,3,,A value of 0 indicates the participant made no mistakes.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=399
UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,400,Time to complete round,498725,1126674,Complete,Integer,deciseconds,Data,Primary,Unisex,3,3,402,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=400
UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,401,Index for card A in round,496579,6590040,Complete,Categorical single,"",Data,Primary,Unisex,3,12,92,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=401
UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,402,Index for card B in round,496579,6590040,Complete,Categorical single,"",Data,Primary,Unisex,3,12,92,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=402
UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,403,Number of times snap-button pressed,496579,6590040,Complete,Integer,"",Data,Primary,Unisex,3,12,,This indicates the number of times the snap-button was pressed (i.e. the user indicated the cards matched) in each round.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=403
UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,404,Duration to first press of snap-button in each round,494205,3310638,Complete,Integer,milliseconds,Data,Primary,Unisex,3,12,,"This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. ~F401~ and ~F402~ need to be compared to determine if the cards were the same.  Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=404
UK Biobank Assessment Centre > Procedural metrics > Process durations,152,630,Touchscreen duration,501697,557381,Complete,Integer,deciseconds,Data,Auxiliary,Unisex,3,1,,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=630
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,670,Type of accommodation lived in,501687,557371,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100286,"ACE touchscreen question ""What type of accommodation do you live in?"" If the participant activated the Help button they were shown the message:     Please select:  A house or bungalow for any whole, detached, semi-detached or terraced (including end-terrace) house or bungalow.  A flat, maisonette, or apartment for any purpose-built block of flats or tenement, part of a converted or shared house (including bed-sits) or within a commercial building (for example in an office building, or hotel, or over a shop).  If none of the options apply, select None of the above.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=670
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,680,Own or rent accommodation lived in,500304,555911,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100287,"ACE touchscreen question ""Do you own or rent the accommodation that you live in?"" If the participant activated the Help button they were shown the message:     Please select:  - Own outright if you or someone in your household owns the accommodation that you live in.  - Own with mortagage if you or someone in your household has a mortagage on the accommodation that you live in.      ~F680~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=680
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,699,Length of time at current address,501683,557367,Complete,Integer,years,Data,Primary,Unisex,3,1,100290,"ACE touchscreen question ""How many years have you lived at your current address?"" The following checks were performed:  If answer   If answer > Participants age then rejected   If the participant activated the Help button they were shown the message:     If you have lived there for less than one year select Less than a year. If you are unsure, please provide an estimate or select Do not know. If you have lived at your current address at different times, add up the total number of years you lived there. For instance if you lived at your current address for 3 years, moved overseas for one year and returned to your current address for another 5 years, then you would enter 8 years.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=699
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,709,Number in household,500300,555907,Complete,Integer,people,Data,Primary,Unisex,3,1,100291,"ACE touchscreen question ""Including yourself, how many people are living together in your household? (Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots)"" The following checks were performed:  If answer   If answer > 100 then rejected  If answer > 12 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you live alone, enter 1. Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots.      ~F709~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=709
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,728,Number of vehicles in household,500300,555907,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100293,"ACE touchscreen question ""How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use) "" If the participant activated the Help button they were shown the message:     Do not include motorcycles.      ~F728~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=728
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,738,Average total household income before tax,497379,552150,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100294,"ACE touchscreen question ""What is the average total income before tax received by your HOUSEHOLD?"" If the participant activated the Help button they were shown the message:     If you are unsure of annual household income here are the weekly and monthly equivalents:  Annual    Monthly   Weekly  less than &pound;18,000  less than &pound;1,500  less than &pound;346 &pound;18,000 to &pound;29,999  &pound;1,500 to &pound;2,499  &pound;346 to &pound;576 &pound;30,000 to &pound;51,999  &pound;2,500 to &pound;4,333  &pound;577 to &pound;999 &pound;52,000 to &pound;100,000  &pound;4,334 to &pound;8,333  &pound;1000 to &pound;1,923 greater than &pound;100,000  greater than &pound;8,333  greater than &pound;1,923       ~F738~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=738
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,757,Time employed in main current job,288193,309528,Complete,Integer,years,Data,Primary,Unisex,3,1,100290,"ACE touchscreen question ""How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)"" The following checks were performed:  If answer   If answer > Participants age - 10 years then rejected  If answer > Participants age - 16 years then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only (ie: the job that you spend most of your time doing). If you have been with the same employer, but have changed jobs whilst you have worked for them, then only give the number of years that you have been in your current job (not the number of years that you have been employed by the same company). For instance, if you have worked as mail-room sorter but then been promoted to manager of the mail-room, please give the number of years you have worked as the mail-room manager only. If you have changed employers, but have had the same job, please give the total number of years that you have worked in that job.  For instance, if you have worked as a cleaner for 3 different companies, please give the total number of years working as a cleaner.      ~F757~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=757
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,767,Length of working week for main job,288194,309530,Complete,Integer,hours,Data,Primary,Unisex,3,1,100291,"ACE touchscreen question ""In a typical WEEK, how many hours do you spend at work? (Do not include hours travelling to and from work)"" The following checks were performed:  If answer > 160 then rejected  If answer   If answer > 74 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only.      ~F767~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=767
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,777,Frequency of travelling from home to job workplace,286194,307191,Complete,Integer,times,Data,Primary,Unisex,3,1,100298,"ACE touchscreen question ""How many times a WEEK do you travel from home to your main work? (count outward journeys only; put 0 if you always work from home)"" The following checks were performed:  If answer   If answer > 999 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If the number of times varies each week, take an average over the last 4 weeks. If you only work from home please enter 0       ~F777~ was collected from the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=777
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,796,Distance between home and job workplace,267321,285790,Complete,Integer,miles,Data,Primary,Unisex,3,1,100300,"ACE touchscreen question ""About how many miles is it between your home and your work? "" The following checks were performed:  If answer   If answer > 9999 then rejected  If answer > 70 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only. If you are unsure, please provide an estimate or select Do not know. If you only work from home please enter 0      ~F796~ was collected from participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~ and except those who indicated they always work from home, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=796
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,806,Job involves mainly walking or standing,288194,309530,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100301,"ACE touchscreen question ""Does your work involve walking or standing for most of the time?"" If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question your MAIN job only.      ~F806~ was collected from the participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=806
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,816,Job involves heavy manual or physical work,288194,309530,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100301,"ACE touchscreen question ""Does your work involve heavy manual or physical work?"" If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only. Physical work includes work that involves handling of heavy objects and use of heavy tools.      ~F816~ was collected from participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=816
