PHEN	cluster	shortname
INI25082	77	Mean FA in posterior corona radiata on FA skeleton (R)
INI25085	77	Mean FA in posterior thalamic radiation on FA skeleton (L)
INI25097	77	Mean FA in superior longitudinal fasciculus on FA skeleton (L)
INI25498	77	WA FA in tract forceps major
INI25513	77	WA FA in tract uncinate fasciculus (L)
INI25056	78	Mean FA in middle cerebellar peduncle on FA skeleton
INI25072	78	Mean FA in anterior limb of internal capsule on FA skeleton (R)
INI25074	78	Mean FA in posterior limb of internal capsule on FA skeleton (R)
INI25076	78	Mean FA in retrolenticular part of internal capsule on FA skeleton (R)
INI25077	78	Mean FA in retrolenticular part of internal capsule on FA skeleton (L)
INI25080	78	Mean FA in superior corona radiata on FA skeleton (R)
INI25081	78	Mean FA in superior corona radiata on FA skeleton (L)
INI25083	78	Mean FA in posterior corona radiata on FA skeleton (L)
INI25087	78	Mean FA in sagittal stratum on FA skeleton (L)
INI25088	78	Mean FA in external capsule on FA skeleton (R)
INI25090	78	Mean FA in cingulum cingulate gyrus on FA skeleton (R)
INI25091	78	Mean FA in cingulum cingulate gyrus on FA skeleton (L)
INI25099	78	Mean FA in superior fronto-occipital fasciculus on FA skeleton (L)
INI25388	78	Mean ICVF in uncinate fasciculus on FA skeleton (R)
INI25488	78	WA FA in tract acoustic radiation (L)
INI25514	78	WA FA in tract uncinate fasciculus (R)
INI25078	80	Mean FA in anterior corona radiata on FA skeleton (R)
INI25079	80	Mean FA in anterior corona radiata on FA skeleton (L)
INI25344	80	Mean ICVF in middle cerebellar peduncle on FA skeleton
INI25354	80	Mean ICVF in inferior cerebellar peduncle on FA skeleton (R)
INI25389	80	Mean ICVF in uncinate fasciculus on FA skeleton (L)
INI25666	80	WA ICVF in tract middle cerebellar peduncle
INI25692	80	WA OD in tract inferior longitudinal fasciculus (R)
INI25709	80	WA ISOVF in tract cingulate gyrus part of cingulum (R)
BIN_FC10002453	81	Cancer diagnosed by doctor
BIN_FC1001747	81	Hair colour (natural, before greying) blonde
BIN_FC2001747	81	Hair colour (natural, before greying) red
BIN_FC6001747	81	Hair colour (natural, before greying) other
INI134	81	# of self-reported cancers
INI1737	81	Childhood sunburn
RH140	81	Melanoma
cancer1003	81	Skin cancer
cancer1059	81	Malignant melanoma
cancer1060	81	Non-melanoma skin cancer
INI23209	82	Femur neck BMD (bone mineral density) T-score (R)
INI23212	82	Femur total BMD (bone mineral density) (R)
INI23213	82	Femur total BMD (bone mineral density) T-score (R)
INI23214	82	Femur troch BMD (bone mineral density) (R)
INI23215	82	Femur troch BMD (bone mineral density) T-score (R)
INI23221	82	Arm BMD (bone mineral density) (L)
INI23223	82	Arm BMD (bone mineral density) (R)
INI23225	82	Arms BMD (bone mineral density)
INI23291	82	Femur total BMD (bone mineral density) (L)
INI23293	82	Femur total BMD (bone mineral density) T-score (L)
INI23295	82	Femur troch BMD (bone mineral density) (L)
INI23298	82	Femur troch BMD (bone mineral density) T-score (L)
INI23300	82	Femur neck BMD (bone mineral density) T-score (L)
INI10030840	83	Total bilirubin covariate adjusted
INI30010	83	Red blood cell count
INI30020	83	Haemoglobin concentration
INI30030	83	Haematocrit %
INI30060	83	Mean corpuscular haemoglobin concentration
INI30240	83	Reticulocyte %
INI30250	83	Reticulocyte count
INI30280	83	Immature reticulocyte fraction
INI30290	83	High light scatter reticulocyte %
INI30300	83	High light scatter reticulocyte count
BIN_FC4001747	84	Hair colour (natural, before greying) dark brown
BIN_FC5001747	84	Hair colour (natural, before greying) black
BIN_FC7001747	84	Hair colour (natural, before greying) brown
QT_FC1001717	84	Skin colour
BIN_FC2006148	85	Eye problems/disorders Glaucoma
HC276	85	Glaucoma
INI5254	85	Intra-ocular pressure, corneal-compensated (R)
INI5255	85	Intra-ocular pressure, Goldmann-correlated (R)
INI5256	85	Corneal hysteresis (R)
INI5257	85	Corneal resistance factor (R)
INI5262	85	Intra-ocular pressure, corneal-compensated (L)
INI5263	85	Intra-ocular pressure, Goldmann-correlated (L)
INI5264	85	Corneal hysteresis (L)
INI5265	85	Corneal resistance factor (L)
INI102	86	Pulse rate (AR)
INI4194	86	Pulse rate
INI4199	86	Position of pulse wave notch
INI30000	87	White blood cell count
INI30080	87	Platelet count
INI30090	87	Platelet crit
INI30120	87	Lymphocyte count
INI30130	87	Monocyte count
INI30140	87	Neutrophill count
INI30160	87	Basophill count
BIN2000	89	Worry too long after embarrassment
BIN20421	89	Ever felt worried, tense, or anxious for most of a month or longer
BIN20425	89	Ever worried more than most people would in similar situation
BIN20441	89	Ever had prolonged loss of interest in normal activities
BIN20450	89	Feelings of worthlessness during worst period of depression
BIN20500	89	Ever suffered mental distress preventing usual activities
BIN2100	89	Seen a psychiatrist for nerves, anxiety, tension or depression
BIN21063	89	Ever been offered/sought treatment for depression
BIN4598	89	Ever depressed for a whole week
BIN4631	89	Ever unenthusiastic/disinterested for a whole week
BIN_FC10020458	89	Generally happy
FH1286	89	Severe depression
HC41	89	Depression
HC64	89	Irritable bowel syndrome
INI20497	89	Repeated disturbing thoughts of stressful experience in past month
INI20498	89	Felt very upset when reminded of stressful experience in past month
INI20506	89	Recent feelings or nervousness or anxiety
INI20510	89	Recent feelings of depression
INI20512	89	Recent feelings of foreboding
INI20515	89	Recent trouble relaxing
INI20479	89	Ever thought that life not worth living
INI20494	89	Felt irritable or had angry outbursts in past month
INI20507	89	Recent feelings of inadequacy
INI20509	89	Recent inability to stop or control worrying
INI20520	89	Recent worrying too much about different things
QT_FC10020458	89	General happiness
QT_FC1004526	89	Happiness
QT_FC1004559	89	Family relationship satisfaction
INI25903	90	Vol. of grey matter in Crus II Cerebellum (L)
INI25905	90	Vol. of grey matter in Crus II Cerebellum (R)
INI25906	90	Vol. of grey matter in VIIb Cerebellum (L)
INI25908	90	Vol. of grey matter in VIIb Cerebellum (R)
INI25909	90	Vol. of grey matter in VIIIa Cerebellum (L)
BIN_FC10001797	92	Father still alive
BIN_FC10001835	92	Mother still alive
INI1807	92	Father's age at death
INI20030630	92	Apolipoprotein A covariate and statin adjusted
INI20030660	92	Direct bilirubin covariate and statin adjusted
INI20030760	92	HDL cholesterol covariate and statin adjusted
INI20030890	92	Vitamin D covariate and statin adjusted
INI22146	93	Age hayfever or allergic rhinitis diagnosed by doctor
INI22147	93	Age asthma diagnosed by doctor
INI2966	93	Age high BP diagnosed
INI3761	93	Age hay fever, rhinitis or eczema diagnosed
INI3786	93	Age asthma diagnosed
INI87	93	Non-cancer illness year/age first occurred
BIN_FC10002463	94	Fractured/broken bones in last 5 years
BIN_FC9006179	94	Calcium supplements
HC22	94	Osteoporosis
HC290	94	Fracture upper arm / humerus / elbow
HC334	94	Fracture sternum
HC339	94	Fracture lower leg / ankle
HC380	94	Fracture ulna
HC406	94	Fracture neck of femur / hip
HC57	94	Fracture radius
HC76	94	Fracture foot
HC83	94	Fracture forearm / wrist
BIN1677	95	Breastfed as a baby
BIN3081	95	Foot measured for bone density
BIN_FC10020547	95	Talking based therapies taken for depression
BIN_FC16006155	95	Vitamin D
BIN_FC20020550	95	Activity based therapies taken for anxiety
BIN_FC30020547	95	Non-drug therapies taken for depression
BIN_FC4006155	95	Vitamin D vs no supplement
INI1319	95	Dried fruit intake
INI1458	95	Cereal intake
INI1845	95	Mother's age
INI20016	95	Fluid intelligence score
INI20030830	95	SHBG covariate and statin adjusted
INI20030850	95	Testosterone covariate and statin adjusted
INI21048	95	Degree bothered by back pain in the past 3 months
INI21049	95	Degree bothered by pain in arms/legs/joints in the past 3 months
INI21056	95	Degree bothered by shortness of breath in the last 3 months
INI21060	95	Degree bothered by feeling tired all the time in the last 3 months
INI25911	95	Vol. of grey matter in VIIIa Cerebellum (R)
INI2867	95	Age started smoking in former smokers
INI2946	95	Father's age
INI3526	95	Mother's age at death
INI3536	95	Age started hormone-replacement therapy (HRT)
INI4196	95	Pulse wave peak to peak time
INI924	95	Usual walking pace
QT_FC1001408	95	Cheese intake
INI884	95	# of days/week of moderate physical activity 10+ minutes
BIN_FC1006152	96	DVT diagnosed by doctor
BIN_FC11006152	96	Blood clot or DVT diagnosed by doctor
BIN_FC12006152	96	Blood clot in the leg (DVT) or lung
BIN_FC3006152	96	Blood clot diagnosed by doctor
BIN_FC6006152	96	Blood clot in the leg (DVT)
BIN_FC8006152	96	Blood clot in the lung
HC166	96	DVT
HC203	96	PE +/- DVT
RH56	96	Deep Vein Thrombosis
RH131	96	Haemophilia
RH81	96	Pulmonary Embolism and Infarction
INI25006	98	Vol. of grey matter
INI25782	98	Vol. of grey matter in Frontal Pole (L)
INI25783	98	Vol. of grey matter in Frontal Pole (R)
INI25784	98	Vol. of grey matter in Insular Cortex (L)
INI25785	98	Vol. of grey matter in Insular Cortex (R)
INI25797	98	Vol. of grey matter in Temporal Pole (R)
INI25811	98	Vol. of grey matter in Inferior Temporal Gyrus, posterior division (R)
INI25815	98	Vol. of grey matter in Postcentral Gyrus (R)
INI25827	98	Vol. of grey matter in Lateral Occipital Cortex, inferior division (R)
INI25834	98	Vol. of grey matter in Subcallosal Cortex (L)
INI25840	98	Vol. of grey matter in Cingulate Gyrus, posterior division (L)
INI25841	98	Vol. of grey matter in Cingulate Gyrus, posterior division (R)
INI25842	98	Vol. of grey matter in Precuneous Cortex (L)
INI25843	98	Vol. of grey matter in Precuneous Cortex (R)
INI25846	98	Vol. of grey matter in Frontal Orbital Cortex (L)
INI25847	98	Vol. of grey matter in Frontal Orbital Cortex (R)
INI25864	98	Vol. of grey matter in Central Opercular Cortex (L)
INI25845	98	Vol. of grey matter in Cuneal Cortex (R)
INI25860	98	Vol. of grey matter in Occipital Fusiform Gyrus (L)
INI25844	98	Vol. of grey matter in Cuneal Cortex (L)
INI1003063	100	FEV FVC ratio
INI1003064	100	PEF pred. ratio
INI20154	100	FEV1, pred. %
INI25008	100	Vol. of white matter
INI25010	100	Vol. of brain, grey+white matter
INI25011	100	Vol. of thalamus (L)
INI25012	100	Vol. of thalamus (R)
INI25025	100	Vol. of brain stem + 4th ventricle
INI3064	100	PEF
