#FieldID	Field	Category	UKBCategoryTreePath
1170	Getting up in morning	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep
1180	Morning/evening person (chronotype)	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep
1190	Nap during day	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep
1200	Sleeplessness / insomnia	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep
1210	Snoring	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep
1220	Daytime dozing / sleeping (narcolepsy)	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep
1239	Current tobacco smoking	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
1249	Past tobacco smoking	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
1259	Smoking/smokers in household	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
1269	Exposure to tobacco smoke at home	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
1279	Exposure to tobacco smoke outside home	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
1289	Cooked vegetable intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1299	Salad / raw vegetable intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1309	Fresh fruit intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1319	Dried fruit intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1329	Oily fish intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1339	Non-oily fish intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1349	Processed meat intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1359	Poultry intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1369	Beef intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1379	Lamb/mutton intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1389	Pork intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1408	Cheese intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1418	Milk type used	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1428	Spread type	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1438	Bread intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1448	Bread type	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1458	Cereal intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1468	Cereal type	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1478	Salt added to food	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1488	Tea intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1498	Coffee intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1508	Coffee type	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1518	Hot drink temperature	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1528	Water intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1538	Major dietary changes in the last 5 years	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1548	Variation in diet	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1558	Alcohol intake frequency.	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
1568	Average weekly red wine intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
1578	Average weekly champagne plus white wine intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
1588	Average weekly beer plus cider intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
1598	Average weekly spirits intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
1608	Average weekly fortified wine intake	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
1618	Alcohol usually taken with meals	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
1628	Alcohol intake versus 10 years previously	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
1647	Country of birth (UK/elsewhere)	Early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors
1677	Breastfed as a baby	Early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors
1687	Comparative body size at age 10	Early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors
1697	Comparative height size at age 10	Early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors
1707	Handedness (chirality/laterality)	Early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors
1717	Skin colour	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
1727	Ease of skin tanning	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
1737	Childhood sunburn occasions	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
1747	Hair colour (natural, before greying)	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
1757	Facial ageing	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
1767	Adopted as a child	Early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors
1777	Part of a multiple birth	Early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors
1787	Maternal smoking around birth	Early life factors	UK Biobank Assessment Centre > Touchscreen > Early life factors
1797	Father still alive	Family history	UK Biobank Assessment Centre > Touchscreen > Family history
1807	Father's age at death	Family history	UK Biobank Assessment Centre > Touchscreen > Family history
1835	Mother still alive	Family history	UK Biobank Assessment Centre > Touchscreen > Family history
1845	Mother's age	Family history	UK Biobank Assessment Centre > Touchscreen > Family history
1873	Number of full brothers	Family history	UK Biobank Assessment Centre > Touchscreen > Family history
1883	Number of full sisters	Family history	UK Biobank Assessment Centre > Touchscreen > Family history
1920	Mood swings	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
1930	Miserableness	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
1940	Irritability	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
1950	Sensitivity / hurt feelings	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
1960	Fed-up feelings	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
1970	Nervous feelings	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
1980	Worrier / anxious feelings	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
1990	Tense / 'highly strung'	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2000	Worry too long after embarrassment	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2010	Suffer from 'nerves'	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2020	Loneliness, isolation	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2030	Guilty feelings	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2040	Risk taking	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2050	Frequency of depressed mood in last 2 weeks	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2060	Frequency of unenthusiasm / disinterest in last 2 weeks	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2070	Frequency of tenseness / restlessness in last 2 weeks	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2080	Frequency of tiredness / lethargy in last 2 weeks	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2090	Seen doctor (GP) for nerves, anxiety, tension or depression	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2100	Seen a psychiatrist for nerves, anxiety, tension or depression	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2110	Able to confide	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support
2129	Answered sexual history questions	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors
2139	Age first had sexual intercourse	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors
2149	Lifetime number of sexual partners	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors
2159	Ever had same-sex intercourse	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sexual factors
2178	Overall health rating	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health
2188	Long-standing illness, disability or infirmity	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health
2207	Wears glasses or contact lenses	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight
2217	Age started wearing glasses or contact lenses	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight
2227	Other eye problems	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight
2237	Plays computer games	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use
2247	Hearing difficulty/problems	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Hearing
2257	Hearing difficulty/problems with background noise	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Hearing
2267	Use of sun/uv protection	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
2277	Frequency of solarium/sunlamp use	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
2296	Falls in the last year	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health
2306	Weight change compared with 1 year ago	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health
2316	Wheeze or whistling in the chest in last year	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Breathing
2335	Chest pain or discomfort	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Chest pain
2345	Ever had bowel cancer screening	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Cancer screening
2355	Most recent bowel cancer screening	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Cancer screening
2365	Ever had prostate specific antigen (PSA) test	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Cancer screening
2375	Relative age of first facial hair	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors
2385	Relative age voice broke	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors
2395	Hair/balding pattern	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors
2405	Number of children fathered	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors
2415	Had major operations	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Operations
2443	Diabetes diagnosed by doctor	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
2453	Cancer diagnosed by doctor	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
2463	Fractured/broken bones in last 5 years	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
2473	Other serious medical condition/disability diagnosed by doctor	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
2492	Taking other prescription medications	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication
2624	Frequency of heavy DIY in last 4 weeks	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
2634	Duration of heavy DIY	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
2644	Light smokers, at least 100 smokes in lifetime	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
2654	Non-butter spread type details	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
2664	Reason for reducing amount of alcohol drunk	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
2674	Ever had breast cancer screening / mammogram	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2684	Years since last breast cancer screening / mammogram	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2694	Ever had cervical smear test	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2704	Years since last cervical smear test	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2714	Age when periods started (menarche)	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2724	Had menopause	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2734	Number of live births	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2744	Birth weight of first child	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2754	Age at first live birth	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2764	Age at last live birth	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2774	Ever had stillbirth, spontaneous miscarriage or termination	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2784	Ever taken oral contraceptive pill	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2794	Age started oral contraceptive pill	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2804	Age when last used oral contraceptive pill	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2814	Ever used hormone-replacement therapy (HRT)	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2824	Age at hysterectomy	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2834	Bilateral oophorectomy (both ovaries removed)	Sex-specific factors	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors
2844	Had other major operations	Health and medical history	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Operations
2867	Age started smoking in former smokers	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
2877	Type of tobacco previously smoked	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
2887	Number of cigarettes previously smoked daily	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
2897	Age stopped smoking	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
