#GBE_category	GBE_ID	N	N_GBE	N_NBW	N_AFR	N_SAS	N_EAS	N_SMR	N_OTH	N_META	GBE_NAME	GBE_short_name	GBE_short_name_len
Anthropometry	INI23112	492620	331429	24463	6305	7702	1141	43874	27893	442807	Leg_fat_mass_(right)	Leg fat mass (R)	16
Anthropometry	INI23113	492608	331421	24461	6305	7702	1141	43873	27892	442795	Leg_fat-free_mass_(right)	Leg fat-free mass (R)	21
Anthropometry	INI23114	492607	331421	24461	6305	7702	1141	43873	27892	442795	Leg_predicted_mass_(right)	Leg pred. mass (R)	18
Anthropometry	INI23115	492597	331414	24461	6304	7702	1140	43873	27892	442786	Leg_fat_percentage_(left)	Leg fat % (L)	13
Anthropometry	INI23116	492592	331411	24461	6303	7702	1140	43873	27891	442781	Leg_fat_mass_(left)	Leg fat mass (L)	16
Anthropometry	INI23117	492574	331395	24461	6303	7702	1140	43872	27890	442763	Leg_fat-free_mass_(left)	Leg fat-free mass (L)	21
Anthropometry	INI23118	492568	331390	24460	6303	7702	1140	43872	27890	442757	Leg_predicted_mass_(left)	Leg pred. mass (L)	18
Anthropometry	INI23119	492556	331386	24458	6302	7702	1140	43870	27888	442746	Arm_fat_percentage_(right)	Arm fat % (R)	13
Anthropometry	INI23120	492522	331363	24456	6302	7702	1140	43865	27888	442716	Arm_fat_mass_(right)	Arm fat mass (R)	16
Anthropometry	INI23121	492519	331359	24458	6302	7702	1140	43865	27887	442713	Arm_fat-free_mass_(right)	Arm fat-free mass (R)	21
Anthropometry	INI23122	492511	331354	24458	6302	7701	1140	43865	27886	442706	Arm_predicted_mass_(right)	Arm pred. mass (R)	18
Anthropometry	INI23123	492489	331336	24458	6301	7701	1140	43865	27885	442686	Arm_fat_percentage_(left)	Arm fat % (L)	13
Anthropometry	INI23124	492448	331303	24458	6301	7700	1140	43863	27882	442647	Arm_fat_mass_(left)	Arm fat mass (L)	16
Anthropometry	INI23125	492433	331299	24457	6299	7700	1140	43860	27880	442635	Arm_fat-free_mass_(left)	Arm fat-free mass (L)	21
Anthropometry	INI23126	492414	331286	24454	6299	7700	1140	43859	27880	442618	Arm_predicted_mass_(left)	Arm pred. mass (L)	18
Anthropometry	INI23127	492374	331255	24452	6299	7699	1140	43858	27879	442582	Trunk_fat_percentage	Trunk fat %	11
Anthropometry	INI23128	492348	331236	24450	6299	7699	1140	43857	27877	442558	Trunk_fat_mass	Trunk fat mass	14
Anthropometry	INI23129	492267	331175	24445	6298	7698	1139	43850	27876	442481	Trunk_fat-free_mass	Trunk fat-free mass	19
Anthropometry	INI23130	492222	331144	24444	6298	7695	1139	43847	27873	442440	Trunk_predicted_mass	Trunk pred. mass	16
Anthropometry	INI3077	497176	336453	24825	6403	7697	1148	44539	28318	449383	Seating_box_height_used_for_the_sitting_height_measurement_(UKB_ID:_51,_GBE_ID:_INI51)	Seating box height (for the sitting height measurement)	55
Anthropometry	INI3160	8586	5774	403	109	106	9	768	492	7652	Weight,_manual_entry	Weight, manual entry	20
Anthropometry	INI48	500407	336599	24833	6418	7810	1148	44558	28338	449704	Waist_circumference	Waist circumference	19
Anthropometry	INI49	500345	336560	24833	6416	7809	1148	44554	28330	449650	Hip_circumference	Hip circumference	17
Anthropometry	INI50	500042	336442	24826	6407	7704	1147	44539	28311	449376	Standing_height	Standing height	15
Anthropometry	INI6218	28	16	0	1	0	0	4	2	0	Impedance_of_whole_body,_manual_entry	Impedance of whole body, manual entry	37
Anthropometry	INI6219	28	16	0	1	0	0	4	2	0	Impedance_of_leg,_manual_entry_(right)	Impedance of leg, manual entry (R)	34
Anthropometry	INI6220	28	16	0	1	0	0	4	2	0	Impedance_of_leg,_manual_entry_(left)	Impedance of leg, manual entry (L)	34
Anthropometry	INI6221	28	16	0	1	0	0	4	2	0	Impedance_of_arm,_manual_entry_(right)	Impedance of arm, manual entry (R)	34
Anthropometry	INI6222	28	16	0	1	0	0	4	2	0	Impedance_of_arm,_manual_entry_(left)	Impedance of arm, manual entry (L)	34
Arterial_stiffness	INI21021	204171	134043	10966	3795	5111	547	17168	12542	184172	Pulse_wave_Arterial_Stiffness_index	Pulse wave Arterial Stiffness index	35
Arterial_stiffness	INI4194	205354	134553	11021	3863	5263	552	17233	12621	185106	Pulse_rate	Pulse rate	10
Arterial_stiffness	INI4195	205354	134553	11021	3863	5263	552	17233	12621	185106	Pulse_wave_reflection_index	Pulse wave reflection index	27
Arterial_stiffness	INI4196	205242	134488	11013	3858	5256	552	17223	12616	185006	Pulse_wave_peak_to_peak_time	Pulse wave peak to peak time	28
Arterial_stiffness	INI4198	205354	134553	11021	3863	5263	552	17233	12621	185106	Position_of_the_pulse_wave_peak	Position of the pulse wave peak	31
Arterial_stiffness	INI4199	205354	134553	11021	3863	5263	552	17233	12621	185106	Position_of_pulse_wave_notch	Position of pulse wave notch	28
Biomarkers	INI10030500	141015	95810	7133	2679	2560	323	13050	8658	130213	Microalbumin_in_urine	Microalbumin in urine	21
Biomarkers	INI10030510	448386	310232	22873	5789	7009	1045	41016	25814	413778	Creatinine_in_urine	Creatinine in urine	19
Biomarkers	INI10030520	447426	309551	22837	5786	6998	1045	40907	25767	412891	Potassium_in_urine	Potassium in urine	18
Biomarkers	INI10030530	447438	309577	22810	5781	6993	1044	40930	25766	412901	Sodium_in_urine	Sodium in urine	15
Biomarkers	INI10030600	421614	291507	21514	5573	6687	984	38458	24397	389120	Albumin	Albumin	7
Biomarkers	INI10030610	461311	318944	23580	6019	7337	1082	42186	26631	425779	Alkaline_phosphatase	Alkaline phosphatase	20
Biomarkers	INI10030620	461119	318809	23567	6017	7325	1081	42175	26616	425590	Alanine_aminotransferase	Alanine aminotransferase	24
Biomarkers	INI10030630	419692	290189	21401	5550	6682	974	38266	24267	387329	Apolipoprotein_A	Apolipoprotein A	16
Biomarkers	INI10030650	459587	317754	23481	5982	7313	1070	42034	26541	424175	Aspartate_aminotransferase	Aspartate aminotransferase	26
Biomarkers	INI10030660	391853	271410	20092	5007	6088	915	35848	22431	361791	Direct_bilirubin	Direct bilirubin	16
Biomarkers	INI10030670	460979	318715	23560	6015	7336	1080	42141	26622	425469	Urea	Urea	4
Biomarkers	INI10030680	422092	291834	21542	5576	6696	987	38516	24415	389566	Calcium	Calcium	7
Biomarkers	INI10030700	461110	318791	23574	6016	7339	1081	42166	26623	425590	Creatinine	Creatinine	10
Biomarkers	INI10030710	460332	318262	23532	6006	7316	1077	42094	26573	424860	C-reactive_protein	C-reactive protein	18
Biomarkers	INI10030720	461134	318810	23578	6015	7338	1082	42155	26627	425605	Cystatin_C	Cystatin C	10
Biomarkers	INI10030730	461051	318770	23558	6015	7336	1081	42153	26626	425539	Gamma_glutamyltransferase	Gamma glutamyltransferase	25
Biomarkers	INI10030740	421697	291596	21518	5568	6693	986	38472	24371	389204	Glucose	Glucose	7
Biomarkers	INI10030750	439352	304650	22516	4847	6895	1032	40317	25178	405435	HbA1c	HbA1c	5
Biomarkers	INI10030760	422043	291821	21540	5573	6689	986	38505	24398	389512	HDL_cholesterol	HDL cholesterol	15
Biomarkers	INI10030770	458636	317105	23451	5974	7283	1074	41945	26492	423324	IGF-1	IGF-1	5
Biomarkers	INI10030790	368967	253563	19001	5018	6453	980	33612	21893	340520	Lipoprotein_A	Lipoprotein A	13
Biomarkers	INI10030810	421422	291382	21495	5568	6685	986	38452	24367	388935	Phosphate	Phosphate	9
Biomarkers	INI10030830	417989	289001	21311	5523	6638	979	38157	24149	385758	SHBG	SHBG	4
Biomarkers	INI10030840	459349	317596	23470	5978	7313	1069	42005	26525	423956	Total_bilirubin	Total bilirubin	15
Biomarkers	INI10030850	417739	289109	21342	5453	6680	1008	38188	23991	385771	Testosterone	Testosterone	12
Biomarkers	INI10030860	421614	291507	21514	5573	6687	984	38458	24397	389120	Total_protein	Total protein	13
Biomarkers	INI10030870	460924	318665	23557	6014	7330	1081	42151	26616	425414	Triglycerides	Triglycerides	13
Biomarkers	INI10030880	460737	318517	23559	6011	7328	1080	42136	26604	425235	Urate	Urate	5
Biomarkers	INI10030890	440342	304809	22615	5845	6425	1055	40188	25366	406303	Vitamin_D	Vitamin D	9
Biomarkers	INI20030640	458994	317403	23446	5962	7275	1074	41979	26493	423632	Apolipoprotein_B	Apolipoprotein B	16
Biomarkers	INI20030690	461271	318918	23579	6014	7336	1082	42178	26636	425743	Cholesterol	Cholesterol	11
Biomarkers	INI20030780	460436	318331	23533	6003	7319	1082	42107	26585	424960	LDL_cholesterol	LDL cholesterol	15
Biomarkers	INI30030650	459482	317678	23476	5981	7309	1069	42027	26537	424077	AST_to_ALT_ratio	AST to ALT ratio	16
Biomarkers	INI30030700	461110	318791	23574	6016	7339	1081	42166	26623	425590	eGFR	EGFR	4
Biomarkers	INI30030860	421614	291507	21514	5573	6687	984	38458	24397	389120	Non-albumin_protein	Non-albumin protein	19
Blood_assays	BIN23050	6776	4524	352	107	126	21	637	420	6187	HSV-1_seropositivity_for_Herpes_Simplex_virus-1	HSV-1 seropositivity for Herpes Simplex virus-1	47
Blood_assays	BIN23051	1570	1021	94	65	26	4	133	102	1441	HSV-2_seropositivity_for_Herpes_Simplex_virus-2	HSV-2 seropositivity for Herpes Simplex virus-2	47
Blood_assays	BIN23052	8962	6146	434	113	146	25	820	512	8196	VZV_seropositivity_for_Varicella_Zoster_Virus	VZV seropositivity for Varicella Zoster Virus	45
Blood_assays	BIN23053	9180	6266	452	117	162	26	844	525	8366	EBV_seropositivity_for_Epstein-Barr_Virus	EBV seropositivity for Epstein-Barr Virus	41
Blood_assays	BIN23054	5653	3707	281	111	156	24	526	348	5153	CMV_seropositivity_for_Human_Cytomegalovirus	CMV seropositivity for Human Cytomegalovirus	44
Blood_assays	BIN23055	8826	6030	425	111	151	24	808	505	8054	HHV-6_overall_seropositivity_for_Human_Herpesvirus-6	HHV-6 overall seropositivity for Human Herpesvirus-6	52
Blood_assays	BIN23056	7560	5150	372	101	134	20	692	437	6906	HHV-6A_seropositivity_for_Human_Herpesvirus-6	HHV-6A seropositivity for Human Herpesvirus-6	45
Blood_assays	BIN23057	7702	5224	380	104	137	22	714	437	7018	HHV-6B_seropositivity_for_Human_Herpesvirus-6	HHV-6B seropositivity for Human Herpesvirus-6	45
Blood_assays	BIN23058	9181	6302	442	112	154	18	840	521	8389	HHV-7_seropositivity_for_Human_Herpesvirus-7	HHV-7 seropositivity for Human Herpesvirus-7	44
Blood_assays	BIN23059	787	491	55	30	18	2	69	52	715	KSHV_seropositivity_for_Kaposi's_Sarcoma-Associated_Herpesvirus	KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus	63
Blood_assays	BIN23060	241	99	18	30	15	9	17	33	162	HBV_seropositivity_for_Hepatitis_B_Virus	HBV seropositivity for Hepatitis B Virus	40
Blood_assays	BIN23061	29	16	7	2	0	0	1	2	16	HCV_seropositivity_for_Hepatitis_C_Virus	HCV seropositivity for Hepatitis C Virus	40
Blood_assays	BIN23062	2743	1769	182	55	78	6	255	175	2514	T._gondii_seropositivity_for_Toxoplasma_gondii	T. gondii seropositivity for Toxoplasma gondii	46
Blood_assays	BIN23063	153	102	12	1	2	0	14	7	135	HTLV-1_seropositivity_for_Human_T-Lymphotropic_Virus_1	HTLV-1 seropositivity for Human T-Lymphotropic Virus 1	54
Blood_assays	BIN23064	19	11	3	1	0	0	2	1	11	HIV-1_seropositivity_for_Human_Immunodeficiency_Virus	HIV-1 seropositivity for Human Immunodeficiency Virus	53
Blood_assays	BIN23065	9248	6336	435	118	160	24	848	526	8447	BKV_seropositivity_for_Human_Polyomavirus_BKV	BKV seropositivity for Human Polyomavirus BKV	45
Blood_assays	BIN23066	5587	3763	295	83	119	19	510	319	5108	JCV_seropositivity_for_Human_Polyomavirus_JCV	JCV seropositivity for Human Polyomavirus JCV	45
Blood_assays	BIN23067	6477	4388	351	96	118	19	572	396	5940	MCV_seropositivity_for_Merkel_Cell_Polyomavirus	MCV seropositivity for Merkel Cell Polyomavirus	47
Blood_assays	BIN23068	430	282	28	11	5	1	42	26	389	HPV_16_Definition_I_seropositivity_for_Human_Papillomavirus_type-16	HPV 16 Definition I seropositivity for Human Papillomavirus type-16	67
Blood_assays	BIN23069	263	154	18	8	10	0	30	18	230	HPV_18_seropositivity_for_Human_Papillomavirus_type-18	HPV 18 seropositivity for Human Papillomavirus type-18	54
Blood_assays	BIN23070	2075	1307	129	79	42	9	180	158	1895	C._trachomatis_Definition_I_seropositivity_for_Chlamydia_trachomatis	C. trachomatis Definition I seropositivity for Chlamydia trachomatis	68
Blood_assays	BIN23071	261	175	19	5	5	0	17	14	225	C._trachomatis_Definition_II_seropositivity_for_Chlamydia_trachomatis	C. trachomatis Definition II seropositivity for Chlamydia trachomatis	69
Blood_assays	BIN23073	1736	1084	133	40	51	9	151	117	1576	H._pylori_Definition_I_seropositivity_for_Helicobacter_pylori	H. pylori Definition I seropositivity for Helicobacter pylori	61
Blood_assays	BIN23074	3070	1900	217	92	98	13	283	205	2808	H._pylori_Definition_II_seropositivity_for_Helicobacter_pylori	H. pylori Definition II seropositivity for Helicobacter pylori	62
Blood_assays	BIN23075	452	308	21	6	6	0	47	28	404	HPV_16_Definition_II_seropositivity_for_Human_Papillomavirus_type-16	HPV 16 Definition II seropositivity for Human Papillomavirus type-16	68
Blood_assays	INI23000	9691	6643	471	119	167	26	883	550	8859	1gG_antigen_for_Herpes_Simplex_virus-1	1gG antigen for Herpes Simplex virus-1	38
Blood_assays	INI23001	9691	6643	471	119	167	26	883	550	8859	2mgG_unique_antigen_for_Herpes_Simplex_virus-2	2mgG unique antigen for Herpes Simplex virus-2	46
Blood_assays	INI23002	9691	6643	471	119	167	26	883	550	8859	gE_/_gI_antigen_for_Varicella_Zoster_Virus	GE / gI antigen for Varicella Zoster Virus	42
Blood_assays	INI23003	9691	6643	471	119	167	26	883	550	8859	VCA_p18_antigen_for_Epstein-Barr_Virus	VCA p18 antigen for Epstein-Barr Virus	38
Blood_assays	INI23004	9691	6643	471	119	167	26	883	550	8859	EBNA-1_antigen_for_Epstein-Barr_Virus	EBNA-1 antigen for Epstein-Barr Virus	37
Blood_assays	INI23005	9691	6643	471	119	167	26	883	550	8859	ZEBRA_antigen_for_Epstein-Barr_Virus	ZEBRA antigen for Epstein-Barr Virus	36
Blood_assays	INI23006	9691	6643	471	119	167	26	883	550	8859	EA-D_antigen_for_Epstein-Barr_Virus	EA-D antigen for Epstein-Barr Virus	35
Blood_assays	INI23007	9691	6643	471	119	167	26	883	550	8859	pp150_Nter_antigen_for_Human_Cytomegalovirus	Pp150 Nter antigen for Human Cytomegalovirus	44
Blood_assays	INI23008	9691	6643	471	119	167	26	883	550	8859	pp_52_antigen_for_Human_Cytomegalovirus	Pp 52 antigen for Human Cytomegalovirus	39
Blood_assays	INI23009	9691	6643	471	119	167	26	883	550	8859	pp_28_antigen_for_Human_Cytomegalovirus	Pp 28 antigen for Human Cytomegalovirus	39
Blood_assays	INI23010	9691	6643	471	119	167	26	883	550	8859	IE1A_antigen_for_Human_Herpesvirus-6	IE1A antigen for Human Herpesvirus-6	36
Blood_assays	INI23011	9691	6643	471	119	167	26	883	550	8859	IE1B_antigen_for_Human_Herpesvirus-6	IE1B antigen for Human Herpesvirus-6	36
Blood_assays	INI23012	9691	6643	471	119	167	26	883	550	8859	p101_k_antigen_for_Human_Herpesvirus-6	P101 k antigen for Human Herpesvirus-6	38
Blood_assays	INI23013	9691	6643	471	119	167	26	883	550	8859	U14_antigen_for_Human_Herpesvirus-7	U14 antigen for Human Herpesvirus-7	35
Blood_assays	INI23014	9691	6643	471	119	167	26	883	550	8859	LANA_antigen_for_Kaposi's_Sarcoma-Associated_Herpesvirus	LANA antigen for Kaposi's Sarcoma-Associated Herpesvirus	56
Blood_assays	INI23015	9691	6643	471	119	167	26	883	550	8859	K8.1_antigen_for_Kaposi's_Sarcoma-Associated_Herpesvirus	K8.1 antigen for Kaposi's Sarcoma-Associated Herpesvirus	56
Blood_assays	INI23016	9691	6643	471	119	167	26	883	550	8859	HBc_antigen_for_Hepatitis_B_Virus	HBc antigen for Hepatitis B Virus	33
Blood_assays	INI23017	9691	6643	471	119	167	26	883	550	8859	HBe_antigen_for_Hepatitis_B_Virus	HBe antigen for Hepatitis B Virus	33
Blood_assays	INI23018	9691	6643	471	119	167	26	883	550	8859	Core_antigen_for_Hepatitis_C_Virus	Core antigen for Hepatitis C Virus	34
Blood_assays	INI23019	9691	6643	471	119	167	26	883	550	8859	NS3_antigen_for_Hepatitis_C_Virus	NS3 antigen for Hepatitis C Virus	33
Blood_assays	INI23020	9691	6643	471	119	167	26	883	550	8859	p22_antigen_for_Toxoplasma_gondii	P22 antigen for Toxoplasma gondii	33
Blood_assays	INI23021	9691	6643	471	119	167	26	883	550	8859	sag1_antigen_for_Toxoplasma_gondii	Sag1 antigen for Toxoplasma gondii	34
Blood_assays	INI23022	9691	6643	471	119	167	26	883	550	8859	HTLV-1_gag_antigen_for_Human_T-Lymphotropic_Virus_1	HTLV-1 gag antigen for Human T-Lymphotropic Virus 1	51
Blood_assays	INI23023	9691	6643	471	119	167	26	883	550	8859	HTLV-1_env_antigen_for_Human_T-Lymphotropic_Virus_1	HTLV-1 env antigen for Human T-Lymphotropic Virus 1	51
Blood_assays	INI23024	9691	6643	471	119	167	26	883	550	8859	HIV-1_gag_antigen_for_Human_Immunodeficiency_Virus	HIV-1 gag antigen for Human Immunodeficiency Virus	50
Blood_assays	INI23025	9691	6643	471	119	167	26	883	550	8859	HIV-1_env_antigen_for_Human_Immunodeficiency_Virus	HIV-1 env antigen for Human Immunodeficiency Virus	50
Blood_assays	INI23026	9691	6643	471	119	167	26	883	550	8859	BK_VP1_antigen_for_Human_Polyomavirus_BKV	BK VP1 antigen for Human Polyomavirus BKV	41
Blood_assays	INI23027	9691	6643	471	119	167	26	883	550	8859	JC_VP1_antigen_for_Human_Polyomavirus_JCV	JC VP1 antigen for Human Polyomavirus JCV	41
Blood_assays	INI23028	9691	6643	471	119	167	26	883	550	8859	MC_VP1_antigen_for_Merkel_Cell_Polyomavirus	MC VP1 antigen for Merkel Cell Polyomavirus	43
Blood_assays	INI23029	9691	6643	471	119	167	26	883	550	8859	L1_antigen_for_Human_Papillomavirus_type-16	L1 antigen for Human Papillomavirus type-16	43
Blood_assays	INI23030	9691	6643	471	119	167	26	883	550	8859	E6_antigen_for_Human_Papillomavirus_type-16	E6 antigen for Human Papillomavirus type-16	43
Blood_assays	INI23031	9691	6643	471	119	167	26	883	550	8859	E7_antigen_for_Human_Papillomavirus_type-16	E7 antigen for Human Papillomavirus type-16	43
Blood_assays	INI23032	9691	6643	471	119	167	26	883	550	8859	L1_antigen_for_Human_Papillomavirus_type-18	L1 antigen for Human Papillomavirus type-18	43
Blood_assays	INI23033	9691	6643	471	119	167	26	883	550	8859	momp_D_antigen_for_Chlamydia_trachomatis	Momp D antigen for Chlamydia trachomatis	40
Blood_assays	INI23034	9691	6643	471	119	167	26	883	550	8859	momp_A_antigen_for_Chlamydia_trachomatis	Momp A antigen for Chlamydia trachomatis	40
Blood_assays	INI23035	9691	6643	471	119	167	26	883	550	8859	tarp-D_F1_antigen_for_Chlamydia_trachomatis	Tarp-D F1 antigen for Chlamydia trachomatis	43
Blood_assays	INI23036	9691	6643	471	119	167	26	883	550	8859	tarp-D_F2_antigen_for_Chlamydia_trachomatis	Tarp-D F2 antigen for Chlamydia trachomatis	43
Blood_assays	INI23037	9691	6643	471	119	167	26	883	550	8859	PorB_antigen_for_Chlamydia_trachomatis	PorB antigen for Chlamydia trachomatis	38
Blood_assays	INI23038	9691	6643	471	119	167	26	883	550	8859	pGP3_antigen_for_Chlamydia_trachomatis	PGP3 antigen for Chlamydia trachomatis	38
Blood_assays	INI23039	4898	3378	262	56	81	13	424	274	4475	CagA_antigen_for_Helicobacter_pylori	CagA antigen for Helicobacter pylori	36
Blood_assays	INI23040	9691	6643	471	119	167	26	883	550	8859	VacA_antigen_for_Helicobacter_pylori	VacA antigen for Helicobacter pylori	36
Blood_assays	INI23041	9691	6643	471	119	167	26	883	550	8859	OMP_antigen_for_Helicobacter_pylori	OMP antigen for Helicobacter pylori	35
Blood_assays	INI23042	9691	6643	471	119	167	26	883	550	8859	GroEL_antigen_for_Helicobacter_pylori	GroEL antigen for Helicobacter pylori	37
Blood_assays	INI23043	9691	6643	471	119	167	26	883	550	8859	Catalase_antigen_for_Helicobacter_pylori	Catalase antigen for Helicobacter pylori	40
Blood_assays	INI23044	9691	6643	471	119	167	26	883	550	8859	UreA_antigen_for_Helicobacter_pylori	UreA antigen for Helicobacter pylori	36
Blood_assays	INI30000	479348	327969	24174	6139	7573	1118	43356	27585	437914	White_blood_cell_(leukocyte)_count	White blood cell count	22
Blood_assays	INI30010	479353	327972	24175	6139	7573	1118	43357	27585	437919	Red_blood_cell_(erythrocyte)_count	Red blood cell count	20
Blood_assays	INI30020	479352	327971	24175	6139	7573	1118	43357	27585	437918	Haemoglobin_concentration	Haemoglobin concentration	25
Blood_assays	INI30030	479353	327972	24175	6139	7573	1118	43357	27585	437919	Haematocrit_percentage	Haematocrit %	13
Blood_assays	INI30040	479352	327971	24175	6139	7573	1118	43357	27585	437918	Mean_corpuscular_volume	Mean corpuscular volume	23
Blood_assays	INI30050	479349	327968	24175	6139	7573	1118	43357	27585	437915	Mean_corpuscular_haemoglobin	Mean corpuscular haemoglobin	28
Blood_assays	INI30060	479346	327965	24175	6139	7573	1118	43357	27585	437912	Mean_corpuscular_haemoglobin_concentration	Mean corpuscular haemoglobin concentration	42
Blood_assays	INI30070	479352	327971	24175	6139	7573	1118	43357	27585	437918	Red_blood_cell_(erythrocyte)_distribution_width	Red blood cell distribution width	33
Blood_assays	INI30080	479349	327971	24175	6139	7573	1118	43355	27585	437916	Platelet_count	Platelet count	14
Blood_assays	INI30090	479135	327821	24171	6139	7572	1118	43333	27567	437721	Platelet_crit	Platelet crit	13
Blood_assays	INI30100	479344	327967	24175	6139	7573	1118	43354	27585	437911	Mean_platelet_(thrombocyte)_volume	Mean platelet volume	20
Blood_assays	INI30110	479134	327820	24171	6139	7572	1118	43333	27567	437720	Platelet_distribution_width	Platelet distribution width	27
Blood_assays	INI30120	478485	327419	24129	6120	7544	1118	43269	27528	437127	Lymphocyte_count	Lymphocyte count	16
Blood_assays	INI30130	478485	327419	24129	6120	7544	1118	43269	27528	437127	Monocyte_count	Monocyte count	14
Blood_assays	INI30140	478485	327419	24129	6120	7544	1118	43269	27528	437127	Neutrophill_count	Neutrophill count	17
Blood_assays	INI30150	478485	327419	24129	6120	7544	1118	43269	27528	437127	Eosinophill_count	Eosinophill count	17
Blood_assays	INI30160	478485	327419	24129	6120	7544	1118	43269	27528	437127	Basophill_count	Basophill count	15
Blood_assays	INI30170	478259	327261	24123	6120	7544	1118	43245	27510	436921	Nucleated_red_blood_cell_count	Nuc. red blood cell count	25
Blood_assays	INI30180	478490	327422	24130	6120	7544	1118	43270	27528	437132	Lymphocyte_percentage	Lymphocyte %	12
Blood_assays	INI30190	478490	327422	24130	6120	7544	1118	43270	27528	437132	Monocyte_percentage	Monocyte %	10
Blood_assays	INI30200	478490	327422	24130	6120	7544	1118	43270	27528	437132	Neutrophill_percentage	Neutrophill %	13
Blood_assays	INI30210	478490	327422	24130	6120	7544	1118	43270	27528	437132	Eosinophill_percentage	Eosinophill %	13
Blood_assays	INI30220	478490	327422	24130	6120	7544	1118	43270	27528	437132	Basophill_percentage	Basophill %	11
Blood_assays	INI30230	478255	327258	24123	6120	7544	1118	43245	27510	436918	Nucleated_red_blood_cell_percentage	Nuc. red blood cell %	21
Blood_assays	INI30240	471299	322875	23688	5974	7375	1102	42683	27038	430735	Reticulocyte_percentage	Reticulocyte %	14
Blood_assays	INI30250	471299	322876	23688	5974	7375	1102	42682	27038	430735	Reticulocyte_count	Reticulocyte count	18
Blood_assays	INI30260	471298	322876	23687	5973	7375	1102	42683	27038	430734	Mean_reticulocyte_volume	Mean reticulocyte volume	24
